"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1959-10-31 22.13 "BOS" "@" "NYK" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1959-11-08 22.15 "BOS" "@" "MNL" "L" -21 NA NA 0.666 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1959-11-11 22.16 "BOS" "" "CIN" "W" 33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1959-11-15 22.17 "BOS" "@" "CIN" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1959-11-17 22.18 "BOS" "@" "DET" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1959-11-18 22.18 "BOS" "@" "SYR" "L" -35 NA 20 0.159 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1959-11-20 22.19 "BOS" "" "SYR" "W" 13 NA 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1959-11-26 22.2 "BOS" "@" "PHW" "L" -13 NA NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1959-11-28 22.21 "BOS" "" "DET" "W" 26 NA 19 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1959-12-04 22.22 "BOS" "" "NYK" "W" 15 NA 13 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1959-12-08 22.24 "BOS" "@" "NYK" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1959-12-09 22.24 "BOS" "" "PHW" "W" 21 NA 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1959-12-11 22.24 "BOS" "" "STL" "W" 23 NA 2 1.064 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1960-01-04 22.31 "BOS" "" "SYR" "W" 7 NA 9 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1960-01-05 22.31 "BOS" "" "SYR" "L" -2 NA 10 0.338 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1960-01-09 22.32 "BOS" "@" "DET" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1960-01-10 22.33 "BOS" "@" "STL" "L" -10 NA NA 0.174 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1960-01-12 22.33 "BOS" "" "SYR" "L" -7 NA NA 0.466 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1960-01-13 22.33 "BOS" "" "STL" "W" 22 NA 19 0.506 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1960-01-15 22.34 "BOS" "@" "PHW" "W" 12 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1960-01-20 22.35 "BOS" "" "NYK" "W" 18 NA 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1960-01-23 22.36 "BOS" "" "SYR" "W" 9 NA 16 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1960-01-24 22.36 "BOS" "@" "SYR" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1960-01-27 22.37 "BOS" "" "STL" "W" 13 NA 6 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1960-01-30 22.38 "BOS" "" "CIN" "W" 22 NA 14 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1960-01-31 22.38 "BOS" "" "DET" "W" 18 NA 22 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1960-02-03 22.39 "BOS" "" "MNL" "W" 20 NA 7 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1960-02-05 22.4 "BOS" "" "SYR" "W" 24 NA 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1960-02-06 22.4 "BOS" "@" "NYK" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1960-02-09 22.41 "BOS" "" "MNL" "W" 39 NA NA 0.788 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1960-02-10 22.41 "BOS" "" "DET" "W" 32 NA 18 0.564 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1960-02-14 22.42 "BOS" "@" "PHW" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
