"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1973-10-19 22.23 "BOS" "" "PHI" "W" 31 NA 5 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1973-10-31 22.27 "BOS" "" "CLE" "W" 18 0 5 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1973-11-09 22.29 "BOS" "" "PHO" "W" 15 0 7 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1973-11-16 22.31 "BOS" "" "MIL" "W" 15 0 1 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1973-11-23 22.33 "BOS" "" "KCO" "W" 17 NA 12 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1973-11-30 22.35 "BOS" "@" "MIL" "L" -24 0 7 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1973-12-01 22.35 "BOS" "" "CHI" "W" 22 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1973-12-05 22.36 "BOS" "" "NYK" "W" 22 NA 13 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1973-12-08 22.37 "BOS" "@" "CHI" "L" -17 0 7 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1973-12-18 22.4 "BOS" "@" "GSW" "W" 19 0 2 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1973-12-29 22.43 "BOS" "" "CLE" "W" 19 0 16 0.296 0.231 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1974-01-09 22.46 "BOS" "" "CHI" "W" 17 0 5 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1974-01-11 22.46 "BOS" "" "LAL" "L" -8 0 3 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1974-01-13 22.47 "BOS" "@" "ATL" "W" 23 NA 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1974-01-20 22.49 "BOS" "" "GSW" "L" -21 0 12 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1974-01-25 22.5 "BOS" "" "PHI" "W" 15 NA 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1974-01-27 22.51 "BOS" "" "KCO" "W" 21 NA 12 0.827 0.8 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1974-01-29 22.51 "BOS" "@" "NYK" "L" -21 NA 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1974-02-08 22.54 "BOS" "" "NYK" "W" 28 NA 10 0.623 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1974-02-13 22.55 "BOS" "@" "SEA" "L" -18 0 5 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1974-02-22 22.58 "BOS" "@" "BUF" "W" 7 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1974-02-24 22.58 "BOS" "" "ATL" "W" 15 NA 3 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1974-02-27 22.59 "BOS" "" "BUF" "L" -18 NA 9 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1974-03-06 22.61 "BOS" "@" "LAL" "L" -5 0 5 0.644 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1974-03-16 22.64 "BOS" "@" "PHI" "W" 19 NA 4 0.68 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1974-03-17 22.64 "BOS" "" "CAP" "W" 26 NA 5 0.581 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1974-03-26 22.67 "BOS" "@" "CAP" "L" -18 NA 6 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1975-03-18 23.64 "BOS" "@" "DET" "W" 26 0 5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1975-03-19 23.65 "BOS" "@" "WSB" "L" -17 NA 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1975-03-26 23.67 "BOS" "" "NOJ" "W" 13 NA 15 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
