"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1983-10-28 22.78 "UTA" "@" "DEN" "L" -14 0 10 0 0 0 20.9 10.3 9.6 0 4.7 33.3 11.9 17 126 -1.2 NA
"2" "2" 1983-10-29 22.78 "UTA" "" "LAL" "L" -5 0 5 0 0 0 0 0 0 0 0 0 8 0 122 -1.9 NA
"3" "3" 1983-11-03 22.79 "UTA" "" "GSW" "W" 17 0 13 0.429 0.429 18.9 5.7 10.7 20.6 0 0 12.5 23.5 101 108 3.6 NA
"4" "4" 1983-11-05 22.8 "UTA" "" "SAS" "W" 6 0 15 0.521 0.5 7 32.7 20.2 7.8 0 0 25.8 10.2 97 108 1.9 NA
"5" "5" 1983-11-09 22.81 "UTA" "@" "SAS" "L" -6 0 13 0.436 0.333 0 7.7 3.8 40.7 0 0 0 10.7 134 114 3.2 NA
"6" "6" 1983-11-12 22.82 "UTA" "" "POR" "W" 14 0 1 NA NA 0 0 0 100 0 0 NA 0 202 124 1.4 NA
"7" "7" 1983-11-13 22.82 "UTA" "@" "LAL" "L" -6 0 1 NA NA 0 0 0 0 0 0 NA 0 0 128 0 NA
"8" "8" 1983-11-15 22.82 "UTA" "@" "POR" "L" -2 0 14 0.667 0.667 8.6 8.4 8.5 9.8 3.4 0 0 9 154 113 4.6 NA
"9" "9" 1983-11-16 22.83 "UTA" "" "BOS" "W" 13 0 1 NA NA 0 88.9 48 0 0 0 NA 0 0 78 0.3 NA
"10" "10" 1983-11-19 22.84 "UTA" "@" "WSB" "L" -13 0 12 0 0 0 10.8 5.6 0 0 0 75 14.6 0 131 -3.8 NA
"11" "11" 1983-11-23 22.85 "UTA" "" "CHI" "L" -11 0 4 0.667 0.667 NA NA 24.5 0 NA 0 NA NA NA NA 6.3 NA
"12" "12" 1983-11-25 22.85 "UTA" "" "DEN" "W" 2 0 8 0 0 0 10.5 5.6 0 0 0 0 13.2 0 109 -2.2 NA
"13" "13" 1983-11-26 22.85 "UTA" "@" "KCK" "L" -1 0 13 0.6 0.6 0 0 0 13.7 0 0 0 15.5 125 120 4 NA
"14" "14" 1983-11-29 22.86 "UTA" "" "PHO" "W" 4 0 7 NA NA 0 16.3 8 0 0 0 100 6 0 115 -0.7 NA
"15" "15" 1983-11-30 22.87 "UTA" "@" "SDC" "W" 2 0 3 NA NA 0 0 0 0 0 0 NA 0 0 114 -1.2 NA
"16" "16" 1983-12-02 22.87 "UTA" "@" "PHO" "W" 3 0 5 0.694 0.5 0 20.4 10.9 25.7 0 0 0 23.3 156 106 3.6 NA
"17" "17" 1983-12-03 22.87 "UTA" "" "KCK" "W" 5 0 20 0.368 0.4 0 15 6.6 25.8 0 0 15.5 13.5 84 111 2.9 NA
"18" "18" 1983-12-07 22.88 "UTA" "" "POR" "W" 5 0 11 0.41 0.25 9.9 0 4.5 23.2 0 0 29.1 24.6 83 115 0.9 NA
"19" "19" 1983-12-09 22.89 "UTA" "" "SAS" "L" -9 0 5 0 0 25.9 0 10.7 0 0 0 0 7.7 65 130 0 NA
"20" "20" 1983-12-10 22.89 "UTA" "@" "HOU" "W" 7 0 1 1.136 NA 0 0 0 0 0 0 0 36.8 250 129 2 NA
"21" "21" 1983-12-13 22.9 "UTA" "@" "CLE" "W" 2 0 5 0.5 0.5 0 0 0 0 9.8 0 33.3 26.6 58 98 0.2 NA
