"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1975-11-09 23.55 "KCK" "@" "LAL" "L" -13 0 11 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1975-11-15 23.57 "KCK" "@" "GSW" "L" -31 0 17 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1975-11-19 23.58 "KCK" "@" "PHI" "L" -10 0 16 0.506 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1975-11-21 23.59 "KCK" "" "CHI" "W" 9 0 17 0.231 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1975-11-26 23.6 "KCK" "@" "DET" "L" -16 0 14 0.291 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1975-11-27 23.6 "KCK" "@" "CLE" "W" 4 0 13 0.286 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1975-11-28 23.61 "KCK" "" "NOJ" "W" 1 0 NA 0.174 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1975-11-30 23.61 "KCK" "" "NYK" "W" 12 0 11 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1975-12-02 23.62 "KCK" "" "SEA" "L" -11 0 18 0.354 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1975-12-04 23.62 "KCK" "" "CLE" "W" 4 0 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1975-12-05 23.62 "KCK" "@" "MIL" "L" -8 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1975-12-06 23.63 "KCK" "" "PHI" "L" -14 0 NA 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1975-12-12 23.64 "KCK" "" "CHI" "W" 10 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1975-12-17 23.66 "KCK" "@" "BOS" "L" -14 0 4 0.644 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1975-12-20 23.67 "KCK" "" "BUF" "L" -7 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1975-12-23 23.67 "KCK" "@" "LAL" "L" -14 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1975-12-25 23.68 "KCK" "@" "PHO" "L" -11 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1975-12-26 23.68 "KCK" "@" "SEA" "L" -3 0 11 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1975-12-28 23.69 "KCK" "" "DET" "L" -16 0 22 0.637 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1975-12-30 23.69 "KCK" "@" "CLE" "L" -4 0 26 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1976-01-03 23.7 "KCK" "@" "NOJ" "L" -25 1 27 0.194 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1976-01-04 23.71 "KCK" "" "PHO" "W" 12 1 30 0.51 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1976-01-06 23.71 "KCK" "" "WSB" "L" -5 1 32 0.551 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1976-01-07 23.72 "KCK" "@" "HOU" "W" 2 1 22 0.525 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1976-01-08 23.72 "KCK" "" "NOJ" "L" -10 1 37 0.677 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1976-01-10 23.72 "KCK" "@" "CHI" "L" -27 1 20 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
