"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1980-10-12 22.85 "SEA" "@" "POR" "L" -11 0 8 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 2.7 NA
"2" "2" 1980-10-14 22.86 "SEA" "@" "DAL" "W" 2 0 13 0.694 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1980-10-15 22.86 "SEA" "@" "HOU" "L" -3 0 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1980-10-22 22.88 "SEA" "" "DAL" "L" -5 0 7 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1980-10-24 22.88 "SEA" "@" "LAL" "L" -6 0 13 0.615 0.5 NA NA NA NA NA NA NA NA NA NA 4.9 NA
"6" "6" 1980-10-25 22.89 "SEA" "" "PHO" "L" -25 0 5 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"7" "7" 1980-10-26 22.89 "SEA" "" "POR" "W" 13 0 8 NA NA NA NA NA NA NA NA NA NA NA NA -3.6 NA
"8" "8" 1980-10-28 22.9 "SEA" "" "GSW" "W" 17 0 17 0.399 0.5 NA NA NA NA NA NA NA NA NA NA 5.2 NA
"9" "9" 1980-10-31 22.9 "SEA" "" "SAS" "L" -16 0 24 0.436 0.333 NA NA NA NA NA NA NA NA NA NA 3.7 NA
"10" "10" 1980-11-01 22.91 "SEA" "@" "DEN" "L" -5 0 9 0.532 0 NA NA NA NA NA NA NA NA NA NA 3.2 NA
"11" "11" 1980-11-03 22.91 "SEA" "" "CLE" "W" 35 0 22 0.589 0.545 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1980-11-05 22.92 "SEA" "" "DEN" "L" -8 0 9 0.258 0 NA NA NA NA NA NA NA NA NA NA 1.6 NA
"13" "13" 1980-11-07 22.92 "SEA" "" "SDC" "W" 19 0 2 1 1 NA NA NA NA NA NA NA NA NA NA 0.7 NA
"14" "14" 1980-11-14 22.94 "SEA" "" "KCK" "W" 2 0 14 0.84 0.667 NA NA NA NA NA NA NA NA NA NA 5.8 NA
"15" "15" 1980-11-15 22.95 "SEA" "" "HOU" "W" 4 0 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
