"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1962-10-16 24.09 "CHZ" "@" "NYK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1962-10-20 24.1 "CHZ" "" "CIN" "W" 4 NA NA 0.694 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1962-10-23 24.11 "CHZ" "" "STL" "L" -1 NA 18 0.764 0.8 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1962-10-24 24.11 "CHZ" "" "LAL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1962-10-26 24.12 "CHZ" "@" "SYR" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1962-10-27 24.12 "CHZ" "" "SFW" "L" -3 NA 6 0.717 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1962-11-02 24.14 "CHZ" "" "BOS" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1962-11-03 24.14 "CHZ" "@" "STL" "L" -5 NA 10 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1962-11-09 24.16 "CHZ" "@" "SFW" "L" -8 NA 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1962-11-10 24.16 "CHZ" "@" "SFW" "L" -5 NA 14 0.491 0.444 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1962-11-11 24.16 "CHZ" "@" "LAL" "W" 4 NA NA 0.637 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1962-11-13 24.17 "CHZ" "@" "LAL" "L" -23 NA NA 0.362 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1962-11-15 24.17 "CHZ" "" "NYK" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1962-11-17 24.18 "CHZ" "" "LAL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1962-11-18 24.18 "CHZ" "" "SYR" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1962-11-20 24.19 "CHZ" "" "BOS" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
