"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2017-10-19 22.62 "LAL" "" "LAC" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2017-10-20 22.62 "LAL" "@" "PHO" "W" 2 0 2.33333333333333 NA NA 0 0 0 0 0 0 NA 0 0 119 0 -5.5
"3" "2" 2017-10-22 22.63 "LAL" "" "NOP" "L" -7 0 14.6333333333333 0.833 0.833 14.6 18.7 16.4 8.8 0 0 0 8.5 177 119 6 5.1
"4" "3" 2017-10-25 22.64 "LAL" "" "WAS" "W" 3 0 15.5333333333333 0.333 0.333 0 31.6 17.4 0 3.1 0 0 8.5 66 86 2.4 -1.7
"5" "4" 2017-10-27 22.64 "LAL" "" "TOR" "L" -9 0 20.1 0.922 1 0 19.5 10.7 0 4.7 3.7 0 10.5 182 91 10.1 11.5
"6" "5" 2017-10-28 22.65 "LAL" "@" "UTA" "L" -15 0 16.35 0.615 0.5 0 15.1 6.7 0 3.3 0 0 13.5 134 106 5.6 3.7
"7" "6" 2017-10-31 22.65 "LAL" "" "DET" "W" 20 0 17 0.5 0.5 0 10.9 5.8 6.7 0 0 25 10.2 83 103 1.2 -7.5
"8" "7" 2017-11-02 22.66 "LAL" "@" "POR" "L" -3 0 13.6 0.205 0 0 8.8 4.8 0 7.2 5.5 0 16.9 43 103 2.2 -3
"9" "8" 2017-11-03 22.66 "LAL" "" "BRK" "W" 12 0 11.7833333333333 0 0 0 7 4.1 0 3.6 7.7 66.7 10 0 93 -1.5 -10.6
"10" "9" 2017-11-05 22.67 "LAL" "" "MEM" "W" 5 0 12.1 0 0 0 0 0 0 0 0 0 7.1 0 109 -2.2 -15.8
"11" "10" 2017-11-08 22.68 "LAL" "@" "BOS" "L" -11 0 11.8833333333333 0 0 0 0 0 0 0 0 66.7 10.5 0 116 -3.1 -18.1
"12" "11" 2017-11-09 22.68 "LAL" "@" "WAS" "L" -16 0 14.45 0 0 0 18.5 7.3 10.7 0 0 0 10.8 13 113 -2.3 -14.3
"13" "" 2017-11-11 22.68 "LAL" "@" "MIL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2017-11-13 22.69 "LAL" "@" "PHO" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2017-11-15 22.7 "LAL" "" "PHI" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2017-11-17 22.7 "LAL" "" "PHO" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "12" 2017-11-19 22.71 "LAL" "" "DEN" "W" 18 0 12.1666666666667 0.521 0.5 9.2 7.9 8.5 0 3.8 0 0 9.3 125 106 3.6 -1.5
"18" "13" 2017-11-21 22.71 "LAL" "" "CHI" "W" 9 0 14.6333333333333 0.363 0.333 12.9 5.9 9.2 11.1 3.3 0 12.7 22.9 84 97 3.6 -4.5
"19" "14" 2017-11-22 22.72 "LAL" "@" "SAC" "L" -11 0 10.1666666666667 1.5 1.5 0 37.3 18.6 13.8 4.9 0 0 4.6 277 107 5.3 13.4
"20" "15" 2017-11-27 22.73 "LAL" "@" "LAC" "L" -5 0 21.9 0.833 0.833 4.8 10.7 7.6 5.5 0 0 0 5.6 178 123 4.9 -0.8
"21" "16" 2017-11-29 22.73 "LAL" "" "GSW" "L" -4 0 12.7166666666667 0.773 0.667 0 32.1 15.1 0 0 0 20.5 16.5 118 114 3.8 -4.4
"22" "17" 2017-12-02 22.74 "LAL" "@" "DEN" "L" -15 0 22.5 1.125 1.125 4.5 9.7 7 13.5 4.3 3.8 0 7.3 225 109 12.4 17.4
"23" "18" 2017-12-03 22.75 "LAL" "" "HOU" "L" -23 0 15.0833333333333 0 0 0 0 0 9.9 0 0 25 10.9 14 123 -2.4 -13.4
"24" "19" 2017-12-07 22.76 "LAL" "@" "PHI" "W" 3 0 9.16666666666667 1.064 1.5 0 43.6 17.9 0 0 0 0 8.4 194 109 4.2 6.3
"25" "20" 2017-12-09 22.76 "LAL" "@" "CHO" "W" 11 0 13.4666666666667 1.25 1.25 0 14.5 8 0 0 0 33.3 9.9 132 104 4 2.3
"26" "21" 2017-12-12 22.77 "LAL" "@" "NYK" "L" -4 0 10.4666666666667 NA NA 0 32.3 15 0 0 0 NA 0 0 110 0.9 -7
"27" "22" 2017-12-14 22.78 "LAL" "@" "CLE" "L" -9 1 32.75 0.463 0.409 3.1 32.2 16.7 7.1 1.5 2.9 7.8 15.8 105 116 9.6 -2.3
"28" "23" 2017-12-18 22.79 "LAL" "" "GSW" "L" -2 0 19.1166666666667 0.7 0.7 5.2 5.2 5.2 0 0 0 0 11.6 138 115 4.1 -3.3
"29" "24" 2017-12-20 22.79 "LAL" "@" "HOU" "W" 6 1 27.7333333333333 0.431 0.409 0 14.1 7.4 19.9 1.7 3.6 0 19.4 105 113 8.2 0.3
"30" "25" 2017-12-22 22.8 "LAL" "@" "GSW" "L" -7 0 16.35 0 0 0 7.2 3.3 7.3 8.9 0 25 9.9 16 102 0.5 -5.5
"31" "26" 2017-12-23 22.8 "LAL" "" "POR" "L" -3 1 34.4666666666667 0.5 0.5 2.8 23.6 13.7 14.4 1.4 0 8.3 15.1 102 95 10.4 1.3
"32" "27" 2017-12-25 22.81 "LAL" "" "MIN" "L" -17 1 38.8666666666667 0.462 0.462 0 23.9 9.4 7.3 1.3 0 7.1 15.3 96 127 7.3 -5.2
"33" "28" 2017-12-27 22.81 "LAL" "" "MEM" "L" -10 0 29.9666666666667 0.765 0.7 11.9 20 14.9 10.6 0 0 0 7.9 183 123 10.5 2.6
"34" "29" 2017-12-29 22.82 "LAL" "" "LAC" "L" -15 1 22 0.25 0.25 0 11.2 5.2 10 2.2 0 0 7.7 77 125 1.8 -6.5
"35" "30" 2017-12-31 22.82 "LAL" "@" "HOU" "L" -6 1 36.8833333333333 0.787 0.846 3.7 14.6 9.7 4 1.4 0 0 19.2 161 129 20.4 7.6
"36" "31" 2018-01-01 22.82 "LAL" "@" "MIN" "L" -18 1 21.0666666666667 0.714 0.714 0 6.5 2.9 9.2 2.2 0 12.5 16.2 121 115 5.7 0.4
"37" "32" 2018-01-03 22.83 "LAL" "" "OKC" "L" -37 0 19.35 0.403 0.357 4.7 6.9 5.6 7.5 2.5 3.9 11.8 18.1 87 131 4.3 -4.5
"38" "33" 2018-01-05 22.84 "LAL" "" "CHO" "L" -14 0 23.1333333333333 0.291 0.25 4 8.3 6.1 5.8 2.1 0 12.7 14.2 66 110 1 -8.2
"39" "34" 2018-01-07 22.84 "LAL" "" "ATL" "W" 19 0 19.5166666666667 0.761 0.714 0 23.2 14.3 19.3 2.3 0 11.3 19 142 105 11.1 5.1
"40" "35" 2018-01-09 22.85 "LAL" "" "SAC" "W" 13 0 21.05 0 0 0 12.2 7 18.5 0 0 50 4.1 72 92 0.9 -4.6
"41" "36" 2018-01-11 22.85 "LAL" "" "SAS" "W" 12 0 12.7166666666667 1 1 0 18 8.2 0 0 0 0 10.5 183 94 4.9 7.3
"42" "37" 2018-01-13 22.86 "LAL" "@" "DAL" "W" 6 0 12.1 0.5 0.5 0 16.8 8.9 0 4.2 0 33.3 11.2 62 89 0 -7.5
"43" "38" 2018-01-15 22.86 "LAL" "@" "MEM" "L" -9 1 31.75 0.68 0.6 0 11.9 4.9 5 1.4 2.5 0 14.5 141 117 13.9 1.9
"44" "39" 2018-01-17 22.87 "LAL" "@" "OKC" "L" -24 0 26.45 0.563 0.563 0 12.1 6.5 11.1 4 0 0 14.7 115 120 8.5 3.4
"45" "40" 2018-01-19 22.87 "LAL" "" "IND" "W" 13 1 32.9 0.563 0.563 0 13.8 8 3.8 0 0 27.3 16 79 96 3.4 -7.3
"46" "41" 2018-01-21 22.88 "LAL" "" "NYK" "W" 20 1 17.0333333333333 0 0 0 0 0 0 0 5 0 2.7 0 119 -1.2 -12.4
"47" "42" 2018-01-23 22.88 "LAL" "" "BOS" "W" 1 0 23.1 0.41 0.5 4.2 4.7 4.5 5.8 0 0 0 8.7 100 115 2.5 -4.7
"48" "43" 2018-01-26 22.89 "LAL" "@" "CHI" "W" 5 0 22.8333333333333 0.665 0.75 0 11.7 6.2 5.4 0 0 0 7 139 110 4.8 -0.6
"49" "44" 2018-01-28 22.9 "LAL" "@" "TOR" "L" -12 0 13.5333333333333 0 0 6.6 8.2 7.3 0 0 0 34.7 8.5 23 126 -1.5 -14.3
"50" "45" 2018-01-31 22.91 "LAL" "@" "ORL" "L" -22 0 13.8833333333333 0.75 0.75 0 9.6 4.4 19.5 0 0 0 6.2 170 131 3.7 2.4
"51" "46" 2018-02-02 22.91 "LAL" "@" "BRK" "W" 3 1 34.8 0.768 0.813 8.1 35.3 20.5 8.6 1.4 0 0 11.6 168 102 17.6 9
"52" "47" 2018-02-04 22.92 "LAL" "@" "OKC" "W" 4 1 39.1833333333333 1.017 1 3 27.2 15.7 6.8 2.4 0 22.5 9.6 153 97 16.5 7
"53" "48" 2018-02-06 22.92 "LAL" "" "PHO" "W" 19 1 31.0333333333333 0.952 0.929 7 23.2 16.4 14.8 1.6 2.4 11.3 12.7 176 91 17.4 11.7
"54" "49" 2018-02-08 22.93 "LAL" "" "OKC" "W" 25 1 32.8666666666667 0.556 0.556 3.2 18.6 11.6 20.2 1.6 2.6 25 16 98 85 9.5 2.4
