"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1968-10-17 22.92 "SDR" "" "SEA" "W" 18 NA 40 0.56 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1968-10-18 22.92 "SDR" "@" "SFW" "W" 15 NA 48 0.541 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1968-10-23 22.93 "SDR" "@" "SEA" "L" -1 NA 43 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1968-10-24 22.94 "SDR" "" "BAL" "L" -4 NA 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1968-10-27 22.95 "SDR" "@" "LAL" "L" -36 NA NA 0.372 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1968-10-30 22.95 "SDR" "" "ATL" "W" 11 NA 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1968-11-03 22.96 "SDR" "" "CHI" "W" 14 NA 41 0.607 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1968-11-05 22.97 "SDR" "" "NYK" "W" 4 NA 48 0.451 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1968-11-08 22.98 "SDR" "@" "ATL" "L" -13 NA 48 0.547 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1968-11-09 22.98 "SDR" "@" "BAL" "L" -2 NA 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1968-11-11 22.99 "SDR" "@" "BOS" "L" -21 NA 32 0.418 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1968-11-12 22.99 "SDR" "@" "CHI" "L" -7 NA 48 0.555 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1968-11-13 22.99 "SDR" "" "DET" "W" 2 NA 48 0.514 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1968-11-15 23 "SDR" "@" "LAL" "L" -8 NA 48 0.62 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1968-11-16 23 "SDR" "" "BOS" "L" -8 NA 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1968-11-19 23.01 "SDR" "@" "NYK" "W" 6 NA 48 0.531 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1968-11-20 23.01 "SDR" "@" "BAL" "L" -4 NA 43 0.408 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1968-11-22 23.01 "SDR" "" "SEA" "W" 15 NA 47 0.569 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1968-11-24 23.02 "SDR" "" "PHI" "W" 7 NA 53 0.526 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1968-11-26 23.02 "SDR" "" "DET" "L" -14 NA 40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1968-11-27 23.03 "SDR" "" "BAL" "W" 16 NA 48 0.552 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1968-11-29 23.03 "SDR" "" "CHI" "L" -21 NA 46 0.459 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1968-12-01 23.04 "SDR" "" "SFW" "W" 11 NA 48 0.448 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1968-12-03 23.04 "SDR" "@" "CHI" "W" 5 NA 45 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1968-12-04 23.05 "SDR" "@" "PHI" "L" -11 NA 29 0.413 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1968-12-06 23.05 "SDR" "" "PHO" "W" 11 NA 39 0.356 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1968-12-08 23.06 "SDR" "@" "LAL" "L" -14 NA NA 0.477 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1968-12-10 23.06 "SDR" "" "PHI" "W" 12 NA 47 0.666 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1968-12-11 23.07 "SDR" "@" "CIN" "L" -6 NA 48 0.473 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1968-12-13 23.07 "SDR" "@" "MIL" "L" -5 NA NA 0.422 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1968-12-14 23.07 "SDR" "@" "NYK" "L" -7 NA 48 0.416 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1968-12-18 23.08 "SDR" "@" "DET" "L" -12 NA NA 0.639 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1968-12-20 23.09 "SDR" "" "PHI" "L" -7 NA 47 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1968-12-21 23.09 "SDR" "" "CIN" "W" 8 NA NA 0.425 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1968-12-23 23.1 "SDR" "" "SFW" "L" -30 NA 39 0.449 NA NA NA NA NA NA NA NA NA NA NA NA NA
