"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2019-10-22 19.42 "NOP" "@" "TOR" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2019-10-25 19.42 "NOP" "" "DAL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2019-10-26 19.43 "NOP" "@" "HOU" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "1" 2019-10-28 19.43 "NOP" "" "GSW" "L" -11 0 23.6166666666667 0.771 0.818 3.8 8.3 6 6.8 1.8 2.9 0 19.6 149 122 16.6 3.4
"5" "2" 2019-10-31 19.44 "NOP" "" "DEN" "W" 15 0 9.46666666666667 0.868 1 0 25.4 14.1 0 0 0 25.8 18.5 108 107 2 -9
"6" "3" 2019-11-02 19.45 "NOP" "@" "OKC" "L" -11 0 13.8166666666667 0.4 0.4 26.2 7.4 17.4 31.5 3.4 0 0 14.5 132 112 5.5 1.8
"7" "4" 2019-11-04 19.45 "NOP" "@" "BRK" "L" -10 0 16.4333333333333 0.347 0 20.4 14.2 17.4 6.1 5.1 0 31.6 14.5 85 114 1.9 -10.3
"8" "5" 2019-11-08 19.46 "NOP" "" "TOR" "L" -18 0 14.5666666666667 0.463 0.667 5.8 33.6 18.7 0 0 6.6 0 11.3 95 108 4 -1.8
"9" "6" 2019-11-09 19.47 "NOP" "@" "CHO" "W" 5 0 18.05 0.945 1 0 5.4 3.1 0 0 10 0 11.1 194 108 8.6 3.5
"10" "7" 2019-11-11 19.47 "NOP" "" "HOU" "L" -6 0 2.48333333333333 1 1 0 0 0 0 0 0 50 31.5 64 120 0.7 -8.4
"11" "8" 2019-11-14 19.48 "NOP" "" "LAC" "W" 5 0 13.1666666666667 0.58 0.5 14.9 9.3 12.4 10.1 3.5 0 0 22.7 144 120 7.4 -1.8
"12" "9" 2019-11-16 19.48 "NOP" "@" "MIA" "L" -15 0 23.5 1 1 9.5 6.2 8.1 0 2.2 7.2 33.3 17.9 117 112 10.9 1.9
"13" "10" 2019-11-17 19.49 "NOP" "" "GSW" "W" 8 1 31.95 0.654 0.6 6.7 26.1 16.5 0 1.5 6.8 20.7 13.1 111 94 11 -1
"14" "11" 2019-11-19 19.49 "NOP" "" "POR" "W" 11 1 20.6166666666667 0.461 0.375 17.6 14.6 16.1 0 4.7 11.1 0 19.5 120 90 11.2 2
