"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1985-10-25 25.19 "SAC" "" "LAC" "L" -4 0 3 0 0 31.4 0 17.8 0 0 0 50 25.4 25 110 -1.4 -28.6
"2" "2" 1985-11-09 25.23 "SAC" "" "SEA" "W" 5 0 4 0.5 0.5 0 0 0 0 0 0 0 21.5 105 103 1 0.2
"3" "3" 1985-11-10 25.24 "SAC" "@" "GSW" "L" -6 0 11 0.333 0.333 9.3 0 5.3 0 0 0 0 10.6 96 121 1 -6.7
"4" "4" 1985-11-19 25.26 "SAC" "@" "SAS" "W" 4 0 1 NA NA 0 0 0 0 0 0 NA 0 0 111 0 -4.5
"5" "5" 1985-11-21 25.27 "SAC" "" "MIL" "L" -34 0 10 0.698 0.714 0 0 0 0 0 0 11.3 36 111 127 5.9 6.5
"6" "6" 1985-11-24 25.27 "SAC" "" "NJN" "L" -15 0 2 0 0 0 80 27.9 0 0 0 0 51.9 0 103 -1.8 -44.1
"7" "7" 1985-11-29 25.29 "SAC" "@" "DAL" "L" -22 0 5 0 0 0 26.7 11.7 0 0 0 0 23 0 125 -2.2 -30.6
"8" "8" 1985-11-30 25.29 "SAC" "@" "HOU" "L" -17 0 2 0.5 0.5 0 0 0 0 0 0 0 41.2 105 138 1 -6.4
"9" "9" 1985-12-04 25.3 "SAC" "@" "LAC" "L" -25 0 4 0.5 0.5 0 0 0 0 10.9 0 0 19.2 97 98 1.6 4.5
"10" "10" 1985-12-08 25.31 "SAC" "@" "WSB" "L" -22 0 7 0.6 0.6 0 0 0 41.7 7.1 0 0 30.1 131 107 5.4 19.7
"11" "11" 1985-12-10 25.32 "SAC" "@" "NJN" "L" -6 0 9 0.68 0.6 13.7 0 6.8 0 0 0 0 27.3 147 109 6 8.5
"12" "12" 1985-12-11 25.32 "SAC" "@" "BOS" "L" -17 0 17 0.804 0.778 0 21.2 10.3 0 0 0 8.2 29.4 143 114 14 10.4
"13" "13" 1985-12-15 25.33 "SAC" "@" "MIL" "L" -58 0 22 0.25 0.25 4.8 18.2 9.5 8.2 0 0 27.3 19.6 47 140 -2.2 -15.3
"14" "14" 1985-12-17 25.34 "SAC" "" "DET" "W" 11 0 3 0.532 1 40 0 18.4 0 0 0 0 24.9 105 121 1.2 -5
"15" "15" 1985-12-28 25.37 "SAC" "" "LAL" "L" -22 0 6 1.25 1.25 18.6 36.4 24.6 0 7.5 0 0 13.5 234 112 6.4 29.1
"16" "16" 1986-01-06 25.39 "SAC" "" "WSB" "W" 19 0 2 NA NA 0 0 0 0 24.8 0 100 20.2 0 48 -0.4 -7.8
"17" "17" 1986-01-11 25.41 "SAC" "@" "CLE" "L" -4 0 3 0 0 0 0 0 0 0 0 0 13.9 0 121 -0.7 -18.7
"18" "18" 1986-01-13 25.41 "SAC" "@" "NYK" "L" -18 0 4 0.833 0.833 0 0 0 0 0 0 0 29.5 166 120 3.7 23.5
"19" "19" 1986-01-23 25.44 "SAC" "@" "HOU" "L" -17 0 2 NA NA 0 0 0 0 0 0 NA 0 0 137 0 -7.9
"20" "20" 1986-02-16 25.5 "SAC" "@" "SAS" "L" -19 0 1 NA NA 0 0 0 0 0 0 100 37.5 0 110 -1 -49.2
"21" "21" 1986-02-28 25.54 "SAC" "" "IND" "W" 21 0 1 0.5 0.5 0 0 0 0 0 0 0 87.8 109 105 1 -11.7
"22" "22" 1986-03-01 25.54 "SAC" "@" "UTA" "L" -16 0 5 1.136 NA 0 25.3 11.2 0 0 0 53.2 15.4 106 110 1.3 -3.7
"23" "23" 1986-03-09 25.56 "SAC" "" "DAL" "L" -15 0 6 0.521 0.5 0 22.2 10.7 21.1 0 0 0 21.3 115 116 1.8 -3.8
"24" "24" 1986-03-16 25.58 "SAC" "@" "DEN" "L" -6 0 4 NA NA 0 0 0 0 0 0 NA 0 0 128 0 -6.6
"25" "25" 1986-03-25 25.61 "SAC" "" "POR" "W" 17 0 2 0 0 0 0 0 0 0 0 0 20.1 0 101 -0.7 -23.8
"26" "26" 1986-04-03 25.63 "SAC" "@" "LAL" "L" -30 0 6 0.347 0 0 0 0 18.6 0 0 0 18.6 91 129 1.3 -7
"27" "27" 1986-04-05 25.64 "SAC" "" "PHO" "W" 19 0 1 0 0 0 0 0 0 0 0 0 40.5 0 107 -0.7 -48.6
"28" "28" 1986-04-12 25.65 "SAC" "" "LAL" "L" -13 0 6 0.5 0.5 29.1 21.1 25.8 0 0 0 0 12.6 129 102 2.3 1.2
