"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1983-10-28 22.49 "CLE" "" "NYK" "L" -7 1 27 0.667 0.667 14.4 16.2 15.2 16.7 0 12.3 14.3 11 139 122 12.2 NA
"2" "2" 1983-10-29 22.49 "CLE" "" "BOS" "L" -19 1 26 0.2 0.2 11.8 22.5 16.8 0 3.8 8.7 28.6 10.9 50 98 3.7 NA
"3" "3" 1983-11-01 22.5 "CLE" "@" "NJN" "L" -12 1 13 0.735 0.8 41 10.9 26.4 0 0 9 35.5 25.6 98 114 4.8 NA
"4" "4" 1983-11-02 22.5 "CLE" "" "HOU" "W" 9 1 38 0.444 0.429 11.8 17.3 14.8 3.6 0 2.7 0 8.9 119 98 8.7 NA
"5" "5" 1983-11-04 22.51 "CLE" "" "DAL" "W" 21 1 25 0.667 0.667 9.1 20.4 15.1 4.9 0 2.5 40 8.7 93 90 3 NA
"6" "6" 1983-11-05 22.51 "CLE" "@" "IND" "L" -12 1 31 0.81 1 5.7 32.8 16 0 6.8 6.1 18.8 7.4 126 93 11.9 NA
"7" "7" 1983-11-09 22.52 "CLE" "@" "SEA" "L" -12 1 15 0.174 0 15.6 16 15.8 0 0 3.4 63.5 22 25 122 -4.7 NA
"8" "8" 1983-11-10 22.53 "CLE" "@" "POR" "L" -5 1 21 0.515 0.667 8.5 20.3 15.9 0 0 2.7 34 12.1 71 116 1.3 NA
"9" "9" 1983-11-12 22.53 "CLE" "@" "GSW" "L" -7 1 15 0 0 0 6.3 3.3 0 0 0 66.7 7.9 0 109 -4 NA
"10" "10" 1983-11-16 22.54 "CLE" "@" "PHO" "L" -11 0 23 0.333 0.333 0 16.9 9.2 15.3 0 2.5 25 7.4 80 110 1.8 NA
"11" "11" 1983-11-17 22.55 "CLE" "@" "LAL" "L" -13 1 11 0.5 0.5 27.9 24.9 26.6 10.6 4.3 0 20 18.1 109 117 3.8 NA
"12" "12" 1983-11-23 22.56 "CLE" "" "WSB" "W" 9 0 27 0.711 0.75 15.8 14 15 17.6 0 9.9 10.6 14.8 139 98 13.6 NA
"13" "13" 1983-11-26 22.57 "CLE" "@" "NYK" "L" -12 0 21 0.5 0.5 9.3 19 13.4 0 2.4 8.9 20 10.4 92 91 4.4 NA
"14" "14" 1983-11-27 22.57 "CLE" "" "SAS" "W" 8 1 32 0.667 0.667 12 15.3 13.6 12.5 0 3.7 25 14.1 112 101 11.3 NA
"15" "15" 1983-11-29 22.58 "CLE" "@" "DET" "L" -10 1 14 0 0 0 28.6 14.6 0 0 8.3 50 12.9 0 107 -2.4 NA
"16" "16" 1983-11-30 22.58 "CLE" "" "POR" "W" 7 1 17 0.42 0.667 16.1 26.9 22 0 0 13.9 0 12.3 99 101 4.5 NA
"17" "17" 1983-12-02 22.59 "CLE" "" "IND" "W" 9 1 15 0 0 8 23.7 17 0 0 7.4 50 5.6 36 91 0.4 NA
"18" "18" 1983-12-06 22.6 "CLE" "@" "NJN" "L" -9 1 21 0.623 0.6 26.4 11.4 19.9 0 2.2 0 8.7 19.9 133 112 11.2 NA
"19" "19" 1983-12-07 22.6 "CLE" "" "ATL" "W" 14 1 27 0 0 13.3 17.8 15.2 9.9 2 2.9 38.1 12.9 36 101 -1.7 NA
"20" "20" 1983-12-09 22.61 "CLE" "" "MIL" "L" -13 1 35 0.19 0.143 14.9 6.5 10.9 0 1.5 6.4 20.2 11.6 55 103 4 NA
"21" "21" 1983-12-10 22.61 "CLE" "@" "CHI" "W" 6 1 11 1 1 0 9.7 5.1 0 0 4.8 0 7.5 200 97 3.6 NA
"22" "22" 1983-12-13 22.62 "CLE" "" "UTA" "L" -2 1 19 0.667 0.667 12.8 0 7.7 0 0 0 14.3 13.9 122 116 5.7 NA
"23" "23" 1983-12-14 22.62 "CLE" "@" "BOS" "L" -2 0 16 0.595 0.6 0 18.2 8.3 8.3 3.3 0 0 16.7 133 117 6.2 NA
"24" "24" 1983-12-16 22.62 "CLE" "@" "PHI" "L" -10 0 18 0.307 0.25 10.7 7.2 9.2 6.5 0 3.4 38.1 17.2 57 123 -0.9 NA
"25" "25" 1983-12-17 22.63 "CLE" "@" "WSB" "L" -24 0 24 0.615 0.5 0 11.4 6.3 0 4.1 7.2 55.1 10.2 52 115 2.1 NA
"26" "26" 1983-12-21 22.64 "CLE" "" "DET" "L" -7 0 23 0.563 0.5 9.3 40 25 9.8 2.1 11.2 0 15.4 135 99 14.4 NA
"27" "27" 1983-12-23 22.64 "CLE" "" "MIL" "L" -6 0 23 0.333 0.333 7.7 19.4 12.9 0 0 0 10 18.2 69 96 0.5 NA
"28" "28" 1983-12-29 22.66 "CLE" "" "ATL" "W" 11 0 14 0 0 9 44.7 28.6 0 0 8.3 33.3 9.4 18 73 0.3 NA
"29" "29" 1983-12-30 22.66 "CLE" "@" "ATL" "L" -11 0 19 0.429 0.429 19.9 29.4 25 0 0 3 12.5 19.3 97 117 4.4 NA
"30" "30" 1984-01-03 22.67 "CLE" "@" "MIL" "L" -12 0 16 0.5 0.5 0 14 6.2 0 0 0 0 10.1 114 115 1.8 NA
"31" "31" 1984-01-04 22.68 "CLE" "" "LAL" "L" -7 0 19 0.333 0.333 0 12.6 6.1 0 0 2.9 25 8.6 52 110 -0.6 NA
"32" "32" 1984-01-06 22.68 "CLE" "@" "BOS" "L" -18 0 26 0.375 0.375 16.8 29.1 22.5 11.4 0 0 11.1 14.6 97 118 4.6 NA
