"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1978-11-28 23.54 "DET" "@" "LAL" "W" 2 0 9 0.595 NA NA NA NA NA NA NA NA NA NA NA 7.6 NA
"2" "2" 1978-11-30 23.54 "DET" "@" "PHO" "L" -10 0 3 0.4 NA NA NA NA NA NA NA NA NA NA NA 2.9 NA
"3" "3" 1978-12-01 23.55 "DET" "@" "DEN" "L" -5 0 8 0.515 NA NA NA NA NA NA NA NA NA NA NA 5.1 NA
"4" "4" 1978-12-02 23.55 "DET" "@" "SDC" "W" 7 0 10 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1978-12-05 23.56 "DET" "" "BOS" "L" -2 0 6 0.515 NA NA NA NA NA NA NA NA NA NA NA 4.6 NA
"6" "6" 1978-12-07 23.56 "DET" "" "CLE" "W" 16 0 10 0.798 NA NA NA NA NA NA NA NA NA NA NA 3.2 NA
"7" "7" 1978-12-08 23.56 "DET" "@" "IND" "L" -7 0 20 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1978-12-09 23.57 "DET" "@" "KCK" "L" -24 0 15 0.381 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1978-12-12 23.58 "DET" "@" "CLE" "L" -17 0 12 0.5 NA NA NA NA NA NA NA NA NA NA NA 5.5 NA
"10" "10" 1978-12-15 23.58 "DET" "" "WSB" "L" -2 0 6 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1978-12-26 23.61 "DET" "@" "MIL" "L" -59 0 12 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1978-12-27 23.62 "DET" "" "HOU" "W" 12 0 4 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1978-12-30 23.62 "DET" "@" "HOU" "L" -11 0 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1979-01-02 23.63 "DET" "@" "SDC" "L" -18 0 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1979-01-11 23.66 "DET" "" "POR" "W" 3 0 2 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"16" "16" 1979-01-16 23.67 "DET" "@" "NYK" "L" -1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1979-01-17 23.67 "DET" "@" "NJN" "L" -7 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1979-01-18 23.68 "DET" "" "PHO" "L" -10 0 1 0 NA NA NA NA NA NA NA NA NA NA NA -0.7 NA
"19" "19" 1979-01-20 23.68 "DET" "" "KCK" "W" 12 0 5 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1979-01-25 23.7 "DET" "" "LAL" "W" 35 0 4 0.667 NA NA NA NA NA NA NA NA NA NA NA 6.1 NA
"21" "21" 1979-01-31 23.71 "DET" "" "NYK" "L" -22 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1979-02-02 23.72 "DET" "@" "KCK" "L" -16 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1979-02-06 23.73 "DET" "@" "HOU" "L" -5 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1979-02-07 23.73 "DET" "@" "PHI" "L" -11 0 7 0.129 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1979-02-10 23.74 "DET" "" "NOJ" "L" -2 0 3 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
