"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2015-10-28 20.82 "BRK" "" "CHI" "L" -15 0 24.25 0.667 0.667 0 29.1 11.8 0 4 4 14.3 11.7 112 109 8.6 1.8
"2" "2" 2015-10-30 20.82 "BRK" "@" "SAS" "L" -27 0 26.15 0.714 0.714 0 17.5 8.3 0 0 5.7 30 18.6 86 106 6.3 -0.8
"3" "3" 2015-10-31 20.82 "BRK" "@" "MEM" "L" -10 0 12.9333333333333 0 0 9.5 16.1 13.1 9.8 0 0 0 7.5 56 116 -0.2 -10
"4" "4" 2015-11-02 20.83 "BRK" "" "MIL" "L" -7 0 4.41666666666667 NA NA 0 0 0 0 0 0 NA 0 0 119 -0.4 -10.2
"5" "5" 2015-11-04 20.84 "BRK" "@" "ATL" "L" -14 0 11.4166666666667 0 0 0 36 16.4 11.7 13.9 0 0 7.8 31 84 3.2 6.7
"6" "6" 2015-11-06 20.84 "BRK" "" "LAL" "L" -6 1 25.3666666666667 0.525 0.667 15.4 35.8 24.2 15.7 1.9 0 29.6 11 100 101 6.5 -0.9
"7" "7" 2015-11-07 20.84 "BRK" "@" "MIL" "L" -8 1 23.5 0.266 0 17 13.6 15.4 30 6.7 0 0 7.1 124 95 9.2 9.5
"8" "8" 2015-11-11 20.85 "BRK" "@" "HOU" "W" 8 1 12.1666666666667 0 0 15.2 14.9 15 9.4 4.2 6.2 60 16.9 30 95 -0.4 -13
"9" "9" 2015-11-13 20.86 "BRK" "@" "SAC" "L" -2 1 16.8 0.667 0.667 6.5 34.3 21.3 7.9 0 0 25 10.1 111 105 3.7 -3.7
"10" "10" 2015-11-14 20.86 "BRK" "@" "GSW" "L" -8 1 31.9 0.509 0.5 13.3 29.9 21.6 9.2 3.2 2.6 12.7 11.2 112 97 11.8 4.6
"11" "11" 2015-11-17 20.87 "BRK" "" "ATL" "W" 2 1 23.2166666666667 0.595 0.6 4.6 4.8 4.7 13.4 2.3 0 14.5 14.1 113 101 6.3 -0.7
"12" "12" 2015-11-18 20.87 "BRK" "@" "CHO" "L" -5 1 24.5666666666667 0.512 0.5 0 9.5 4.5 4.9 1.9 0 17 10.5 88 115 2.3 -6.4
"13" "13" 2015-11-20 20.88 "BRK" "@" "BOS" "L" -25 1 31.3833333333333 0.488 0.458 12.7 28.9 19.8 11.2 4.6 0 27.3 23.6 84 113 9.7 -1.5
"14" "14" 2015-11-22 20.88 "BRK" "" "BOS" "W" 10 1 30.6166666666667 0.798 0.667 12.1 13.9 13.1 17 8.4 3.5 15.1 9.7 162 93 16.1 13.8
"15" "15" 2015-11-25 20.89 "BRK" "@" "OKC" "L" -11 1 28.3833333333333 0.661 0.571 6.9 40.1 21.4 4.7 0 0 0 12.1 147 111 11.3 2.8
"16" "16" 2015-11-28 20.9 "BRK" "@" "CLE" "L" -2 1 29.75 0.615 0.5 10.8 22.6 17 5.4 8.2 2.7 0 7.3 145 74 13.4 11.2
"17" "17" 2015-11-29 20.9 "BRK" "" "DET" "W" 4 1 21.3333333333333 0.205 0 5.8 10.7 8.8 0 0 2.9 0 10.3 59 89 1.1 -6.3
"18" "18" 2015-12-01 20.91 "BRK" "" "PHO" "W" 3 1 22.7666666666667 0.8 0.8 10.3 36.9 23.4 6.5 0 0 28.6 14.2 116 98 6.3 -2.5
"19" "19" 2015-12-04 20.92 "BRK" "@" "NYK" "L" -17 1 17.7666666666667 0.25 0.25 0 18.4 8.7 7.4 0 0 0 9.8 68 116 0.4 -10.3
"20" "" 2015-12-06 20.92 "BRK" "" "GSW" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2015-12-08 20.93 "BRK" "" "HOU" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2015-12-10 20.93 "BRK" "" "PHI" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2015-12-12 20.94 "BRK" "" "LAC" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2015-12-14 20.95 "BRK" "" "ORL" "L" -23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2015-12-16 20.95 "BRK" "" "MIA" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2015-12-18 20.96 "BRK" "@" "IND" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2015-12-20 20.96 "BRK" "" "MIN" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2015-12-21 20.96 "BRK" "@" "CHI" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2015-12-23 20.97 "BRK" "" "DAL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2015-12-26 20.98 "BRK" "" "WAS" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2015-12-28 20.98 "BRK" "@" "MIA" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2015-12-30 20.99 "BRK" "@" "ORL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2016-01-02 21 "BRK" "@" "BOS" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2016-01-04 21 "BRK" "" "BOS" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2016-01-06 21.01 "BRK" "" "TOR" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2016-01-08 21.01 "BRK" "" "ORL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2016-01-09 21.02 "BRK" "@" "DET" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2016-01-11 21.02 "BRK" "" "SAS" "L" -27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2016-01-13 21.03 "BRK" "" "NYK" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2016-01-15 21.03 "BRK" "" "POR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2016-01-16 21.04 "BRK" "@" "ATL" "L" -28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2016-01-18 21.04 "BRK" "@" "TOR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2016-01-20 21.05 "BRK" "" "CLE" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2016-01-22 21.05 "BRK" "" "UTA" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2016-01-24 21.06 "BRK" "" "OKC" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2016-01-26 21.06 "BRK" "" "MIA" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2016-01-29 21.07 "BRK" "@" "DAL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2016-01-30 21.07 "BRK" "@" "NOP" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2016-02-01 21.08 "BRK" "" "DET" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2016-02-03 21.08 "BRK" "" "IND" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2016-02-05 21.09 "BRK" "" "SAC" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2016-02-06 21.09 "BRK" "@" "PHI" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2016-02-08 21.1 "BRK" "" "DEN" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "" 2016-02-10 21.1 "BRK" "" "MEM" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "" 2016-02-19 21.13 "BRK" "" "NYK" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 2016-02-21 21.13 "BRK" "" "CHO" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2016-02-23 21.14 "BRK" "@" "POR" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "" 2016-02-25 21.15 "BRK" "@" "PHO" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "" 2016-02-27 21.15 "BRK" "@" "UTA" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "" 2016-02-29 21.16 "BRK" "@" "LAC" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "" 2016-03-01 21.16 "BRK" "@" "LAL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "" 2016-03-04 21.17 "BRK" "@" "DEN" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "" 2016-03-05 21.17 "BRK" "@" "MIN" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "" 2016-03-08 21.18 "BRK" "@" "TOR" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "" 2016-03-11 21.19 "BRK" "@" "PHI" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "" 2016-03-13 21.19 "BRK" "" "MIL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "" 2016-03-15 21.2 "BRK" "" "PHI" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "" 2016-03-17 21.2 "BRK" "@" "CHI" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "" 2016-03-19 21.21 "BRK" "@" "DET" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "20" 2016-03-22 21.22 "BRK" "" "CHO" "L" -5 0 15.4 0.512 0.5 0 22.8 11.7 22.5 3.3 0 17 18 96 106 3.7 -0.3
"71" "21" 2016-03-24 21.22 "BRK" "" "CLE" "W" 9 0 16.5166666666667 0.625 0.625 6.6 37.1 22.4 22 9.3 0 0 21.9 133 80 12.9 17.7
"72" "22" 2016-03-26 21.23 "BRK" "" "IND" "W" 10 0 16.0833333333333 0.773 0.667 9.3 15.3 12.6 8.3 2.9 0 20.5 12.9 135 107 5.9 2.4
"73" "23" 2016-03-28 21.23 "BRK" "@" "MIA" "L" -11 0 20.2333333333333 0.532 0 0 21.6 10.5 17.4 2.6 0 34.7 6.5 108 116 3.1 -0.3
"74" "" 2016-03-29 21.24 "BRK" "@" "ORL" "L" -34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "" 2016-03-31 21.24 "BRK" "@" "CLE" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" "24" 2016-04-01 21.24 "BRK" "@" "NYK" "L" -14 1 14.75 0.085 0 5.5 8.3 6.6 9 3.4 0 0 15.8 39 109 -0.6 -13.2
"77" "25" 2016-04-03 21.25 "BRK" "" "NOP" "L" -19 1 19 0.515 0.417 5.3 7.4 6.2 0 2.8 9.4 11.4 19.4 111 107 6.2 3.4
"78" "26" 2016-04-06 21.26 "BRK" "@" "WAS" "L" -18 1 23.9166666666667 0.444 0.357 4.2 9.3 6.6 17.2 2.1 0 0 14.1 113 126 6.1 -2.9
"79" "27" 2016-04-08 21.26 "BRK" "@" "CHO" "L" -14 0 23.4833333333333 0.438 0.438 0 31.4 14.1 6.2 0 4.4 0 14.2 103 121 5 -4.3
