"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1984-10-26 23.23 "PHO" "@" "GSW" "W" 8 1 24 0.487 0.455 6.1 0 2.9 27 3.7 0 19.6 25.9 96 105 7.9 -2.9
"2" "2" 1984-10-28 23.23 "PHO" "@" "SEA" "W" 15 1 21 0.5 0.5 11.4 14 12.8 24.6 0 0 27.3 21.8 85 92 5 -4.5
"3" "3" 1984-10-30 23.24 "PHO" "" "LAC" "W" 3 1 27 0.663 0.6 7.9 4.4 6.3 34 0 0 26.1 24.3 112 110 12.3 0.8
"4" "4" 1984-11-01 23.24 "PHO" "" "POR" "W" 9 1 31 0.51 0.4 3.4 15.9 9.9 21.6 3.1 0 14.5 8.5 127 98 9.2 5.2
"5" "5" 1984-11-03 23.25 "PHO" "@" "DAL" "W" 12 1 32 0.547 0.545 0 10.5 5.2 8.3 0 0 0 16 123 108 9.6 -0.9
"6" "6" 1984-11-06 23.26 "PHO" "@" "POR" "L" -17 1 21 0.4 0.4 8.3 13.9 10.4 0 2.1 0 37.5 13.7 59 110 0.1 -9.2
"7" "7" 1984-11-08 23.26 "PHO" "" "CLE" "W" 1 1 18 0.291 0.167 0 4.4 2.6 21.4 0 0 36.8 24.7 50 111 -2.2 -18.2
"8" "8" 1984-11-10 23.27 "PHO" "" "ATL" "L" -7 1 20 0.635 0.571 0 0 0 25.4 0 0 27.6 22.6 97 116 5.8 -2.4
"9" "9" 1984-11-13 23.28 "PHO" "@" "DEN" "L" -12 1 22 0.714 0.714 0 11.5 7.3 12.1 0 0 12.5 14.4 128 115 8.4 2.3
"10" "10" 1984-11-14 23.28 "PHO" "" "NJN" "W" 12 1 25 0.583 0.583 0 4.5 2.5 13.4 0 0 7.7 21.9 107 95 8.7 0.8
"11" "11" 1984-11-16 23.28 "PHO" "" "MIL" "W" 12 1 19 0.571 0.571 0 5.6 3 0 4.8 0 0 14.8 115 97 6.6 3.2
"12" "12" 1984-11-17 23.29 "PHO" "@" "UTA" "L" -14 1 25 0.222 0.222 8 13.2 10.9 11.6 1.7 0 18.2 15.7 57 97 0.3 -8.3
"13" "13" 1984-11-20 23.3 "PHO" "@" "LAL" "L" -22 1 24 0.689 0.667 4.9 0 2.8 6.9 1.9 2.4 29.8 23 92 125 7.8 -2.7
"14" "14" 1984-11-21 23.3 "PHO" "" "LAL" "L" -5 1 28 0.373 0.308 0 7.3 3.7 5 0 0 6.3 24.4 76 110 2.6 -11.4
"15" "15" 1984-11-23 23.3 "PHO" "" "PHI" "L" -2 1 26 0.2 0.2 0 0 0 9.1 0 2.1 16.7 18 45 107 -2.5 -13.3
"16" "16" 1984-11-25 23.31 "PHO" "@" "LAC" "L" -5 1 35 0.437 0.455 0 11.1 5.6 28 4 0 14.9 16.4 94 108 10.6 0.6
"17" "17" 1984-11-27 23.32 "PHO" "" "UTA" "W" 13 1 31 0.375 0.375 0 2.9 1.8 10.5 2.8 0 11.1 11.4 86 97 4.2 -5.3
"18" "18" 1984-11-29 23.32 "PHO" "" "CHI" "W" 5 1 33 0.5 0.5 0 0 0 22.2 0 0 0 12.5 122 106 7.3 -1.4
"19" "19" 1984-12-01 23.33 "PHO" "" "GSW" "W" 12 1 35 0.538 0.5 0 2.6 1.7 22 0 0 16.8 21.4 104 109 8.5 -5.8
"20" "20" 1984-12-03 23.33 "PHO" "@" "SEA" "L" -12 1 40 0.111 0.111 0 16.4 8 31.7 0 0 18.2 11.4 61 114 1.3 -8.8
"21" "21" 1984-12-04 23.33 "PHO" "@" "POR" "L" -8 1 38 0.418 0.4 0 6.3 3.2 22.7 0 1.6 10.7 21.1 88 116 7 -4.4
"22" "22" 1984-12-07 23.34 "PHO" "" "KCK" "W" 8 1 33 0.715 0.615 0 11.4 6.8 18 1.4 0 5.9 20.5 143 107 19.5 4.5
"23" "23" 1984-12-08 23.35 "PHO" "@" "GSW" "W" 4 1 40 0.575 0.462 3.2 2 2.5 18.3 2.4 1.3 0 17.1 137 102 17.7 6.3
"24" "24" 1984-12-11 23.35 "PHO" "" "HOU" "W" 8 1 38 0.929 0.944 0 16.1 9.2 12.4 5.1 0 15.7 14.6 153 105 23.1 10.8
"25" "25" 1984-12-13 23.36 "PHO" "" "WSB" "W" 30 1 25 0.619 0.563 5.1 3.4 4 19.5 1.8 0 25.3 18.7 105 83 8.8 2.3
"26" "26" 1984-12-15 23.36 "PHO" "@" "SAS" "L" -9 1 30 0.651 0.588 0 7 3.2 5.7 4.6 0 0 24.2 136 113 21 10.6
"27" "27" 1984-12-18 23.37 "PHO" "@" "KCK" "L" -11 1 23 0.145 0 0 0 0 17 1.9 0 12.7 13.2 55 121 0.2 -10.9
"28" "28" 1984-12-21 23.38 "PHO" "@" "LAL" "L" -14 1 27 0.3 0.3 0 4 1.8 8.7 0 0 0 14.6 78 122 0.3 -10.9
"29" "29" 1984-12-22 23.38 "PHO" "" "POR" "W" 2 1 24 0.6 0.6 0 5 2.7 18.2 3.8 0 28.6 23.6 88 102 7.4 -1
"30" "30" 1984-12-26 23.39 "PHO" "" "BOS" "L" -5 1 40 0.636 0.636 0 7.1 3.6 18.2 3.7 0 26.7 16.4 104 122 11.7 -0.7
"31" "31" 1984-12-28 23.4 "PHO" "" "DAL" "L" -14 1 24 0.455 0.444 0 0 0 10.8 2 0 16.8 22 79 126 3.9 -8.2
"32" "32" 1984-12-30 23.41 "PHO" "@" "LAC" "W" 8 1 32 0.464 0.464 0 4.8 1.9 0 0 0 12.5 20.5 85 115 2.3 -11.1
"33" "33" 1985-01-02 23.41 "PHO" "@" "KCK" "W" 8 1 25 0.619 0.563 4.3 0 2.1 19.5 1.9 0 25.3 19.2 106 111 6.9 -3.2
"34" "34" 1985-01-04 23.42 "PHO" "@" "NJN" "L" -7 1 34 0.682 0.682 4.3 15.3 10.7 9.7 0 0 38.9 23.8 80 114 5.9 -7.1
"35" "35" 1985-01-05 23.42 "PHO" "@" "CLE" "L" -5 1 32 0.472 0.433 0 4.4 2.1 9.7 1.5 0 0 21.4 97 115 8.8 -2.8
"36" "36" 1985-01-07 23.43 "PHO" "@" "PHI" "L" -1 1 30 0.47 0.5 0 5.7 2.9 22.1 3.9 0 0 12.8 125 119 7.5 2.3
"37" "37" 1985-01-09 23.43 "PHO" "" "SEA" "W" 6 1 33 0.636 0.611 0 3.5 2 18.9 1.5 0 17.5 15.5 107 96 8.2 0.3
"38" "38" 1985-01-11 23.44 "PHO" "" "LAC" "L" -14 1 29 0.581 0.5 0 3.6 1.7 28.5 0 0 30.4 14.2 93 112 5.4 -3.8
"39" "39" 1985-01-12 23.44 "PHO" "" "UTA" "W" 15 1 33 0.788 0.75 11.2 0 5 20.6 1.3 0 31.1 15.1 116 92 13 3.5
"40" "40" 1985-01-16 23.45 "PHO" "" "DAL" "W" 3 1 13 0 0 0 9.2 4.7 0 0 4.8 50 7 0 106 -1.5 -10.7
"41" "41" 1985-01-18 23.46 "PHO" "" "HOU" "L" -11 1 33 0.291 0.267 3.5 3.4 3.5 13.6 3 0 11.5 20.4 79 116 2.8 -8.4
"42" "42" 1985-01-19 23.46 "PHO" "@" "SAS" "L" -6 1 29 0.643 0.6 0 4 1.8 28.3 3.3 0 26.9 10.8 107 104 7.6 1.4
"43" "43" 1985-01-22 23.47 "PHO" "@" "HOU" "L" -4 1 23 0.506 0.444 4.6 5.2 4.9 25.6 6.6 0 16.8 21.7 102 101 8.9 5
"44" "44" 1985-01-23 23.47 "PHO" "@" "ATL" "L" -1 1 32 0.635 0.571 0 13.6 6.7 9.1 1.5 0 0 10.3 143 103 9.5 2.2
"45" "45" 1985-01-26 23.48 "PHO" "@" "WSB" "L" -5 1 28 0.508 0.429 0 9.2 5.7 18.8 0 1.8 27.6 16.8 85 99 3.7 -4.4
"46" "46" 1985-01-29 23.49 "PHO" "@" "DEN" "L" -28 1 22 0.359 0.375 5 0 2.6 6.5 2.1 0 17 21.6 69 128 -0.2 -12.9
"47" "47" 1985-01-30 23.49 "PHO" "" "NYK" "W" 17 1 28 0.634 0.583 0 0 0 15.1 1.7 0 22 27.3 102 100 9.9 -2.7
"48" "48" 1985-02-03 23.5 "PHO" "" "SEA" "W" 11 1 31 0.403 0.273 0 7.9 4 13.1 0 0 0 18.3 108 114 6 -8
"49" "49" 1985-02-05 23.51 "PHO" "" "DEN" "W" 5 1 29 0.254 0.286 4.2 6.4 5.5 4.2 3.1 0 20.2 12.9 55 98 0.7 -6.8
"50" "50" 1985-02-07 23.51 "PHO" "" "IND" "W" 8 1 25 0.333 0.333 3.7 5.5 4.4 10.9 0 0 25 12.5 69 107 -0.6 -13.3
"51" "51" 1985-02-12 23.53 "PHO" "@" "HOU" "L" -12 1 12 NA NA 0 0 0 0 0 0 NA 0 0 122 -1.6 -13.5
"52" "52" 1985-02-14 23.53 "PHO" "@" "SAS" "L" -29 0 9 0 0 0 0 0 12.4 0 0 0 16.9 15 128 -2.9 -23
"53" "53" 1985-02-15 23.53 "PHO" "@" "DAL" "W" 23 1 24 0.645 0.5 0 8.2 5.1 0 0 0 13.9 13.3 117 112 4.4 -7.7
"54" "54" 1985-02-17 23.54 "PHO" "@" "IND" "W" 18 1 29 0.759 0.722 0 9.4 5.3 0 0 0 0 13.7 156 99 11.2 3.2
"55" "55" 1985-02-18 23.54 "PHO" "@" "DET" "L" -19 1 20 0.25 0.25 0 0 0 12.1 0 0 20 10.3 60 127 0 -11.1
"56" "56" 1985-02-20 23.55 "PHO" "" "HOU" "L" -4 1 27 0.304 0.222 0 4.9 2.1 8.2 1.7 0 0 13.8 94 125 2.4 -10.2
"57" "57" 1985-02-22 23.55 "PHO" "" "SAS" "L" -7 1 22 0.51 0.4 0 5.5 2.8 15.7 4.1 0 46 19.6 66 109 2.3 -5.8
"58" "58" 1985-02-24 23.56 "PHO" "@" "DEN" "L" -10 1 13 0.5 0.5 0 7.7 4.2 9.2 0 0 50 12.6 59 123 0 -9.9
"59" "59" 1985-03-04 23.58 "PHO" "" "DAL" "L" -8 0 6 0.347 0 0 0 0 0 0 0 0 20.9 81 116 0.6 -10.4
"60" "60" 1985-03-16 23.61 "PHO" "@" "MIL" "L" -29 0 14 0.608 0.375 7 30.3 16.5 11.2 3.3 0 14.8 19.4 120 113 6.5 5
"61" "61" 1985-03-19 23.62 "PHO" "" "LAL" "L" -18 0 22 0.595 0.577 10.4 11.5 10.9 53.2 0 0 0 23.6 139 125 15.8 9.2
"62" "62" 1985-03-21 23.63 "PHO" "" "POR" "W" 10 0 17 0.375 0.375 0 0 0 22.6 2.6 0 27.3 23.2 72 100 0.9 -9.8
"63" "63" 1985-03-23 23.63 "PHO" "@" "GSW" "L" -14 0 3 0 0 0 0 0 38.1 0 0 0 12.6 56 126 0 -8.9
"64" "64" 1985-03-26 23.64 "PHO" "" "DET" "L" -26 0 4 0 0 0 0 0 0 11.5 0 50 21.2 0 101 -0.7 -13.3
"65" "65" 1985-03-28 23.65 "PHO" "@" "LAC" "L" -6 1 21 0.438 0.438 0 0 0 13.4 0 0 11.1 17.4 86 116 2.2 -8.2
"66" "66" 1985-03-30 23.65 "PHO" "" "LAC" "L" -9 1 16 0.276 0.2 11.8 8.6 10.5 7.7 2.8 0 8.4 27.5 76 113 0.6 -13.8
"67" "67" 1985-03-31 23.65 "PHO" "@" "LAL" "L" -25 0 13 0.167 0.167 8.8 0 5.7 9.9 0 0 14.3 23 50 140 -1.8 -22
"68" "68" 1985-04-02 23.66 "PHO" "" "SEA" "W" 10 0 17 0.765 0.7 0 0 0 15.9 2.8 0 14.5 16.8 130 109 8.1 4.3
"69" "69" 1985-04-04 23.67 "PHO" "" "DEN" "L" -7 0 4 0 0 0 0 0 0 0 0 50 19.3 0 114 -1.7 -28.2
"70" "70" 1985-04-06 23.67 "PHO" "@" "UTA" "L" -11 0 10 0.5 0.5 0 10 4.8 12.9 5 0 33.3 12.2 74 102 1.2 -5
"71" "71" 1985-04-07 23.67 "PHO" "@" "SEA" "W" 15 0 5 0.521 0.5 0 22.9 12.8 21.6 0 0 0 24.4 122 110 2.6 -1.5
"72" "72" 1985-04-09 23.68 "PHO" "@" "POR" "L" -16 0 18 0.556 0.7 5.9 0 3.1 17.8 0 0 12.2 18.1 101 117 4.8 -1.7
"73" "73" 1985-04-12 23.69 "PHO" "" "UTA" "W" 4 0 7 0 0 0 0 0 0 0 0 33.3 18.3 0 102 -2.8 -27.9
"74" "74" 1985-04-14 23.69 "PHO" "" "GSW" "W" 13 0 8 NA NA 0 36.7 20 12.8 0 0 100 10 23 96 -1.2 -14
"1" "1" 1985-10-25 24.22 "PHO" "@" "POR" "L" -5 0 14 0.608 0.5 0 0 0 19.2 0 0 25.8 19.9 103 118 2.8 -6.8
"2" "2" 1985-10-29 24.24 "PHO" "" "DEN" "L" -15 0 17 0.387 0.333 0 10.5 5.9 0 0 0 0 7.3 91 113 0.7 -6
"3" "3" 1985-10-31 24.24 "PHO" "" "LAL" "L" -37 0 21 0.1 0.1 4.3 0 2.5 16.4 3.7 0 9.1 17 40 118 -1.2 -9.7
"4" "4" 1985-11-01 24.24 "PHO" "@" "UTA" "L" -11 0 13 0 0 0 0 0 18.9 0 0 25 11.4 26 111 -2.1 -11.4
"5" "5" 1986-02-12 24.53 "CHI" "@" "PHI" "L" -8 0 5 0.266 0 0 0 0 0 0 0 34.7 22.2 40 113 -1.5 -22.3
"6" "6" 1986-02-17 24.54 "CHI" "@" "IND" "L" -14 0 17 0.685 0.714 6.9 0 3.5 9.8 11.1 0 0 21.8 139 106 13.7 18.2
"7" "7" 1986-02-19 24.55 "CHI" "@" "NJN" "W" 3 0 24 0.682 0.636 11.1 0 5.6 14.3 0 0 13.2 28.4 128 110 13.1 4.7
"8" "8" 1986-02-21 24.55 "CHI" "" "POR" "W" 12 0 33 0.497 0.5 0 0 0 34.5 6 0 13.3 19.4 111 96 12.8 4.6
"9" "9" 1986-02-22 24.55 "CHI" "" "SEA" "W" 4 0 37 0.504 0.538 2.9 11.1 6.5 11.6 2.9 0 6.7 17.8 106 106 9.2 -3.1
"10" "10" 1986-02-24 24.56 "CHI" "@" "DET" "L" -10 0 30 0.418 0.333 0 12.3 5.5 13.6 6.9 0 8.5 17.2 97 110 9.5 2.6
"11" "11" 1986-02-25 24.56 "CHI" "" "PHI" "L" -14 0 37 0.606 0.563 2.9 11.3 7.2 17.1 0 0 10.4 21.6 116 126 14.1 -3.8
"12" "12" 1986-02-28 24.57 "CHI" "" "CLE" "W" 20 0 24 0.54 0.538 0 0 0 12.5 0 0 12.6 29.1 102 117 6.5 -11.5
"13" "13" 1986-03-04 24.58 "CHI" "" "BOS" "L" -12 0 30 0.421 0.364 3.6 0 1.9 23.1 1.7 0 7.8 18.6 99 116 7.7 -3
"14" "14" 1986-03-05 24.58 "CHI" "@" "BOS" "L" -11 0 10 0 0 12 0 6.2 0 0 0 33.3 13.2 23 119 -1.7 -15.6
"15" "15" 1986-03-07 24.59 "CHI" "" "ATL" "L" -4 0 9 0.644 0.667 0 0 0 0 5.4 0 34 26.5 75 111 1.5 -6.8
"16" "16" 1986-03-09 24.59 "CHI" "" "NYK" "W" 13 0 15 0.643 0.6 0 0 0 19.8 3.4 0 15.5 17.9 126 107 5.3 1.6
"17" "17" 1986-03-11 24.6 "CHI" "" "NJN" "W" 13 0 25 0.5 0.5 0 12.5 6.3 10.3 1.9 0 16.7 19.1 93 100 5.1 -5.3
"18" "18" 1986-03-13 24.61 "CHI" "" "DEN" "W" 10 0 24 0.333 0.333 0 13.6 6.7 16.2 2 0 14.3 11.4 87 105 3.2 -4.4
"19" "19" 1986-03-15 24.61 "CHI" "" "MIL" "L" -9 0 29 0.167 0.167 3.2 0 2.2 17.8 0 0 14.3 9.8 71 130 -0.1 -10.4
"20" "20" 1986-03-17 24.62 "CHI" "@" "ATL" "L" -10 0 20 0.381 0.357 4.6 0 2.5 0 0 0 20.2 19 74 120 -0.2 -13.4
"21" "21" 1986-03-19 24.62 "CHI" "@" "PHI" "L" -6 0 8 0 0 0 0 0 13.3 0 0 0 4.9 60 124 0 -9.5
"22" "22" 1986-03-21 24.63 "CHI" "@" "BOS" "L" -21 0 12 0.5 0.5 0 9.3 4.1 11.8 3.8 0 20 14.9 90 116 2.2 -4.1
"23" "23" 1986-03-22 24.63 "CHI" "@" "CLE" "L" -26 0 8 0 0 0 0 0 0 0 0 0 4.9 0 122 -1.9 -17.4
"24" "24" 1986-03-28 24.65 "CHI" "@" "NJN" "L" -11 0 8 0 0 0 0 0 0 0 0 0 5.6 0 133 -1.1 -15.4
"25" "25" 1986-03-29 24.65 "CHI" "@" "NYK" "W" 10 0 26 0.761 0.714 6.4 0 2.9 18 3.9 0 0 13.2 169 101 13.5 11.6
"26" "26" 1986-04-01 24.66 "CHI" "@" "MIL" "L" -9 0 3 0.333 0.333 0 36.4 18.4 57.1 16.3 0 0 41.1 97 80 1.9 11.7
"27" "27" 1986-04-03 24.66 "CHI" "@" "IND" "W" 1 0 2 0 0 0 0 0 53.3 0 0 0 22.3 57 126 0 -14.5
"28" "28" 1986-04-08 24.68 "CHI" "@" "ATL" "L" -13 0 11 0.429 0.429 0 16.8 10.1 25 0 0 0 25.2 102 123 3.9 -4.2
"1" "1" 1986-11-07 25.26 "POR" "" "DAL" "W" 7 0 16 0.266 0 0 0 0 15.4 0 0 34.7 14.6 52 110 -2 -13.6
"2" "2" 1986-11-09 25.27 "POR" "" "PHI" "L" -6 0 14 0.316 0.2 0 10.1 4.4 35.6 0 0 32.2 25.1 67 123 0.2 -13.8
"3" "3" 1986-11-11 25.27 "POR" "" "GSW" "W" 18 0 6 0.667 0.667 0 16.7 9.6 25 0 0 40 33.5 76 108 0.9 -15.3
"4" "4" 1986-11-14 25.28 "POR" "" "LAC" "W" 10 0 6 0.5 0.5 17 0 8.9 0 7.6 10.4 0 12.1 137 84 3 14.9
"5" "5" 1986-11-16 25.28 "POR" "" "UTA" "W" 21 0 4 1 1 31.6 25.5 28.2 29.3 0 0 0 9.5 201 95 2.6 10.8
"6" "6" 1986-11-20 25.3 "POR" "@" "DEN" "L" -14 0 19 0.75 0.75 0 5.1 2.9 20 2 0 0 10.9 159 114 8.2 4.7
"7" "7" 1986-11-21 25.3 "POR" "" "SAS" "W" 13 0 10 0.41 0.25 16.6 9.6 12.2 21.7 0 0 17 23.8 109 114 3 -7.9
"8" "8" 1986-11-23 25.3 "POR" "" "IND" "W" 13 0 2 1 1 0 0 0 0 0 0 0 21.8 200 104 1.3 5.8
"9" "9" 1986-11-25 25.31 "POR" "@" "WSB" "L" -12 0 4 0 0 0 34.3 14 0 11.8 0 0 29.2 0 84 -0.8 -12.8
"10" "10" 1986-11-28 25.32 "POR" "@" "PHI" "L" -4 0 8 0.515 0.333 11.8 0 6.7 0 5.8 0 0 19.1 124 111 4 4.2
"11" "11" 1986-12-02 25.33 "POR" "" "LAC" "W" 35 0 13 0.363 0.333 0 33.6 17.2 8.3 0 0 12.7 22.7 79 99 1.7 -13.8
"12" "12" 1986-12-09 25.35 "POR" "@" "SAS" "W" 16 0 4 0.266 0 0 0 0 53.3 0 0 51.5 39.4 52 113 -0.7 -22.3
"13" "13" 1986-12-10 25.35 "POR" "@" "DAL" "L" -1 0 14 0.4 0.4 0 0 0 8.3 3 0 16.7 15.8 76 116 1.6 -6.9
"14" "14" 1986-12-12 25.36 "POR" "@" "LAC" "W" 1 0 5 0.5 0.5 0 0 0 66.7 0 0 0 35.5 115 124 3 -1.6
"15" "15" 1986-12-14 25.36 "POR" "" "DAL" "W" 34 0 9 0.6 0.6 0 10.1 5.8 30.5 5.1 0 16.7 26.1 113 92 4.6 3
"16" "16" 1986-12-16 25.37 "POR" "" "SEA" "W" 8 0 2 NA NA 0 0 0 0 0 0 NA 0 0 125 0 -5.4
"17" "17" 1986-12-18 25.37 "POR" "@" "LAL" "L" -16 0 2 1.136 NA 0 0 0 55.8 0 0 0 15.8 240 123 2.7 31.6
"18" "18" 1986-12-19 25.38 "POR" "" "HOU" "W" 3 0 1 NA NA 0 0 0 0 50.9 0 NA 0 0 21 1 60.4
"19" "19" 1986-12-21 25.38 "POR" "" "WSB" "W" 27 0 5 0 0 0 21.8 11 0 0 0 50 15.3 0 101 -1.4 -21.2
"20" "20" 1986-12-23 25.39 "POR" "@" "GSW" "L" -1 0 2 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -6.7
"21" "21" 1986-12-28 25.4 "POR" "@" "SEA" "W" 9 0 1 0.568 NA 0 0 0 0 0 0 0 36.1 123 123 0.6 -1.5
"22" "22" 1986-12-30 25.41 "POR" "" "PHO" "W" 15 0 2 1 1 0 0 0 0 0 0 0 43.4 200 114 3.4 29.3
"23" "23" 1987-01-01 25.41 "POR" "" "LAL" "L" -36 0 9 0.363 0.333 0 0 0 0 0 0 22.5 36.9 56 127 -0.8 -18.4
"24" "24" 1987-01-04 25.42 "POR" "" "SAC" "W" 17 0 13 0 0 0 9.5 4.6 37.7 0 0 0 9.3 93 115 0.9 -8.2
