"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1956-10-27 22.67 "SYR" "" "PHW" "W" 6 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1956-10-28 22.67 "SYR" "" "ROC" "W" 16 NA NA 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1956-11-03 22.69 "SYR" "" "STL" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1956-11-04 22.69 "SYR" "" "STL" "L" -2 NA NA 0.307 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1956-11-10 22.71 "SYR" "@" "ROC" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1956-11-11 22.71 "SYR" "" "BOS" "L" -11 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1956-11-15 22.72 "SYR" "" "MNL" "L" -7 NA NA 0.725 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1956-11-17 22.73 "SYR" "" "PHW" "L" -13 NA NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1956-11-18 22.73 "SYR" "" "PHW" "W" 2 NA NA 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1956-11-20 22.73 "SYR" "@" "STL" "L" -23 NA NA 0.322 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1956-11-22 22.74 "SYR" "@" "MNL" "L" -33 NA NA 0.342 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1956-11-24 22.75 "SYR" "@" "BOS" "L" -15 NA 19 0.483 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1956-11-27 22.75 "SYR" "" "ROC" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1956-11-29 22.76 "SYR" "" "FTW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1956-12-01 22.76 "SYR" "@" "NYK" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1956-12-02 22.77 "SYR" "" "NYK" "W" 10 NA 28 0.28 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1956-12-04 22.77 "SYR" "" "FTW" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1956-12-06 22.78 "SYR" "@" "FTW" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1956-12-07 22.78 "SYR" "" "FTW" "L" -8 NA NA 0.939 NA NA NA NA NA NA NA NA NA NA NA NA NA
