"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1992-11-06 22.96 "GSW" "@" "UTA" "W" 15 0 9 0.727 0.667 14.8 41 28.4 0 10.7 0 0 16.3 163 91 5.3 6.6
"2" "2" 1992-11-07 22.96 "GSW" "@" "MIN" "W" 2 0 25 0.798 1 9.4 9.6 9.5 4.4 0 2.5 0 3.2 176 118 3.7 -3.6
"3" "3" 1992-11-10 22.97 "GSW" "" "LAL" "L" -1 0 4 0 0 0 25.5 13.3 0 0 0 0 20 0 100 -2.3 -31
"4" "4" 1992-11-12 22.98 "GSW" "" "CLE" "L" -4 0 5 NA NA 0 0 0 0 0 0 NA 0 0 120 -0.8 -11.7
"5" "5" 1992-11-14 22.98 "GSW" "" "POR" "L" -14 0 1 NA NA 0 0 0 0 0 0 NA 0 0 125 -0.4 -20.4
"6" "6" 1992-11-15 22.98 "GSW" "@" "LAL" "L" -3 0 12 0.5 0.5 8.7 10 9.3 0 0 0 0 6.2 132 111 0.8 -6
"7" "7" 1992-11-17 22.99 "GSW" "@" "MIA" "W" 6 0 1 0 0 88.9 100 100 0 0 0 0 71.6 38 89 -0.4 -58
"8" "8" 1992-11-19 22.99 "GSW" "@" "ORL" "L" -24 0 17 0.63 0.333 0 6.6 2.9 7.8 8.2 11.6 17.4 13.3 117 105 7 7.8
"9" "9" 1992-11-20 23 "GSW" "@" "CHH" "L" -7 0 18 1 1 5.7 28.3 17 0 0 3.4 50 4.8 98 106 1.2 -7.9
"10" "10" 1992-11-22 23 "GSW" "@" "NJN" "W" 13 0 14 0.862 1 8.2 6.9 7.5 8.1 3.5 0 30.1 9.9 128 103 3 -0.7
"11" "11" 1992-11-24 23.01 "GSW" "" "CHI" "L" -9 0 16 0.525 0.333 18.8 17.1 18.1 8.3 0 4.3 17.4 15.8 114 108 4 -1.4
"12" "12" 1992-11-27 23.01 "GSW" "@" "PHO" "L" -14 0 22 0.812 0.75 16.4 18.2 17.2 7.3 0 3.4 21.3 25.5 136 126 13.4 5.5
"13" "13" 1992-11-28 23.02 "GSW" "" "PHO" "W" 3 0 19 0.484 0.5 7.2 0 3.2 0 0 3.5 24.4 18 80 130 0.6 -13.6
"14" "14" 1992-12-02 23.03 "GSW" "" "CHH" "L" -1 0 22 0.087 0 4.6 0 2.7 5.5 4.1 0 41 17 22 102 -5.6 -15
"15" "15" 1992-12-04 23.03 "GSW" "@" "DEN" "L" -3 0 4 0 0 0 55.8 28.6 0 0 0 33.3 28.8 0 105 -2.6 -38
"16" "16" 1992-12-05 23.04 "GSW" "" "ORL" "W" 15 0 8 0.833 0.5 34 20 26.5 0 5.6 0 19.2 24.5 155 87 7.9 13
"17" "17" 1992-12-08 23.04 "GSW" "" "IND" "L" -10 0 13 0.532 0.5 16.4 36.9 26.1 0 0 4.7 34.7 17.5 83 118 1.1 -11.7
"18" "18" 1992-12-10 23.05 "GSW" "" "MIL" "W" 12 0 13 1.136 NA 0 7.7 4.6 0 3.8 0 69.4 9.7 68 102 0.1 -7.3
"19" "19" 1992-12-12 23.05 "GSW" "@" "SAC" "W" 4 0 15 0.8 0.8 8.4 23.4 16.2 0 0 3.8 0 14.4 166 120 6.8 0.5
"20" "20" 1992-12-15 23.06 "GSW" "" "LAC" "W" 19 0 14 NA NA 0 40.3 21.7 0 0 8.1 100 5.9 0 80 0 -7.2
"21" "21" 1992-12-16 23.07 "GSW" "@" "LAC" "W" 2 0 7 1.064 1 22.3 16.5 18.9 19.7 14.3 0 51.5 23.8 109 80 4.2 12.9
"22" "22" 1992-12-19 23.07 "GSW" "" "MIN" "W" 6 0 10 1.136 NA 0 51 23.5 0 0 11.8 53.2 7.6 105 90 3.5 2.8
"23" "23" 1992-12-20 23.08 "GSW" "@" "POR" "L" -16 0 16 1.064 1 0 18.4 10.3 0 0 0 51.5 9.2 93 123 0.2 -9.5
"24" "24" 1992-12-22 23.08 "GSW" "@" "PHO" "L" -2 0 11 0.266 0 0 19.4 10.3 0 0 11.6 51.5 15.5 28 111 -0.9 -10.8
"25" "25" 1992-12-23 23.08 "GSW" "" "DAL" "W" 14 0 13 0.798 0.667 9.7 24.1 17.6 0 0 0 15.1 21.8 145 102 7.1 1.6
"26" "26" 1992-12-26 23.09 "GSW" "@" "DAL" "W" 14 0 4 0.543 0 58.5 39.3 47.1 27.3 0 0 26.6 38.5 113 84 3.2 3.3
"27" "27" 1992-12-28 23.1 "GSW" "@" "SAS" "W" 1 0 2 NA NA 0 63.2 27.6 0 0 0 NA 0 0 102 0.3 -0.7
"28" "28" 1992-12-29 23.1 "GSW" "@" "HOU" "W" 20 0 18 0.868 1 9.2 30.3 21.9 0 5 0 51 13.4 81 97 3.6 -1.6
"29" "29" 1993-01-02 23.11 "GSW" "" "HOU" "W" 6 0 23 0.515 0.5 15.3 21.3 18.6 5.5 0 0 11.4 16.5 111 110 5.1 -5.7
"30" "30" 1993-01-05 23.12 "GSW" "@" "SEA" "L" -10 0 29 0.507 0.5 12.7 7.7 10.1 0 0 8.2 18.4 16.7 95 124 6.5 -5
"31" "31" 1993-01-07 23.13 "GSW" "" "MIA" "W" 14 0 15 0.764 0.8 8 9.7 8.8 12.7 3.2 0 12.2 22.2 137 105 8 4.9
"32" "32" 1993-01-09 23.13 "GSW" "@" "DET" "W" 4 0 7 0 0 0 21.8 13.9 0 0 0 25.8 23.7 0 96 -3.4 -27.8
"33" "33" 1993-01-12 23.14 "GSW" "@" "ATL" "L" -8 0 8 0.694 0.5 0 0 0 0 0 0 0 14.3 158 128 2.6 -1.4
"34" "34" 1993-01-13 23.14 "GSW" "@" "PHI" "L" -7 0 3 0.568 NA 30.8 37.2 33.7 0 0 0 0 10.7 145 116 1.2 -4.1
"35" "35" 1993-01-15 23.15 "GSW" "@" "CHI" "L" -21 0 16 0.601 0.571 7.5 29 16.9 0 5.9 3.8 19.4 26.4 98 107 6.2 -1.6
"36" "36" 1993-01-18 23.16 "GSW" "" "SAC" "L" -4 0 11 0.6 0.6 8.9 0 5.1 0 4.5 0 16.7 22.7 99 115 3.6 -3.7
"37" "37" 1993-01-22 23.17 "GSW" "" "SEA" "L" -4 0 21 0.735 0.583 11.3 6.7 9.2 0 0 0 0 19.5 163 111 10.7 6.5
"38" "38" 1993-01-26 23.18 "GSW" "@" "POR" "L" -10 0 5 0 NA 0 31 14.3 0 9.1 0 0 7 0 117 -0.3 -8.3
"39" "39" 1993-01-27 23.18 "GSW" "" "DEN" "W" 28 0 13 0.436 0.333 0 16.1 8.7 18.8 0 0 0 10.3 120 93 3.3 2.3
"40" "40" 1993-01-29 23.19 "GSW" "" "LAC" "L" -1 0 11 1 1 19.8 19.4 19.6 0 0 0 0 3.8 202 112 3.3 -1
"41" "41" 1993-02-01 23.19 "GSW" "@" "MIL" "L" -14 0 17 0.47 0.429 20.2 14.1 17.2 9.2 0 0 35 26.7 75 113 0.3 -14.8
"42" "42" 1993-02-02 23.2 "GSW" "@" "CLE" "L" -10 0 17 0.6 0.6 0 21.7 10.7 0 0 0 0 12.7 128 109 4.6 1.5
"43" "43" 1993-02-04 23.2 "GSW" "@" "NYK" "L" -4 0 24 0.41 0.25 8.5 29.3 18.2 0 0 0 17 10.3 90 109 2.2 -7.2
"44" "44" 1993-02-05 23.21 "GSW" "@" "WSB" "L" -27 0 13 0.798 0.75 0 11.9 5.2 0 7.2 4.3 21 29.5 128 122 10.6 11.2
"45" "45" 1993-02-07 23.21 "GSW" "@" "BOS" "L" -5 0 1 NA NA 0 0 0 0 0 0 NA 0 0 114 0 -4.5
"46" "46" 1993-02-09 23.22 "GSW" "" "ATL" "L" -11 0 17 0.375 0.375 18 20.7 19.3 0 5.7 0 11.1 21.6 87 115 3.6 -9.3
"47" "47" 1993-02-11 23.22 "GSW" "" "PHO" "L" -22 0 18 0.167 0.167 14.3 16.7 15.4 19.8 5.1 7.3 25 16.7 59 106 3.9 -1.3
"48" "48" 1993-02-13 23.23 "GSW" "@" "SAC" "W" 1 0 15 0.444 0.2 28.2 8 17.3 17.9 0 0 0 18.2 132 113 5.5 -0.2
"49" "49" 1993-02-14 23.23 "GSW" "" "WSB" "W" 20 0 30 0.463 0.167 5.9 35.1 18.5 3.7 1.5 0 10.4 12.1 110 89 7.8 -2
"50" "50" 1993-02-16 23.24 "GSW" "" "SAS" "W" 21 1 27 0.543 0.5 9.6 14.8 12.2 15.2 0 0 13.4 11.8 125 115 6.5 -2.7
"51" "51" 1993-02-18 23.24 "GSW" "" "SEA" "L" -15 1 32 0.635 0.643 0 8.6 3.8 18.8 1.5 1.9 0 9.8 158 135 11.3 6.4
"52" "52" 1993-02-24 23.26 "GSW" "" "UTA" "W" 12 0 26 0.554 0.4 17.6 18.5 18 0 1.9 0 24 12.8 110 109 5.3 -7.5
"53" "53" 1993-02-26 23.26 "GSW" "" "LAC" "L" -8 0 9 0.667 0.667 0 22.7 12.1 0 0 0 25 18.5 88 103 1.5 -6.5
"54" "54" 1993-02-27 23.27 "GSW" "@" "SEA" "L" -17 0 29 0.521 0.5 23 21.4 22.2 6.8 5.6 0 14.8 23.2 107 114 10.8 0.5
"55" "55" 1993-03-01 23.27 "GSW" "" "PHI" "W" 13 0 21 0.45 0.375 13.2 23.4 17.6 23.7 0 6.5 0 15.6 133 109 11.4 5.5
"56" "56" 1993-03-07 23.29 "GSW" "" "POR" "L" -17 0 20 0.205 0.125 13.6 16.4 14.8 21.4 2.4 5.2 17 22.4 62 106 1.9 -7.6
"57" "57" 1993-03-10 23.3 "GSW" "@" "PHO" "L" -11 0 23 0.429 0.429 5.5 21.7 14.6 0 2.2 0 30 18.7 63 110 0.9 -11.2
"58" "58" 1993-03-11 23.3 "GSW" "" "NJN" "L" -12 0 20 0.338 0.25 0 16.4 8.3 7.6 0 0 31.1 13.8 59 114 -1.8 -15.2
"59" "59" 1993-03-16 23.31 "GSW" "" "BOS" "L" -26 0 19 0.258 0.333 5.1 16.3 9.4 14.2 0 6.8 20.5 10.6 64 112 1.4 -7.9
"60" "60" 1993-03-18 23.32 "GSW" "" "HOU" "L" -13 0 8 0.266 0 28.6 0 14.5 16.7 0 0 0 10.6 112 118 2 -0.7
"61" "61" 1993-03-19 23.32 "GSW" "@" "SAC" "W" 12 0 13 0.82 0.75 38.9 0 17 25.5 3.7 4.7 29.1 21.2 133 101 9.9 13
"62" "62" 1993-03-22 23.33 "GSW" "" "DET" "W" 5 0 25 0.446 0.429 9.1 24.5 17.3 17.9 0 0 0 17.5 117 101 8.2 0.9
"63" "63" 1993-03-25 23.34 "GSW" "@" "DEN" "L" -11 0 24 0.571 0.571 0 15 6.5 8 4.3 0 30 17.9 81 102 4.1 -3.7
"64" "64" 1993-03-26 23.34 "GSW" "@" "MIN" "W" 3 1 29 0.582 0.583 12.1 23.6 17.4 28.3 0 0 7.2 21.5 133 110 12.4 2.6
"65" "65" 1993-03-28 23.35 "GSW" "" "NYK" "L" -10 0 23 0.26 0.25 7.9 0 4.4 0 2.4 7 0 22.8 66 107 0.6 -9.9
"66" "66" 1993-03-30 23.35 "GSW" "" "MIN" "L" -3 1 10 0 0 0 13.3 6.1 12 0 0 33.3 12.1 20 109 -2.2 -16.6
"67" "67" 1993-04-02 23.36 "GSW" "@" "DAL" "W" 41 1 35 0.665 0.714 9.8 17.7 14.5 9.5 1.3 1.6 22.2 14.7 116 88 13.2 -0.6
"68" "68" 1993-04-03 23.36 "GSW" "@" "HOU" "L" -7 0 13 0.127 0.143 25.2 25.5 25.3 8.5 0 0 0 24.7 62 125 -2.3 -22.7
"69" "69" 1993-04-06 23.37 "GSW" "@" "SAS" "W" 14 0 10 0.773 0.667 17.1 9.4 12.2 0 4.6 0 0 16.7 168 101 5.5 5.1
"70" "70" 1993-04-08 23.38 "GSW" "" "LAL" "W" 6 0 10 0.167 0.167 20 12.3 16.6 13.4 0 0 0 24.2 78 113 -0.2 -17.1
"71" "71" 1993-04-10 23.38 "GSW" "" "DAL" "W" 6 0 31 0.492 0.4 9.1 8.1 8.6 10.8 0 0 29.1 21.7 84 100 3.2 -9.9
"72" "72" 1993-04-12 23.39 "GSW" "" "DEN" "L" -11 1 33 0.256 0.125 14.5 14 14.3 8.2 4.3 1.7 0 11.3 92 99 8.3 -2
"73" "73" 1993-04-14 23.39 "GSW" "" "SAS" "L" -3 0 14 0.518 0.6 13.4 23.4 18 30.2 0 0 0 19.9 123 104 6 3.7
"74" "74" 1993-04-16 23.4 "GSW" "@" "LAC" "L" -7 0 15 0.46 0.4 13.6 15.6 14.5 0 3.2 0 15.5 17.4 98 118 3.5 -7
"75" "75" 1993-04-18 23.4 "GSW" "@" "LAL" "L" -3 0 17 0.571 0.571 19.7 18.8 19.3 7.3 0 0 12.5 19 122 119 6.6 -2.3
