"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2002-10-29 23.27 "ORL" "" "PHI" "W" 7 0 9.95 0 0 0 0 0 0 0 6.9 33.3 13.6 0 94 -2.9 -18.3
"2" "2" 2002-10-30 23.27 "ORL" "@" "MIA" "W" 14 0 11 0.667 0.667 0 35.4 18.2 0 0 0 25 18.7 90 101 1.8 -7.5
"3" "3" 2002-11-01 23.27 "ORL" "@" "MIN" "L" -6 0 5.56666666666667 NA NA 0 20.4 10.2 0 0 0 NA 0 0 110 -0.5 -7.5
"4" "4" 2002-11-02 23.28 "ORL" "@" "MIL" "W" 10 0 17.8333333333333 0.444 0.429 18.6 0 9.2 9.5 0 4.2 27.6 27.5 81 109 2.6 -11.8
"5" "5" 2002-11-05 23.28 "ORL" "" "SAC" "W" 4 0 9.96666666666667 0.5 0.5 27.4 0 11.3 0 0 0 14.3 28.2 98 120 1.8 -15.9
"6" "6" 2002-11-08 23.29 "ORL" "" "SEA" "W" 7 0 11.25 0 0 21.3 10.9 16.2 0 0 6.3 0 12.7 52 112 0.3 -12.4
"7" "7" 2002-11-10 23.3 "ORL" "" "LAC" "L" -3 0 7.05 0 0 16.7 0 9.8 17.1 0 0 0 6.3 101 133 -0.1 -8.6
"8" "8" 2002-11-12 23.3 "ORL" "" "TOR" "L" -6 0 4.76666666666667 0 0 0 0 0 0 0 0 33.3 27.7 0 130 -2.4 -36.5
"9" "9" 2002-11-14 23.31 "ORL" "@" "LAC" "W" 21 0 5.43333333333333 0.25 0.25 43.6 23.4 33.9 0 0 16 0 35 86 76 1.6 -10.9
"10" "10" 2002-11-16 23.32 "ORL" "@" "GSW" "L" -43 0 14.2833333333333 0.5 0.5 14.9 19.6 16.9 0 3.6 4.9 11.1 27.9 99 131 4.3 -6.2
"11" "" 2002-11-17 23.32 "ORL" "@" "SAC" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "11" 2002-11-19 23.32 "ORL" "@" "SEA" "W" 17 0 11.2833333333333 0.5 0.5 0 10.6 5.7 0 0 6.7 50 18 45 97 -1.2 -14.8
"13" "12" 2002-11-20 23.33 "ORL" "@" "POR" "L" -14 0 17.2166666666667 0.333 0.333 0 0 0 0 0 9.6 25 11.1 47 105 -0.1 -9
"14" "13" 2002-11-22 23.33 "ORL" "@" "IND" "L" -36 0 22.4666666666667 0.263 0 11.3 13.1 12.1 8.4 0 2.6 9.5 20.1 68 114 2.2 -8.1
