"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2019-10-24 21.89 "ATL" "@" "DET" "W" 17 1 25.45 0.788 0.75 0 8.8 4.7 0 0 0 18.4 19 119 111 9 -0.7
"2" "2" 2019-10-26 21.9 "ATL" "" "ORL" "W" 4 1 22.0166666666667 0.6 0.6 0 10.9 6.7 6 0 3.2 0 10 129 104 4.4 -1.6
"3" "3" 2019-10-28 21.9 "ATL" "" "PHI" "L" -2 1 30.2166666666667 0.632 0.625 0 29.2 15.2 5.4 1.5 0 26.5 20.1 89 96 8.8 -0.4
"4" "4" 2019-10-29 21.91 "ATL" "@" "MIA" "L" -15 1 27.9333333333333 0.25 0.25 0 13.9 6.3 10.9 3.4 0 20 15.1 51 109 -0.5 -13.4
"5" "5" 2019-10-31 21.91 "ATL" "" "MIA" "L" -9 1 28.3833333333333 0.202 0.111 7 3.9 5.6 4.9 1.8 3.6 23.3 18.9 49 112 -0.8 -12.9
"6" "6" 2019-11-05 21.93 "ATL" "" "SAS" "W" 8 1 36.1666666666667 0.576 0.538 6.8 15.9 11.9 3.8 0 0 0 16 128 102 12.4 -0.1
"7" "7" 2019-11-06 21.93 "ATL" "" "CHI" "L" -20 1 26.6666666666667 0.254 0.143 0 17.1 8.6 19.1 0 0 11.3 14.1 62 113 1 -8.3
"8" "8" 2019-11-08 21.93 "ATL" "" "SAC" "L" -12 1 22.2 0.286 0.286 0 13.5 6.2 10.4 0 0 12.5 16.4 70 141 0.5 -15.4
"9" "9" 2019-11-10 21.94 "ATL" "@" "POR" "L" -11 1 38.9666666666667 0.5 0.5 2.4 10.3 6.2 7.7 0 0 6.7 15.6 101 116 6.9 -4.3
"10" "10" 2019-11-12 21.95 "ATL" "@" "DEN" "W" 4 1 40.3166666666667 0.558 0.556 0 14.3 8.4 6.1 0 1.9 0 11.4 125 125 9.2 -3
