"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-18 22.48 "CHI" "@" "PHI" "L" -19 0 2.81666666666667 0 0 0 0 0 0 0 0 0 14.4 0 125 -0.7 -20.9
"2" "" 2018-10-20 22.48 "CHI" "" "DET" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "2" 2018-10-22 22.49 "CHI" "@" "DAL" "L" -6 0 17.6166666666667 0.521 0.5 7.8 20.4 14.5 0 2.8 0 0 7.2 124 113 3.4 -1.3
"4" "3" 2018-10-24 22.5 "CHI" "" "CHO" "W" 2 0 13 0.8 0.8 0 8.4 4.6 0 0 0 16.7 20.8 117 123 5.4 -0.3
"5" "4" 2018-10-26 22.5 "CHI" "@" "CHO" "L" -29 1 27.5 0 0 0 33 14.5 9.4 0 0 0 7.9 28 139 -0.5 -14.6
"6" "5" 2018-10-27 22.5 "CHI" "@" "ATL" "W" 12 1 18.3333333333333 0.4 0.4 5.8 14.3 10.5 0 5.1 0 16.7 14.3 72 80 2.3 -7.1
"7" "6" 2018-10-29 22.51 "CHI" "" "GSW" "L" -25 1 22.9333333333333 0.543 0 3.9 5.2 4.5 0 0 4.1 26.6 6.7 99 145 2.2 -10.4
"8" "7" 2018-10-31 22.52 "CHI" "" "DEN" "L" -1 0 29.9666666666667 0.581 0.583 7.2 17.7 12.5 5.2 0 2.4 12.7 12.3 112 107 7.1 -1.8
"9" "8" 2018-11-02 22.52 "CHI" "" "IND" "L" -2 0 16.6666666666667 0.7 0.7 0 21.1 10.2 8.6 0 4.9 16.7 16.2 109 112 4.8 -0.9
"10" "9" 2018-11-03 22.52 "CHI" "" "HOU" "L" -8 0 27.45 0.676 0.625 4.5 12.2 8.5 18.2 3.6 0 10.1 17 126 99 11.2 5.5
"11" "10" 2018-11-05 22.53 "CHI" "@" "NYK" "W" 1 0 15.55 0.8 0.8 0 19.3 10.2 0 0 0 16.7 17.6 126 105 5.2 -1.2
"12" "11" 2018-11-07 22.53 "CHI" "@" "NOP" "L" -9 0 15.5 0.102 0 12.1 24.8 18.4 8.1 0 0 0 13.2 56 106 0.7 -10.6
"13" "12" 2018-11-10 22.54 "CHI" "" "CLE" "W" 1 0 18.2833333333333 0.51 0.5 0 10.9 5.8 15.6 0 0 0 15.1 112 110 4.1 -2.1
"14" "13" 2018-11-12 22.55 "CHI" "" "DAL" "L" -5 0 18.4333333333333 0.643 0.643 5.2 47.3 24.9 0 2.5 0 12.5 18 110 94 8.4 5.3
"15" "14" 2018-11-14 22.55 "CHI" "@" "BOS" "L" -29 0 21.4666666666667 0 0 0 14 6.8 6.8 2.2 0 40 10.2 10 110 -1.9 -11
"16" "15" 2018-11-16 22.56 "CHI" "@" "MIL" "L" -19 0 23 0.315 0 0 19.4 9.2 5.1 2 0 0 8.9 77 116 2.2 -7.6
"17" "16" 2018-11-17 22.56 "CHI" "" "TOR" "L" -39 0 20.7166666666667 0.483 0.375 4.4 26.5 13.2 0 6.4 0 34.9 28.3 63 103 3.7 -8.5
"18" "" 2018-11-21 22.57 "CHI" "" "PHO" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2018-11-23 22.58 "CHI" "" "MIA" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2018-11-24 22.58 "CHI" "@" "MIN" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "17" 2018-11-26 22.59 "CHI" "" "SAS" "L" -1 0 18.6333333333333 1 1 5.9 17.2 11.6 0 0 0 0 4.9 207 113 5 -1.5
"22" "18" 2018-11-28 22.59 "CHI" "@" "MIL" "L" -3 0 16.4333333333333 0.333 0.333 6 13.3 9.4 7.9 2.9 5.6 0 7.8 99 110 3.6 -0.7
"23" "19" 2018-11-30 22.6 "CHI" "@" "DET" "L" -19 0 19 0.333 0.333 0 33 16.5 7.3 0 0 25 9.4 57 108 1.4 -7.9
