"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1997-10-31 22.41 "CLE" "@" "HOU" "L" -8 1 34.8666666666667 0.46 0.385 19.9 36.6 25.8 0 0 5.3 18.7 24.7 93 100 11.1 -2.7
"2" "2" 1997-11-01 22.41 "CLE" "@" "SAS" "L" -3 0 25.7833333333333 0.509 0.455 18.8 23.1 20.5 0 2.1 3.2 7.3 23.3 112 94 10.3 1.4
"3" "3" 1997-11-04 22.42 "CLE" "" "IND" "W" 3 1 26.6333333333333 0.405 0.333 11.6 10.2 11 0 4.1 0 16.8 20 83 89 4.8 -3.9
"4" "4" 1997-11-07 22.42 "CLE" "@" "BOS" "W" 4 1 14.1833333333333 0.184 0.2 18.5 8.2 13 0 3.8 0 0 17.7 65 100 -0.8 -14.6
"5" "5" 1997-11-08 22.43 "CLE" "" "ATL" "L" -2 1 11.3 0.5 0.5 9.3 0 5.9 0 0 0 20 22 84 116 0.5 -14.3
"6" "6" 1997-11-11 22.44 "CLE" "" "CHI" "W" 21 1 25.4833333333333 0.431 0.364 15.8 7.5 11 0 0 2.4 13.6 27.6 89 98 5.5 -9.1
"7" "7" 1997-11-13 22.44 "CLE" "@" "NJN" "W" 11 1 35.1 0.663 0.583 6.7 16.8 12.2 0 1.6 3.9 16.6 24.7 115 83 15 6.4
"8" "8" 1997-11-15 22.45 "CLE" "@" "CHI" "L" -9 1 25.6666666666667 0.46 0.5 23.6 8 15.9 0 0 0 15.5 21.5 91 97 6.2 0.2
"9" "9" 1997-11-16 22.45 "CLE" "" "NJN" "L" -5 1 32.4 0.558 0.444 12.5 19.8 16.9 7.9 0 6.4 14.7 22.1 107 90 11.7 5.6
"10" "10" 1997-11-19 22.46 "CLE" "" "ORL" "L" -3 1 42.5 0.563 0.563 14.5 26.4 19.9 0 1.2 7.7 5.1 20.4 119 90 20.6 5.3
"11" "11" 1997-11-21 22.46 "CLE" "@" "MIN" "W" 23 1 17.7166666666667 0.5 0.5 7.8 12.4 10.4 0 2.8 3.9 0 10.1 114 83 3.4 -1.4
"12" "12" 1997-11-22 22.47 "CLE" "" "WAS" "W" 9 1 28.5166666666667 0.571 0.571 12.7 12.4 12.5 0 3.5 2.3 0 13.2 121 103 8.7 -1.4
"13" "13" 1997-11-26 22.48 "CLE" "@" "PHI" "W" 6 1 26.45 0.5 0.5 25.4 22.2 23.8 6.6 3.6 8.9 23.1 20.3 95 82 11.3 2.4
"14" "14" 1997-11-28 22.48 "CLE" "@" "CHH" "W" 6 1 27.85 0.621 0.667 23.4 18 20.9 5.6 0 2.8 14.2 22.1 118 98 12.7 1.8
"15" "15" 1997-11-29 22.48 "CLE" "" "BOS" "W" 6 1 24.35 0.939 0.8 9.1 28.6 21.9 0 0 9.8 26 22.7 140 98 13.7 5.1
"16" "16" 1997-12-03 22.5 "CLE" "@" "GSW" "W" 28 1 22.0333333333333 0.17 0.1 34.2 11.2 24.2 6.5 2.3 6.4 0 22.2 77 71 5.5 -6.5
"17" "17" 1997-12-05 22.5 "CLE" "@" "VAN" "W" 9 1 18.7333333333333 0.155 0.167 21.5 45.9 33.3 0 0 3.6 31.8 20.3 46 93 -1.3 -19.7
"18" "18" 1997-12-07 22.51 "CLE" "@" "LAL" "W" 10 1 24.6166666666667 0.581 0.556 18.7 25.6 22.3 7.6 4.1 0 8.8 20.1 123 84 11.2 6.7
"19" "19" 1997-12-10 22.52 "CLE" "" "DEN" "W" 19 1 21.65 0.515 0.444 16.4 23 19.6 0 2.4 0 7.9 26.1 109 90 8.6 -4.4
"20" "20" 1997-12-11 22.52 "CLE" "@" "MIL" "W" 2 1 17.8833333333333 0.5 0.5 0 17.8 8.3 0 3.2 4.4 33.3 25.9 58 90 1.1 -9.7
"21" "21" 1997-12-13 22.52 "CLE" "" "CHH" "L" -1 1 29.0333333333333 0.563 0.5 8.9 22.1 16.1 7.9 2 0 0 22.9 123 98 13.1 6.6
"22" "22" 1997-12-16 22.53 "CLE" "" "PHO" "W" 13 1 23.4833333333333 0.417 0.417 19.6 33 26.8 15.7 4.6 10.4 0 23.5 109 84 11.8 6
"23" "23" 1997-12-17 22.53 "CLE" "@" "ATL" "L" -11 1 31.45 0.455 0.455 25.8 32.8 28.9 18.4 1.8 7.9 26.7 22.5 92 102 11.3 4.2
"24" "24" 1997-12-19 22.54 "CLE" "" "NYK" "L" -27 1 28.9833333333333 0.538 0.5 22.4 35.8 29.1 19 0 5.2 21.2 30.6 93 111 12.1 1.4
"25" "25" 1997-12-21 22.55 "CLE" "" "UTA" "W" 5 1 26.1666666666667 0.687 0.667 14.6 33.1 24 8.8 2 10.5 14.7 23.8 123 99 16.8 8.7
"26" "26" 1997-12-23 22.55 "CLE" "" "DAL" "W" 14 1 21.05 0.481 0.429 0 40 20.8 7.1 2.5 15.5 32.5 26.9 66 75 5.7 -2.2
"27" "27" 1997-12-26 22.56 "CLE" "@" "CHH" "L" -8 1 30.7 0.709 0.667 11.9 29 21.4 17.3 1.8 5.8 34 20 104 105 10.1 2.2
"28" "28" 1997-12-30 22.57 "CLE" "" "MIA" "L" -12 1 26.6833333333333 0.475 0.4 0 13.3 6.8 7 0 9.4 13.7 14.5 86 105 3.6 -4.2
"29" "29" 1998-01-02 22.58 "CLE" "@" "ORL" "W" 10 1 22.3333333333333 0.455 0.455 15.6 39.7 27.9 0 0 3.4 8.3 24.5 103 75 7.3 3
"30" "30" 1998-01-03 22.58 "CLE" "" "NJN" "W" 14 1 26.3 0.364 0.364 20.5 42.6 32 0 0 6.1 15.4 22.4 79 84 6 -6.6
