"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 20.45 "NOP" "@" "HOU" "W" 19 0 1.58333333333333 NA NA 0 0 0 0 0 0 NA 0 0 118 0 -5.7
"2" "2" 2018-10-19 20.46 "NOP" "" "SAC" "W" 20 0 5.98333333333333 0.833 0.833 0 0 0 40.2 0 0 0 19.2 183 122 5.1 16
"3" "" 2018-10-23 20.47 "NOP" "" "LAC" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2018-10-26 20.48 "NOP" "" "BRK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "3" 2018-10-27 20.48 "NOP" "" "UTA" "L" -21 0 22.6833333333333 0.54 0.389 0 0 0 12.6 0 0 0 22.2 123 127 8.7 -0.3
"6" "4" 2018-10-29 20.49 "NOP" "@" "DEN" "L" -5 0 26.4666666666667 0.625 0.625 0 7.9 4.3 5.1 1.7 0 0 12.9 124 114 7.5 0.4
"7" "5" 2018-10-31 20.49 "NOP" "@" "GSW" "L" -10 0 18 0.214 0.214 0 0 0 0 2.5 0 12.5 17.9 42 126 -3.1 -16.8
"8" "6" 2018-11-01 20.5 "NOP" "@" "POR" "L" -13 0 11.85 0.2 0.2 0 21.3 9 0 0 0 0 16.6 46 130 -0.9 -17.1
"9" "7" 2018-11-03 20.5 "NOP" "@" "SAS" "L" -14 0 0.9 0 0 0 0 0 0 0 0 0 50.2 0 114 -1.1 -67.2
"10" "" 2018-11-05 20.51 "NOP" "@" "OKC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2018-11-07 20.51 "NOP" "" "CHI" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "8" 2018-11-10 20.52 "NOP" "" "PHO" "W" 20 0 1.78333333333333 1.5 1.5 0 0 0 0 0 0 50 46.1 57 112 1.3 13.6
"13" "" 2018-11-12 20.53 "NOP" "@" "TOR" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2018-11-14 20.53 "NOP" "@" "MIN" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "9" 2018-11-16 20.54 "NOP" "" "NYK" "W" 5 0 11.6333333333333 0.773 0.833 0 7.5 4.2 0 0 0 43.6 22.2 74 117 0.8 -11.2
"16" "10" 2018-11-17 20.54 "NOP" "" "DEN" "W" 10 0 3.8 NA NA 0 27.5 14.2 0 0 0 100 11.2 0 116 -0.7 -18
"17" "11" 2018-11-19 20.55 "NOP" "" "SAS" "W" 14 0 24.25 0.524 0.5 4.9 0 2.3 4 0 0 8 20.8 112 135 5.1 -12.2
"18" "12" 2018-11-21 20.55 "NOP" "@" "PHI" "L" -1 0 12.55 0.5 0.5 0 17 7.6 10 0 0 0 6 127 117 1.9 -4.3
"19" "13" 2018-11-23 20.56 "NOP" "@" "NYK" "L" -5 0 11.2333333333333 0.25 0.25 7.9 0 4.2 0 0 0 20 16.7 55 123 -1.9 -20.9
"20" "14" 2018-11-24 20.56 "NOP" "@" "WAS" "L" -10 0 20.7166666666667 0.253 0.222 0 5.7 2.6 6 0 0 9.2 21.9 53 121 -1.3 -18.2
"21" "15" 2018-11-26 20.56 "NOP" "" "BOS" "L" -17 0 6.38333333333333 NA NA 0 0 0 22.1 0 0 100 6.7 46 136 -0.3 -7.9
"22" "" 2018-11-28 20.57 "NOP" "" "WAS" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2018-11-30 20.58 "NOP" "@" "MIA" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2018-12-02 20.58 "NOP" "@" "CHO" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2018-12-03 20.58 "NOP" "" "LAC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2018-12-05 20.59 "NOP" "" "DAL" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2018-12-07 20.59 "NOP" "" "MEM" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2018-12-09 20.6 "NOP" "@" "DET" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2018-12-10 20.6 "NOP" "@" "BOS" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "16" 2018-12-12 20.61 "NOP" "" "OKC" "W" 4 0 19.3333333333333 0.68 0.7 0 0 0 0 0 0 14.5 13.4 113 117 3.5 -4.7
"31" "17" 2018-12-16 20.62 "NOP" "" "MIA" "L" -6 0 4.76666666666667 0 0 0 0 0 0 0 0 0 9.7 0 124 -1.1 -23
"32" "18" 2018-12-19 20.63 "NOP" "@" "MIL" "L" -8 0 18.15 0.8 0.8 0 12.3 5.9 0 0 0 0 11.6 144 125 5.9 0.3
"33" "19" 2018-12-21 20.63 "NOP" "@" "LAL" "L" -8 0 9.53333333333333 0 0 0 10.7 5 0 4.8 0 0 8.3 0 103 -0.1 -8.9
"34" "20" 2018-12-23 20.64 "NOP" "@" "SAC" "L" -5 0 13.5666666666667 0.515 0.333 0 12.2 6.6 8.7 0 0 34 17.6 76 119 1.2 -11.1
"35" "21" 2018-12-26 20.65 "NOP" "@" "DAL" "L" -3 0 13.75 1 1 0 8.7 4.1 24.9 0 0 16.7 18.5 154 124 7.6 9.4
"36" "22" 2018-12-28 20.65 "NOP" "" "DAL" "W" 2 0 8.56666666666667 0.625 0.625 0 0 0 17.1 0 0 0 18.9 150 126 3.3 4.2
"37" "23" 2018-12-29 20.65 "NOP" "" "HOU" "L" -4 0 9.91666666666667 0 0 0 10.8 5.8 0 0 0 33.3 12.8 0 116 -2.9 -21.7
"38" "" 2018-12-31 20.66 "NOP" "" "MIN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "24" 2019-01-02 20.67 "NOP" "@" "BRK" "L" -5 0 4.5 NA NA 0 24.8 12.7 0 0 0 NA 0 0 130 -0.1 -9.1
"40" "25" 2019-01-05 20.67 "NOP" "@" "CLE" "W" 35 0 18.5 0.375 0.375 7.6 23.6 16.6 19.8 2.7 0 11.1 21.7 98 100 4.4 -10
"41" "26" 2019-01-07 20.68 "NOP" "" "MEM" "W" 19 0 19.2166666666667 0.85 0.85 0 0 0 9.4 2.6 0 0 23.6 155 102 14.5 15.9
"42" "27" 2019-01-09 20.68 "NOP" "" "CLE" "W" 16 0 19.45 1.176 1.2 0 5.9 3.3 6.8 0 0 11 19.1 199 129 16.3 13.7
"43" "28" 2019-01-12 20.69 "NOP" "@" "MIN" "L" -4 0 15.4666666666667 0.5 0.5 0 11.7 6.3 0 6.2 0 0 11 101 102 4.2 1.1
"44" "29" 2019-01-14 20.7 "NOP" "@" "LAC" "W" 4 0 14.8166666666667 0.521 0.5 5.7 0 3.3 15.2 0 0 0 7.6 137 122 3.3 -3.8
"45" "30" 2019-01-16 20.7 "NOP" "@" "GSW" "L" -7 0 5.2 0 0 0 17.8 8.7 0 0 0 0 15.1 0 133 -1.1 -22.5
"46" "31" 2019-01-18 20.71 "NOP" "@" "POR" "L" -16 0 11.6 0.333 0.333 9.9 8 8.8 11.2 4.2 0 0 11.5 100 125 3 0.4
