"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1974-10-18 22.04 "NOJ" "@" "PHI" "L" -13 0 6 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1974-10-22 22.05 "NOJ" "@" "BUF" "L" -16 0 NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1974-11-05 22.08 "NOJ" "@" "KCO" "L" -18 0 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1974-11-06 22.09 "NOJ" "" "BUF" "L" -12 NA NA 0.545 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1974-11-08 22.09 "NOJ" "" "PHO" "L" -3 1 37 0.541 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1974-11-10 22.1 "NOJ" "" "POR" "W" 1 1 37 0.53 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1974-11-12 22.1 "NOJ" "" "CHI" "L" -9 1 38 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1974-11-15 22.11 "NOJ" "" "WSB" "L" -9 NA 10 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1974-11-16 22.12 "NOJ" "@" "ATL" "L" -26 1 NA 0.3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1974-11-17 22.12 "NOJ" "" "DET" "L" -14 1 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1974-11-20 22.13 "NOJ" "" "SEA" "L" -4 NA 25 0.663 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1974-11-22 22.13 "NOJ" "" "ATL" "W" 4 1 NA 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1974-11-23 22.13 "NOJ" "@" "CLE" "L" -21 1 35 0.504 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1974-11-26 22.14 "NOJ" "@" "PHO" "L" -10 1 19 0.145 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1974-11-29 22.15 "NOJ" "@" "LAL" "L" -5 0 32 0.739 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1974-11-30 22.15 "NOJ" "@" "POR" "L" -32 1 31 0.66 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1974-12-03 22.16 "NOJ" "@" "GSW" "L" -21 0 29 0.352 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1974-12-06 22.17 "NOJ" "@" "SEA" "L" -13 0 29 0.503 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1974-12-08 22.18 "NOJ" "" "BOS" "L" -10 NA 29 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1974-12-11 22.18 "NOJ" "" "GSW" "W" 3 1 43 0.567 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1974-12-13 22.19 "NOJ" "@" "CHI" "L" -33 1 37 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1974-12-17 22.2 "NOJ" "@" "HOU" "L" -26 0 NA 0.465 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1974-12-18 22.2 "NOJ" "@" "WSB" "L" -23 0 11 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1974-12-20 22.21 "NOJ" "@" "BOS" "L" -4 0 23 0.7 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1974-12-22 22.21 "NOJ" "@" "MIL" "L" -20 0 20 0.385 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1974-12-23 22.22 "NOJ" "@" "CLE" "L" -16 0 28 0.551 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1974-12-28 22.23 "NOJ" "@" "NYK" "L" -7 NA 22 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1975-01-02 22.24 "NOJ" "@" "DET" "L" -4 NA NA 0.363 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1975-01-04 22.25 "NOJ" "@" "SEA" "L" -22 0 37 0.506 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1975-01-05 22.25 "NOJ" "@" "POR" "L" -9 0 28 0.583 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1975-01-07 22.26 "NOJ" "@" "GSW" "L" -42 0 28 0.648 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1975-01-10 22.27 "NOJ" "" "HOU" "W" 3 NA NA 0.72 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1975-01-17 22.28 "NOJ" "" "SEA" "W" 4 0 30 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1975-01-19 22.29 "NOJ" "" "BUF" "L" -5 NA NA 0.46 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1975-01-21 22.3 "NOJ" "@" "ATL" "L" -32 NA 30 0.524 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1975-01-22 22.3 "NOJ" "" "BOS" "L" -8 NA 33 0.466 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1975-01-24 22.3 "NOJ" "@" "LAL" "L" -2 0 15 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1975-01-25 22.31 "NOJ" "@" "PHO" "L" -4 0 28 0.505 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1975-01-27 22.31 "NOJ" "" "MIL" "L" -2 0 32 0.533 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1975-01-29 22.32 "NOJ" "" "LAL" "L" -4 0 17 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1975-01-31 22.32 "NOJ" "" "WSB" "L" -5 NA 12 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1975-02-02 22.33 "NOJ" "" "NYK" "W" 4 NA 24 0.663 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1975-02-05 22.34 "NOJ" "" "HOU" "L" -27 NA NA 0.621 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1975-02-07 22.34 "NOJ" "@" "MIL" "L" -21 0 22 0.336 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1975-02-08 22.35 "NOJ" "@" "ATL" "W" 4 NA NA 0.368 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1975-02-10 22.35 "NOJ" "" "ATL" "W" 7 NA NA 0.666 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1975-02-11 22.35 "NOJ" "@" "CLE" "L" -14 0 24 0.49 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1975-02-14 22.36 "NOJ" "@" "HOU" "W" 12 0 NA 0.685 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1975-02-16 22.37 "NOJ" "" "MIL" "W" 2 0 19 0.338 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1975-02-18 22.37 "NOJ" "" "PHI" "W" 18 NA 16 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1975-02-20 22.38 "NOJ" "" "POR" "W" 12 0 19 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1975-02-21 22.38 "NOJ" "" "PHO" "W" 2 0 11 0.143 NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1975-02-23 22.39 "NOJ" "" "HOU" "W" 9 0 NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1975-02-25 22.39 "NOJ" "" "CHI" "L" -15 0 23 0.631 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1975-02-27 22.4 "NOJ" "@" "BUF" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1975-02-28 22.4 "NOJ" "" "KCO" "W" 7 0 NA 0.51 NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1975-03-01 22.4 "NOJ" "@" "HOU" "L" -12 NA NA 0.602 NA NA NA NA NA NA NA NA NA NA NA NA NA
