"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2003-10-29 18.83 "CLE" "@" "SAC" "L" -14 1 42.8333333333333 0.586 0.6 6 10.9 8.6 39.1 5 0 8.6 25.6 123 112 24.7 10.8
"2" "2" 2003-10-30 18.83 "CLE" "@" "PHO" "L" -9 1 40.35 0.523 0.5 5.6 22.5 14.9 33.9 1.2 0 25.8 28.5 89 97 14.7 1
"3" "3" 2003-11-01 18.84 "CLE" "@" "POR" "L" -19 1 39.1666666666667 0.311 0.25 0 13.3 6.6 23.6 2.7 0 13.4 18.2 74 112 5 -6.5
"4" "4" 2003-11-05 18.85 "CLE" "" "DEN" "L" -4 1 41.1 0.306 0.273 4.9 21.1 13.1 27.8 2.5 5.1 14.9 13.7 85 95 11.2 2
"5" "5" 2003-11-07 18.85 "CLE" "@" "IND" "L" -1 1 43.7333333333333 0.546 0.472 0 12.4 6.3 12 0 0 24.9 30.7 85 112 9 -7.3
"6" "6" 2003-11-08 18.86 "CLE" "" "WAS" "W" 13 1 44.5 0.409 0.421 14.8 7.3 10.7 27.1 1.1 1.5 8.8 22.3 104 108 15.7 -1.4
"7" "7" 2003-11-10 18.86 "CLE" "" "NYK" "W" 14 1 33.65 0.708 0.708 3.4 13.4 8.5 21.6 1.6 2.3 14.3 19.1 121 92 15.8 7.7
"8" "8" 2003-11-12 18.87 "CLE" "@" "MIA" "L" -5 1 42.6666666666667 0.51 0.467 2.7 5.7 4.2 31.8 2.6 1.8 18.5 24.4 96 101 12.8 2.1
"9" "9" 2003-11-14 18.87 "CLE" "@" "BOS" "L" -9 1 35.6 0.363 0.333 2.9 11.9 7.4 18 0 0 22.5 23 70 112 0.8 -9.3
"10" "10" 2003-11-15 18.88 "CLE" "" "PHI" "W" 3 1 46.95 0.53 0.526 0 9.6 5.3 33.8 1.1 2.6 19.4 25.5 95 92 15.6 2.5
"11" "11" 2003-11-18 18.88 "CLE" "" "LAC" "W" 8 1 39.4166666666667 0.394 0.375 6 10.3 8.5 31.1 0 1.6 14.5 23.1 92 106 9.8 -4.2
"12" "12" 2003-11-19 18.89 "CLE" "@" "WAS" "L" -11 1 39.15 0.651 0.611 7.1 10.9 9.4 40 2.6 1.6 15.7 29.2 123 114 25 10.3
"13" "13" 2003-11-21 18.89 "CLE" "" "MIN" "L" -14 1 35.3 0.468 0.421 6.5 20.3 13.8 11.9 1.6 0 4.7 27.8 108 111 12.2 1
"14" "14" 2003-11-22 18.9 "CLE" "@" "ATL" "L" -9 1 42.3 0.368 0.188 4.3 9.9 6.9 17.9 2.5 1.5 12.8 23.9 84 101 9.3 -3.6
"15" "15" 2003-11-26 18.91 "CLE" "@" "NOH" "L" -10 1 38.8 0.4 0.324 4.9 15.7 10.2 50.7 0 0 17.6 25.8 82 93 10.2 -0.2
"16" "16" 2003-11-28 18.91 "CLE" "@" "DET" "L" -4 1 36.45 0.322 0.25 0 5.6 3 28 0 0 30 16.9 66 107 1.1 -9.6
"17" "17" 2003-11-29 18.92 "CLE" "" "MEM" "L" -7 1 54.6833333333333 0.563 0.554 3.7 26.4 14.9 22.9 1 1.4 21.4 29.4 100 109 22.4 2.8
"18" "18" 2003-12-02 18.92 "CLE" "@" "DEN" "L" -12 1 32.5166666666667 0.43 0.368 9 11.8 10.2 22.7 3 0 8.3 27.9 112 115 12.2 1.5
"19" "19" 2003-12-03 18.93 "CLE" "@" "LAC" "L" -10 1 34.0833333333333 0.154 0.154 12 6 9 40.1 3.1 0 27.8 24.4 54 99 0.9 -10.5
"20" "20" 2003-12-06 18.93 "CLE" "" "ATL" "W" 10 1 36.0666666666667 0.333 0.333 3.4 17.1 10.3 22.5 3.2 2 20 20.3 75 98 5.8 -5.7
"21" "21" 2003-12-09 18.94 "CLE" "" "TOR" "L" -7 1 37.05 0.507 0.438 0 18 8 14.5 1.4 0 10.1 24 101 109 11.4 -2.6
"22" "22" 2003-12-11 18.95 "CLE" "" "DET" "W" 9 1 42.7666666666667 0.469 0.405 4 5 4.6 38.5 1.2 1.6 14 31.5 105 100 14.8 0.2
"23" "23" 2003-12-13 18.95 "CLE" "" "BOS" "L" -7 1 45.4166666666667 0.663 0.525 2.4 5.6 3.9 16.8 0 0 6.7 27.9 150 124 27.5 7.8
"24" "24" 2003-12-15 18.96 "CLE" "@" "IND" "L" -10 1 43.6666666666667 0.692 0.625 3.5 8 6.1 27.2 3.5 4.9 23.5 28.3 109 101 23.9 9.5
"25" "25" 2003-12-17 18.96 "CLE" "" "HOU" "L" -4 1 36 0.428 0.421 0 3.5 1.5 18.5 0 0 9.1 27.5 83 106 5.7 -3.9
"26" "26" 2003-12-19 18.97 "CLE" "@" "PHI" "W" 7 1 41.6833333333333 0.711 0.688 3 10.7 6.5 30.1 5.4 0 13.6 34 126 92 29.5 17.9
"27" "27" 2003-12-20 18.97 "CLE" "@" "CHI" "W" 8 1 41.7333333333333 0.587 0.5 2.7 10 6.9 55.9 2.4 3.2 12.8 34.6 114 92 28 11.5
"28" "28" 2003-12-23 18.98 "CLE" "" "NOH" "W" 11 1 39.1666666666667 0.431 0.341 5.5 10.7 8.1 11.5 8.3 1.9 16.4 33.3 88 85 14.3 4.4
"29" "29" 2003-12-25 18.99 "CLE" "@" "ORL" "L" -12 1 47.1 0.563 0.536 3.9 2.4 3 27.8 2.5 1.3 20.9 40.7 103 126 19.1 0.8
"30" "30" 2003-12-26 18.99 "CLE" "" "CHI" "L" -7 1 34.3333333333333 0.349 0.313 3 6.4 4.7 22.5 1.7 4 16.3 43.3 70 106 5.1 -6.9
"31" "31" 2003-12-28 18.99 "CLE" "" "POR" "W" 12 1 39.0833333333333 0.67 0.652 9.5 17.9 14.1 53.9 4.3 0 17.3 36.9 120 82 30 18.1
"32" "32" 2003-12-30 19 "CLE" "" "IND" "L" -3 1 38.1166666666667 0.486 0.45 7.7 22.5 16.2 19.7 0 0 15 34.1 97 108 12.6 -3.8
"33" "33" 2004-01-02 19.01 "CLE" "@" "NJN" "L" -15 1 36.0666666666667 0.337 0.316 3.2 10 6.5 44.5 1.4 0 12.6 29.9 76 108 7.4 -4.1
"34" "34" 2004-01-06 19.02 "CLE" "" "NYK" "W" 11 1 41.4166666666667 0.391 0.353 0 10.2 5.9 36.6 1.2 1.7 18.3 23.4 87 104 10 -3.3
"35" "35" 2004-01-07 19.02 "CLE" "@" "TOR" "L" -6 1 38.2333333333333 0.44 0.435 0 5.4 2.6 36.4 0 0 7.7 32.3 99 102 9.4 2.9
"36" "36" 2004-01-09 19.03 "CLE" "@" "BOS" "L" -25 1 42.2166666666667 0.43 0.368 0 7.6 3.3 33.2 3.4 0 18.5 25.2 84 107 10.4 -0.1
"37" "37" 2004-01-12 19.04 "CLE" "@" "LAL" "L" -10 1 36.4333333333333 0.36 0.3 2.4 9.1 5.8 42.8 1.3 1.5 21.3 31.7 71 96 5.3 -1.9
"38" "38" 2004-01-13 19.04 "CLE" "@" "SEA" "W" 8 1 43.9 0.471 0.423 9.5 11.4 10.4 33.9 2.4 0 12.3 32.9 106 108 20.6 2.4
"39" "39" 2004-01-15 19.04 "CLE" "@" "GSW" "L" -17 1 43.4166666666667 0.543 0.429 4.5 10.9 7.4 24.7 3.7 0 7 29.4 122 130 24.5 5.9
"40" "40" 2004-01-17 19.05 "CLE" "@" "UTA" "W" 6 1 44.4166666666667 0.48 0.464 2.5 18.6 9.7 12.5 2.3 2.1 11.7 33.6 97 95 15.2 3.2
"41" "" 2004-01-20 19.06 "CLE" "" "SEA" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2004-01-22 19.06 "CLE" "" "SAC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2004-01-24 19.07 "CLE" "" "PHI" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "41" 2004-01-26 19.07 "CLE" "" "ORL" "W" 1 1 29.9666666666667 0.402 0.395 0 22.9 8.8 19.4 0 6.2 13.1 32 77 104 5.5 -5.9
"45" "42" 2004-01-28 19.08 "CLE" "" "MIA" "W" 1 1 44.4 0.459 0.4 0 16.5 7.9 16.7 2.5 1.7 3.3 33.2 103 107 17.9 1
"46" "43" 2004-01-30 19.08 "CLE" "@" "MIL" "L" -6 1 37.2833333333333 0.351 0.3 4.9 18.5 10.9 14.5 1.4 0 14.9 37.4 74 109 3.4 -11
"47" "44" 2004-02-01 19.09 "CLE" "@" "WAS" "W" 4 1 43.4 0.597 0.537 10.1 7.6 8.7 20 0 3.1 15.9 38 109 105 23.5 1.5
"48" "45" 2004-02-03 19.1 "CLE" "@" "DET" "W" 3 1 38.1833333333333 0.302 0.263 2.6 8.2 5.4 26.4 2.9 0 4.8 26.2 79 96 6.7 -2.2
"49" "46" 2004-02-04 19.1 "CLE" "" "LAL" "L" -5 1 43.0833333333333 0.567 0.538 0 11.2 5 20.4 0 0 0 30.3 121 119 22.2 8.8
"50" "47" 2004-02-06 19.1 "CLE" "@" "MIN" "L" -11 1 44.5833333333333 0.354 0.361 3.4 21.8 13.6 19.2 0 0 13.2 24.9 77 120 5.4 -9.2
"51" "48" 2004-02-07 19.11 "CLE" "" "WAS" "L" -18 1 34.0666666666667 0.415 0.375 0 0 0 29.7 6.3 2.2 15.1 26.5 84 113 10.3 0.4
"52" "49" 2004-02-09 19.11 "CLE" "" "BOS" "W" 8 1 43.3 0.434 0.38 0 14.3 7 14 2.4 1.6 3.5 28.8 100 95 14.1 1.5
"53" "50" 2004-02-11 19.12 "CLE" "" "NJN" "L" -20 1 29.5333333333333 0.296 0.154 3 3.8 3.3 26.1 1.7 0 24.8 28.1 64 115 1.2 -10.3
"54" "51" 2004-02-18 19.14 "CLE" "" "DAL" "L" -16 1 33.65 0.581 0.5 6.4 5.8 6.1 41.6 0 1.7 26.7 25.2 102 127 13.2 0.4
"55" "52" 2004-02-20 19.14 "CLE" "" "SAS" "W" 2 1 39.6166666666667 0.646 0.609 5.6 22.2 14.4 12.5 2.5 1.6 7.5 29.7 125 85 27.7 16.8
"56" "53" 2004-02-22 19.15 "CLE" "@" "NYK" "W" 6 1 43.7833333333333 0.435 0.35 2.3 7.7 5.2 14 1.2 0 3.8 27.2 99 99 12.4 1.4
"57" "54" 2004-02-23 19.15 "CLE" "" "NOH" "W" 4 1 36.6 0.563 0.469 0 14.8 6.8 27 2.9 11.9 5.1 25.6 119 106 21.3 9.3
"58" "55" 2004-02-25 19.16 "CLE" "@" "HOU" "L" -6 1 38.6333333333333 0.285 0.278 4.7 12.8 8.6 21.3 2.8 1.8 9.4 24.6 72 101 6.3 -3.5
"59" "56" 2004-02-27 19.16 "CLE" "@" "ORL" "W" 5 1 49.2166666666667 0.666 0.605 2.5 23.5 13.4 11.5 3.1 1.4 18.2 24.8 117 99 24.8 6
"60" "57" 2004-03-01 19.17 "CLE" "@" "CHI" "L" -11 1 40.8 0.458 0.412 0 6.9 3.5 16.1 5.5 1.9 13.3 24 95 104 12 2.7
"61" "58" 2004-03-03 19.18 "CLE" "" "ATL" "W" 32 1 27.6 0.611 0.559 3.6 20.2 12.2 20.1 1.8 2.5 4.8 29.6 131 84 20.6 13.3
"62" "59" 2004-03-05 19.18 "CLE" "@" "NOH" "W" 3 1 37.7833333333333 0.506 0.471 5.3 11.5 8.3 18.6 3 0 17.6 26.5 99 97 10.9 1.4
"63" "60" 2004-03-06 19.18 "CLE" "" "MIL" "W" 9 1 42.7 0.474 0.458 5.6 14 9.8 35.2 4.5 1.6 7.3 27.8 104 92 22.6 7.7
