"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2014-10-29 23.84 "BRK" "@" "BOS" "L" -16 0 8.81666666666667 0.862 1 15.6 14 14.7 0 0 0 0 22.7 181 126 7.2 9.2
"2" "" 2014-11-01 23.85 "BRK" "@" "DET" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2014-11-03 23.85 "BRK" "" "OKC" "W" 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2014-11-05 23.86 "BRK" "" "MIN" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2014-11-07 23.87 "BRK" "" "NYK" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2014-11-09 23.87 "BRK" "" "ORL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "2" 2014-11-12 23.88 "BRK" "@" "PHO" "L" -8 0 0.1 NA NA 0 0 0 0 0 0 NA 0 0 122 0 -4.2
"8" "3" 2014-11-13 23.88 "BRK" "@" "GSW" "L" -8 0 0.166666666666667 0 0 100 0 100 0 0 0 0 100 62 121 0 -173.7
"9" "4" 2014-11-15 23.89 "BRK" "@" "POR" "L" -10 0 0.116666666666667 NA NA 0 0 0 0 0 0 NA 0 0 119 0 -6
"10" "" 2014-11-17 23.89 "BRK" "" "MIA" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2014-11-19 23.9 "BRK" "" "MIL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2014-11-21 23.9 "BRK" "@" "OKC" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "5" 2014-11-22 23.91 "BRK" "@" "SAS" "L" -12 0 8.26666666666667 0.5 0.5 0 0 0 20.6 0 0 0 10.9 116 115 1.3 -2.3
"14" "" 2014-11-26 23.92 "BRK" "@" "PHI" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "6" 2014-11-30 23.93 "BRK" "" "CHI" "L" -18 0 6.88333333333333 0 0 13.9 20.5 16.6 21.8 0 0 0 13.1 46 110 -0.1 -8
"16" "" 2014-12-02 23.93 "BRK" "@" "NYK" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2014-12-03 23.94 "BRK" "" "SAS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "7" 2014-12-05 23.94 "BRK" "" "ATL" "L" -23 0 13.4166666666667 0.41 0.333 7.3 37.3 22.1 0 0 0 0 24.9 91 103 4 -0.3
"19" "8" 2014-12-08 23.95 "BRK" "" "CLE" "L" -22 0 9.76666666666667 0.4 0.4 0 11.4 5.6 0 0 0 0 24.2 80 127 1.6 -8.7
"20" "9" 2014-12-10 23.96 "BRK" "@" "CHI" "L" -25 0 13.5 0.333 0.333 6.2 24.2 14.1 0 0 6.2 14.3 22.7 65 112 1.5 -8.6
"21" "10" 2014-12-12 23.96 "BRK" "" "PHI" "W" 18 0 27.95 0.381 0.429 4.3 23.4 14.3 0 1.9 12.6 11.3 14.5 73 74 5.7 -2.7
"22" "11" 2014-12-13 23.96 "BRK" "@" "CHO" "W" 27 1 23.4 1.011 1 7.1 17.1 13.3 12.9 0 3.6 0 11.9 214 99 11.9 9.3
"23" "12" 2014-12-16 23.97 "BRK" "" "MIA" "L" -4 0 10.0333333333333 0.347 0.25 0 29 12.3 0 0 0 25.8 34.3 53 105 -1.8 -24
"24" "13" 2014-12-17 23.98 "BRK" "@" "TOR" "L" -16 0 16.9166666666667 0.875 0.875 0 7.1 3.3 10.7 0 0 20 13.7 132 127 4.6 1
"25" "" 2014-12-19 23.98 "BRK" "@" "CLE" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2014-12-21 23.99 "BRK" "" "DET" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "14" 2014-12-23 23.99 "BRK" "" "DEN" "W" 6 0 6.83333333333333 0.521 0.5 14.3 17.1 15.6 0 0 0 0 19.1 122 108 2.2 -4.8
"28" "" 2014-12-26 24 "BRK" "@" "BOS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2014-12-27 24 "BRK" "" "IND" "L" -25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2014-12-29 24.01 "BRK" "" "SAC" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "15" 2014-12-30 24.01 "BRK" "@" "CHI" "W" 14 0 2.65 0 0 0 37 19.3 0 0 0 0 17.7 0 88 -0.4 -17.9
"32" "" 2015-01-02 24.02 "BRK" "@" "ORL" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2015-01-04 24.02 "BRK" "@" "MIA" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2015-01-05 24.03 "BRK" "" "DAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
