"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2014-10-29 21.31 "OKC" "@" "POR" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2014-10-30 21.31 "OKC" "@" "LAC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2014-11-01 21.32 "OKC" "" "DEN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2014-11-03 21.32 "OKC" "@" "BRK" "L" -31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2014-11-04 21.33 "OKC" "@" "TOR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2014-11-07 21.33 "OKC" "" "MEM" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2014-11-09 21.34 "OKC" "" "SAC" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2014-11-11 21.35 "OKC" "@" "MIL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2014-11-12 21.35 "OKC" "@" "BOS" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2014-11-14 21.35 "OKC" "" "DET" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2014-11-16 21.36 "OKC" "" "HOU" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2014-11-18 21.36 "OKC" "@" "UTA" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2014-11-19 21.37 "OKC" "@" "DEN" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2014-11-21 21.37 "OKC" "" "BRK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2014-11-23 21.38 "OKC" "" "GSW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2014-11-26 21.39 "OKC" "" "UTA" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "1" 2014-11-28 21.39 "OKC" "" "NYK" "W" 27 0 8.65 0.3 0.3 0 12.1 6.2 17.1 0 0 16.7 30.2 71 93 -0.9 -15.4
"18" "" 2014-12-02 21.4 "OKC" "@" "NOP" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2014-12-05 21.41 "OKC" "@" "PHI" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2014-12-07 21.42 "OKC" "@" "DET" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2014-12-09 21.42 "OKC" "" "MIL" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2014-12-11 21.43 "OKC" "" "CLE" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2014-12-12 21.43 "OKC" "@" "MIN" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2014-12-14 21.44 "OKC" "" "PHO" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2014-12-16 21.44 "OKC" "@" "SAC" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2014-12-18 21.45 "OKC" "@" "GSW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2014-12-19 21.45 "OKC" "@" "LAL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2014-12-21 21.45 "OKC" "" "NOP" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2014-12-23 21.46 "OKC" "" "POR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2014-12-25 21.47 "OKC" "@" "SAS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "2" 2014-12-26 21.47 "OKC" "" "CHO" "W" 23 0 7.93333333333333 0 0 12.1 10.3 11.1 0 0 9.6 0 27.9 16 81 -2.6 -26.2
"32" "" 2014-12-28 21.47 "OKC" "@" "DAL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2014-12-31 21.48 "OKC" "" "PHO" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "3" 2015-01-02 21.49 "OKC" "" "WAS" "W" 7 0 0.1 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -4.2
"35" "4" 2015-01-05 21.5 "OKC" "@" "GSW" "L" -26 0 6.81666666666667 0.333 0.333 0 14.4 6.2 0 0 11.7 14.3 39.8 59 110 -0.2 -14.7
"36" "" 2015-01-07 21.5 "OKC" "@" "SAC" "L" -21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2015-01-09 21.51 "OKC" "" "UTA" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2015-01-15 21.52 "OKC" "@" "HOU" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2015-01-16 21.53 "OKC" "" "GSW" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2015-01-18 21.53 "OKC" "@" "ORL" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2015-01-20 21.54 "OKC" "@" "MIA" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2015-01-21 21.54 "OKC" "@" "WAS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2015-01-23 21.55 "OKC" "@" "ATL" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2015-01-25 21.55 "OKC" "@" "CLE" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "5" 2015-01-26 21.55 "OKC" "" "MIN" "W" 8 0 1.28333333333333 0 0 0 0 0 0 0 0 0 33.5 0 100 -1.1 -49.7
"46" "" 2015-01-28 21.56 "OKC" "@" "NYK" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2015-01-31 21.57 "OKC" "@" "MEM" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2015-02-02 21.57 "OKC" "" "ORL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2015-02-04 21.58 "OKC" "@" "NOP" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2015-02-06 21.58 "OKC" "" "NOP" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2015-02-08 21.59 "OKC" "" "LAC" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2015-02-09 21.59 "OKC" "@" "DEN" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2015-02-11 21.6 "OKC" "" "MEM" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "" 2015-02-19 21.62 "OKC" "" "DAL" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "" 2015-02-20 21.62 "UTA" "" "POR" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 2015-02-23 21.63 "UTA" "" "SAS" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2015-02-25 21.64 "UTA" "" "LAL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "6" 2015-02-27 21.64 "UTA" "@" "DEN" "W" 22 0 2.71666666666667 NA NA 0 0 0 0 0 0 NA 0 0 109 0 -6
"59" "" 2015-02-28 21.64 "UTA" "" "MIL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "" 2015-03-03 21.65 "UTA" "@" "MEM" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "" 2015-03-04 21.65 "UTA" "@" "BOS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "" 2015-03-06 21.66 "UTA" "@" "PHI" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "" 2015-03-08 21.67 "UTA" "@" "BRK" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "" 2015-03-10 21.67 "UTA" "" "NYK" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "" 2015-03-12 21.68 "UTA" "" "HOU" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "" 2015-03-14 21.68 "UTA" "" "DET" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "" 2015-03-16 21.69 "UTA" "" "CHO" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "" 2015-03-18 21.69 "UTA" "" "WAS" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "" 2015-03-19 21.7 "UTA" "@" "LAL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "" 2015-03-21 21.7 "UTA" "@" "GSW" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "" 2015-03-23 21.71 "UTA" "" "MIN" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "" 2015-03-25 21.71 "UTA" "" "POR" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "" 2015-03-27 21.72 "UTA" "@" "DEN" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "" 2015-03-28 21.72 "UTA" "" "OKC" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
