"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1972-10-16 23.55 "GSW" "" "BAL" "W" 1 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1972-10-20 23.56 "GSW" "@" "SEA" "W" 9 0 9 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1972-10-26 23.57 "GSW" "" "CHI" "L" -1 0 19 0.414 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1972-10-27 23.58 "GSW" "@" "LAL" "W" 28 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1972-10-31 23.59 "GSW" "" "DET" "W" 8 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1972-11-02 23.59 "GSW" "" "POR" "W" 14 0 14 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1972-11-04 23.6 "GSW" "" "NYK" "W" 23 0 20 0.514 0.429 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1972-11-07 23.61 "GSW" "@" "BUF" "W" 14 0 10 0.34 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1972-11-08 23.61 "GSW" "@" "BOS" "L" -17 0 11 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1972-11-10 23.61 "GSW" "@" "DET" "L" -25 0 11 0.717 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1972-11-14 23.62 "GSW" "@" "ATL" "W" 9 0 16 0.291 0.167 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1972-11-16 23.63 "GSW" "" "PHI" "W" 22 0 6 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1972-11-17 23.63 "GSW" "@" "POR" "L" -8 0 10 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1972-11-18 23.64 "GSW" "" "BUF" "W" 28 0 23 0.444 0.444 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1972-11-22 23.65 "GSW" "@" "HOU" "L" -28 0 12 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1972-11-25 23.65 "GSW" "@" "KCO" "W" 19 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1972-11-28 23.66 "GSW" "" "PHO" "W" 8 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1972-12-02 23.67 "GSW" "" "LAL" "L" -9 0 9 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1972-12-05 23.68 "GSW" "" "HOU" "W" 7 0 9 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1972-12-08 23.69 "GSW" "@" "MIL" "L" -33 0 21 0.313 0.313 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1972-12-10 23.7 "GSW" "@" "CLE" "W" 3 0 12 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1972-12-13 23.7 "GSW" "@" "DET" "W" 3 0 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1972-12-15 23.71 "GSW" "@" "BUF" "W" 34 0 13 0.615 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1972-12-16 23.71 "GSW" "" "BAL" "L" -6 0 12 0.568 0.545 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1972-12-19 23.72 "GSW" "" "BOS" "W" 3 0 27 0.419 0.412 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1972-12-23 23.73 "GSW" "" "CHI" "W" 18 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1972-12-28 23.75 "GSW" "" "CLE" "W" 13 0 14 0.564 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1972-12-30 23.75 "GSW" "" "KCO" "W" 6 0 23 0.718 0.7 NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1973-01-02 23.76 "GSW" "" "LAL" "W" 6 0 19 0.444 0.444 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1973-01-04 23.76 "GSW" "" "POR" "W" 25 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1973-01-05 23.77 "GSW" "@" "SEA" "W" 32 0 15 0.676 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1973-01-06 23.77 "GSW" "" "PHI" "W" 32 0 14 0.509 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1973-01-09 23.78 "GSW" "" "DET" "W" 7 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1973-01-11 23.78 "GSW" "@" "KCO" "L" -1 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1973-01-13 23.79 "GSW" "" "PHO" "L" -6 0 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1973-01-16 23.8 "GSW" "" "CLE" "L" -2 0 5 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1973-01-17 23.8 "GSW" "" "HOU" "W" 6 0 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1973-01-19 23.81 "GSW" "@" "CHI" "W" 35 0 5 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1973-01-21 23.81 "GSW" "@" "MIL" "L" -16 0 6 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1973-01-25 23.82 "GSW" "" "KCO" "W" 14 0 11 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1973-01-26 23.82 "GSW" "@" "LAL" "L" -16 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1973-01-27 23.83 "GSW" "" "LAL" "L" -15 0 2 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1973-01-31 23.84 "GSW" "@" "PHI" "W" 16 0 6 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1973-02-03 23.85 "GSW" "" "SEA" "W" 22 0 33 0.407 0.389 NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1973-02-08 23.86 "GSW" "" "POR" "W" 12 0 23 0.372 0.222 NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1973-02-10 23.87 "GSW" "@" "MIL" "L" -27 0 17 0.1 0.1 NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1973-02-11 23.87 "GSW" "@" "CHI" "W" 5 0 9 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1973-02-13 23.87 "GSW" "@" "CLE" "W" 13 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1973-02-15 23.88 "GSW" "" "BAL" "L" -2 0 17 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1973-02-16 23.88 "GSW" "@" "SEA" "L" -6 0 32 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1973-02-17 23.88 "GSW" "" "BOS" "L" -4 0 31 0.385 0.385 NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1973-02-20 23.89 "GSW" "" "ATL" "W" 3 0 22 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1973-02-23 23.9 "GSW" "@" "LAL" "W" 5 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1973-02-24 23.9 "GSW" "" "MIL" "W" 9 0 14 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1973-02-27 23.91 "GSW" "@" "DET" "L" -14 0 6 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1973-02-28 23.92 "GSW" "@" "BOS" "L" -7 0 4 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1973-03-02 23.92 "GSW" "" "KCO" "W" 5 0 26 0.417 0.417 NA NA NA NA NA NA NA NA NA NA NA NA
