"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1977-10-18 21.69 "MIL" "" "LAL" "W" 5 1 30 0.602 NA NA NA NA NA NA NA NA NA NA NA 22.1 NA
"2" "2" 1977-10-19 21.69 "MIL" "@" "DEN" "L" -18 1 39 0.551 NA NA NA NA NA NA NA NA NA NA NA 15.4 NA
"3" "3" 1977-10-22 21.7 "MIL" "" "CHI" "W" 18 1 25 0.279 NA NA NA NA NA NA NA NA NA NA NA 3.8 NA
"4" "4" 1977-10-27 21.72 "MIL" "@" "HOU" "L" -23 1 33 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1977-10-30 21.72 "MIL" "" "SEA" "W" 13 1 35 0.628 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1977-11-01 21.73 "MIL" "" "KCK" "W" 20 1 19 0.398 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1977-11-03 21.73 "MIL" "@" "CLE" "L" -9 1 33 0.45 NA NA NA NA NA NA NA NA NA NA NA 15.3 NA
"8" "8" 1977-11-04 21.74 "MIL" "" "HOU" "W" 2 1 34 0.72 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1977-11-08 21.75 "MIL" "" "DEN" "L" -10 1 41 0.64 NA NA NA NA NA NA NA NA NA NA NA 27.5 NA
"10" "10" 1977-11-10 21.75 "MIL" "@" "WSB" "W" 3 1 29 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1977-11-11 21.76 "MIL" "" "CLE" "L" -6 1 32 0.481 NA NA NA NA NA NA NA NA NA NA NA 9.6 NA
"12" "12" 1977-11-13 21.76 "MIL" "" "BOS" "L" -8 1 43 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1977-11-15 21.77 "MIL" "" "POR" "L" -3 1 29 0.444 NA NA NA NA NA NA NA NA NA NA NA 9.9 NA
"14" "14" 1977-11-16 21.77 "MIL" "@" "NJN" "W" 10 1 26 0.651 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1977-11-19 21.78 "MIL" "@" "PHI" "L" -11 1 38 0.531 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1977-11-22 21.79 "MIL" "" "GSW" "W" 21 1 31 0.727 NA NA NA NA NA NA NA NA NA NA NA 17.2 NA
"17" "17" 1977-11-23 21.79 "MIL" "@" "KCK" "W" 6 1 36 0.54 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1977-11-25 21.79 "MIL" "@" "ATL" "W" 2 1 27 0.502 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1977-11-26 21.8 "MIL" "@" "SAS" "L" -22 1 37 0.267 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1977-11-29 21.81 "MIL" "" "DET" "L" -1 1 36 0.533 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1977-11-30 21.81 "MIL" "@" "IND" "W" 7 1 35 0.648 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1977-12-02 21.81 "MIL" "" "WSB" "L" -13 1 37 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1977-12-03 21.82 "MIL" "@" "NYK" "W" 7 1 34 0.671 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1977-12-04 21.82 "MIL" "" "NJN" "W" 16 1 42 0.805 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1977-12-06 21.82 "MIL" "@" "LAL" "L" -1 1 33 0.435 NA NA NA NA NA NA NA NA NA NA NA 9.2 NA
"26" "26" 1977-12-08 21.83 "MIL" "@" "GSW" "W" 1 1 31 0.765 NA NA NA NA NA NA NA NA NA NA NA 15.8 NA
"27" "27" 1977-12-09 21.83 "MIL" "@" "SEA" "L" -13 1 28 0.683 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1977-12-10 21.84 "MIL" "@" "DEN" "L" -7 1 32 0.854 NA NA NA NA NA NA NA NA NA NA NA 11 NA
"29" "29" 1977-12-13 21.84 "MIL" "" "PHI" "W" 12 1 37 0.653 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1977-12-16 21.85 "MIL" "" "NYK" "W" 2 1 52 0.527 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1977-12-18 21.86 "MIL" "" "BUF" "W" 11 1 36 0.465 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1977-12-21 21.87 "MIL" "" "SAS" "W" 24 1 34 0.664 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1977-12-22 21.87 "MIL" "@" "DET" "L" -16 1 32 0.615 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1977-12-23 21.87 "MIL" "" "ATL" "L" -16 1 40 0.52 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1977-12-25 21.88 "MIL" "@" "KCK" "W" 9 1 36 0.481 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1977-12-27 21.88 "MIL" "@" "BUF" "W" 3 1 37 0.676 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1977-12-29 21.89 "MIL" "" "BOS" "L" -9 1 40 0.693 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1978-01-03 21.9 "MIL" "" "PHO" "L" -22 1 40 0.685 NA NA NA NA NA NA NA NA NA NA NA 31.3 NA
"39" "39" 1978-01-05 21.91 "MIL" "" "NOJ" "L" -7 1 40 0.43 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1978-01-06 21.91 "MIL" "@" "HOU" "W" 2 1 48 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1978-01-08 21.92 "MIL" "" "KCK" "W" 10 1 26 0.709 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1978-01-10 21.92 "MIL" "" "IND" "W" 22 1 32 0.747 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1978-01-11 21.92 "MIL" "@" "SAS" "L" -24 1 34 0.537 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1978-01-13 21.93 "MIL" "@" "CHI" "L" -17 1 34 0.571 NA NA NA NA NA NA NA NA NA NA NA 12.3 NA
"45" "45" 1978-01-17 21.94 "MIL" "" "NJN" "W" 10 1 40 0.664 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1978-01-18 21.94 "MIL" "@" "BOS" "L" -14 1 32 0.368 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1978-01-19 21.95 "MIL" "" "DEN" "W" 5 1 44 0.624 NA NA NA NA NA NA NA NA NA NA NA 21.1 NA
"48" "48" 1978-01-22 21.95 "MIL" "" "CHI" "W" 22 1 32 0.446 NA NA NA NA NA NA NA NA NA NA NA 14.7 NA
"49" "49" 1978-01-27 21.97 "MIL" "@" "LAL" "L" -17 1 28 0.504 NA NA NA NA NA NA NA NA NA NA NA 9.9 NA
"50" "50" 1978-01-29 21.97 "MIL" "@" "SEA" "L" -2 1 29 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1978-01-31 21.98 "MIL" "@" "POR" "L" -20 1 36 0.486 NA NA NA NA NA NA NA NA NA NA NA 6.7 NA
"52" "52" 1978-02-02 21.98 "MIL" "@" "GSW" "L" -3 1 36 0.582 NA NA NA NA NA NA NA NA NA NA NA 17.4 NA
"53" "53" 1978-02-03 21.99 "MIL" "@" "PHO" "L" -10 1 35 0.587 NA NA NA NA NA NA NA NA NA NA NA 16.3 NA
"54" "54" 1978-02-08 22 "MIL" "" "BUF" "W" 1 1 44 0.517 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1978-02-10 22.01 "MIL" "" "CLE" "W" 10 1 34 0.436 NA NA NA NA NA NA NA NA NA NA NA 9.9 NA
"56" "56" 1978-02-11 22.01 "MIL" "@" "NYK" "L" -11 1 39 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1978-02-15 22.02 "MIL" "" "NOJ" "W" 13 1 35 0.594 NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1978-02-17 22.02 "MIL" "" "HOU" "W" 17 1 28 0.652 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1978-02-19 22.03 "MIL" "" "SEA" "L" -5 1 40 0.313 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1978-02-24 22.04 "MIL" "@" "CHI" "W" 3 1 41 0.461 NA NA NA NA NA NA NA NA NA NA NA 13.1 NA
"61" "61" 1978-02-26 22.05 "MIL" "@" "NOJ" "W" 2 1 40 0.606 NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "62" 1978-02-28 22.05 "MIL" "" "WSB" "W" 1 1 21 0.673 NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "63" 1978-03-03 22.06 "MIL" "@" "PHO" "L" -6 1 33 0.569 NA NA NA NA NA NA NA NA NA NA NA 22.3 NA
"64" "64" 1978-03-05 22.07 "MIL" "@" "POR" "L" -38 1 22 0.598 NA NA NA NA NA NA NA NA NA NA NA 11.7 NA
"65" "65" 1978-03-08 22.08 "MIL" "" "NYK" "W" 2 1 41 0.495 NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "66" 1978-03-10 22.08 "MIL" "" "GSW" "L" -22 1 38 0.542 NA NA NA NA NA NA NA NA NA NA NA 18.4 NA
"67" "67" 1978-03-12 22.09 "MIL" "@" "ATL" "L" -5 1 39 0.607 NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "68" 1978-03-17 22.1 "MIL" "@" "BUF" "L" -9 1 34 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "69" 1978-03-18 22.1 "MIL" "@" "IND" "W" 9 1 36 0.572 NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "70" 1978-03-19 22.11 "MIL" "@" "WSB" "W" 11 1 32 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "71" 1978-03-21 22.11 "MIL" "" "ATL" "W" 14 1 22 0.631 NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "72" 1978-03-23 22.12 "MIL" "" "POR" "W" 7 1 38 0.748 NA NA NA NA NA NA NA NA NA NA NA 29.7 NA
