"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1972-10-13 23.42 "POR" "" "SEA" "L" -8 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1972-10-14 23.43 "POR" "" "PHO" "L" -4 0 12 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1972-10-17 23.44 "POR" "" "MIL" "W" 3 1 36 0.714 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1972-10-20 23.44 "POR" "@" "LAL" "L" -22 1 31 0.364 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1972-10-21 23.45 "POR" "" "GSW" "L" -7 1 26 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1972-10-22 23.45 "POR" "@" "SEA" "L" -1 1 36 0.576 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1972-10-24 23.45 "POR" "" "ATL" "L" -8 1 27 0.635 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1972-10-27 23.46 "POR" "" "CHI" "L" -23 1 36 0.431 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1972-10-29 23.47 "POR" "" "DET" "L" -8 1 40 0.542 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1972-11-02 23.48 "POR" "@" "GSW" "L" -14 1 35 0.627 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1972-11-04 23.48 "POR" "" "LAL" "L" -14 1 35 0.533 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1972-11-06 23.49 "POR" "" "NYK" "L" -16 1 45 0.732 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1972-11-12 23.51 "POR" "" "KCO" "W" 2 1 35 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1972-11-14 23.51 "POR" "" "CLE" "W" 9 1 30 0.434 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1972-11-17 23.52 "POR" "" "GSW" "W" 8 1 34 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1972-11-18 23.52 "POR" "" "SEA" "L" -2 1 30 0.761 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1972-11-21 23.53 "POR" "@" "NYK" "L" -28 1 35 0.751 NA NA NA NA NA NA NA NA NA NA NA NA NA
