"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1981-10-30 23.99 "KCK" "" "SAS" "L" -11 0 17 0.354 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1981-10-31 23.99 "KCK" "@" "DAL" "L" -6 0 12 0.773 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1981-11-04 24 "KCK" "" "SDC" "W" 1 0 18 0.581 0.556 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1981-11-06 24.01 "KCK" "" "HOU" "W" 4 0 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1981-11-10 24.02 "KCK" "@" "CHI" "L" -12 0 8 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1981-11-11 24.02 "KCK" "@" "BOS" "L" -15 0 19 0.581 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1981-11-13 24.03 "KCK" "@" "PHI" "L" -20 1 20 0.258 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1981-11-14 24.03 "KCK" "@" "NJN" "L" -11 1 25 0.481 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1981-11-17 24.04 "KCK" "@" "NYK" "W" 14 1 10 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1981-11-19 24.04 "KCK" "@" "IND" "L" -3 1 18 0.761 0.714 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1981-11-21 24.05 "KCK" "@" "DEN" "L" -7 1 14 0.833 0.833 NA NA NA NA NA NA NA NA NA NA 11.9 NA
"12" "12" 1981-11-25 24.06 "KCK" "" "DET" "L" -7 0 13 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1981-11-27 24.07 "KCK" "" "DEN" "L" -8 0 25 0.638 0.6 NA NA NA NA NA NA NA NA NA NA 10.5 NA
"14" "14" 1981-11-29 24.07 "KCK" "" "GSW" "W" 4 0 23 0.601 0.571 NA NA NA NA NA NA NA NA NA NA 6.6 NA
"15" "15" 1981-12-01 24.08 "KCK" "@" "HOU" "W" 2 0 25 0.694 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1981-12-02 24.08 "KCK" "" "POR" "L" -5 0 13 0.5 0.5 NA NA NA NA NA NA NA NA NA NA -0.2 NA
"17" "17" 1981-12-04 24.08 "KCK" "" "SEA" "W" 3 0 10 0.551 0.6 NA NA NA NA NA NA NA NA NA NA 3.3 NA
"18" "18" 1981-12-06 24.09 "KCK" "@" "LAL" "L" -13 0 13 0.563 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1981-12-09 24.1 "KCK" "" "DAL" "W" 4 1 21 0.49 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1981-12-11 24.1 "KCK" "@" "UTA" "L" -20 1 29 0.545 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1981-12-12 24.11 "KCK" "@" "GSW" "L" -2 1 19 0.723 0.7 NA NA NA NA NA NA NA NA NA NA 9.4 NA
"22" "22" 1981-12-16 24.12 "KCK" "" "PHO" "W" 16 1 23 0.747 0.636 NA NA NA NA NA NA NA NA NA NA 15.1 NA
"23" "23" 1981-12-18 24.12 "KCK" "" "UTA" "W" 5 1 26 0.628 0.692 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1981-12-19 24.13 "KCK" "@" "PHO" "L" -8 1 23 0.526 0.5 NA NA NA NA NA NA NA NA NA NA 10.4 NA
"25" "25" 1981-12-22 24.13 "KCK" "@" "MIL" "W" 5 1 20 0.589 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1981-12-23 24.14 "KCK" "@" "CLE" "L" -19 1 19 0.665 0.571 NA NA NA NA NA NA NA NA NA NA 9.5 NA
"27" "27" 1981-12-26 24.15 "KCK" "" "BOS" "L" -5 1 26 0.63 0.583 NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1981-12-30 24.16 "KCK" "" "DEN" "W" 4 1 20 0.601 0.667 NA NA NA NA NA NA NA NA NA NA 5.1 NA
"29" "29" 1982-01-01 24.16 "KCK" "@" "GSW" "L" -32 1 34 0.708 0.7 NA NA NA NA NA NA NA NA NA NA 13 NA
"30" "30" 1982-01-03 24.17 "KCK" "@" "POR" "L" -11 1 37 0.644 0.609 NA NA NA NA NA NA NA NA NA NA 27 NA
"31" "31" 1982-01-05 24.17 "KCK" "@" "SDC" "L" -8 1 28 0.902 0.917 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1982-01-07 24.18 "KCK" "" "NYK" "W" 4 1 25 0.651 0.556 NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1982-01-09 24.18 "KCK" "@" "SAS" "L" -13 1 30 0.553 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1982-01-12 24.19 "KCK" "@" "DEN" "L" -13 1 21 0.707 0.714 NA NA NA NA NA NA NA NA NA NA 14.8 NA
"35" "35" 1982-01-13 24.19 "KCK" "" "CLE" "W" 13 1 23 0.759 0.778 NA NA NA NA NA NA NA NA NA NA 12.5 NA
"36" "36" 1982-01-15 24.2 "KCK" "" "NJN" "W" 10 1 18 0.524 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1982-01-21 24.22 "KCK" "" "DAL" "L" -16 0 21 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1982-01-23 24.22 "KCK" "" "WSB" "L" -3 1 16 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
