"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2002-10-30 23.64 "IND" "" "HOU" "W" 9 0 6.55 0 0 0 0 0 0 7.4 0 66.7 18.1 0 87 -2.1 -18.9
"2" "2" 2002-11-01 23.64 "IND" "@" "NJN" "L" -11 0 1.45 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -5.7
"3" "" 2002-11-02 23.65 "IND" "" "MIN" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2002-11-05 23.65 "IND" "@" "MIA" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2002-11-08 23.66 "IND" "" "NYK" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "3" 2002-11-09 23.67 "IND" "" "TOR" "W" 24 0 3.36666666666667 1 1 0 0 0 0 0 0 0 14 200 101 1.7 7.9
"7" "4" 2002-11-12 23.67 "IND" "" "CLE" "W" 20 0 5.28333333333333 NA NA 0 17.8 11.2 0 0 0 NA 0 0 84 -0.1 -7.6
"8" "" 2002-11-15 23.68 "IND" "" "MIL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "5" 2002-11-16 23.68 "IND" "@" "MIN" "W" 6 0 0.65 NA NA 0 0 0 0 0 0 NA 0 0 111 -0.4 -33.9
"10" "" 2002-11-20 23.7 "IND" "@" "TOR" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "6" 2002-11-22 23.7 "IND" "" "ORL" "W" 36 0 10.8166666666667 0.429 0.429 8.7 0 4 15.1 4.6 6.3 0 25.8 110 76 5.4 9.2
"12" "" 2002-11-23 23.7 "IND" "" "DET" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2002-11-26 23.71 "IND" "@" "WAS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2002-11-28 23.72 "IND" "" "DAL" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "7" 2002-11-29 23.72 "IND" "" "WAS" "W" 16 0 12.0666666666667 0.667 0.667 0 9.1 4.7 18.2 4.5 0 0 11.9 141 92 4.3 7.2
"16" "8" 2002-12-01 23.73 "IND" "@" "LAC" "W" 5 0 6.75 NA NA 0 15.2 7.5 20.8 0 0 NA 0 218 100 0.6 -1.8
"17" "9" 2002-12-02 23.73 "IND" "@" "UTA" "L" -11 0 5.68333333333333 0 0 0 0 0 0 0 0 0 7.5 0 126 -1.1 -14.8
"18" "" 2002-12-04 23.73 "IND" "@" "SEA" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2002-12-28 23.8 "IND" "" "NOH" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2002-12-31 23.81 "IND" "@" "NOH" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2003-01-03 23.82 "IND" "@" "NYK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "10" 2003-01-04 23.82 "IND" "@" "WAS" "L" -3 1 25.5333333333333 1.064 1.5 9.7 5.2 7.5 6.7 2.3 0 61.5 9.3 77 108 2.1 -2.9
"23" "11" 2003-01-06 23.82 "IND" "@" "PHI" "W" 1 0 0.0666666666666667 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -4.1
"24" "" 2003-01-08 23.83 "IND" "" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2003-01-10 23.84 "IND" "@" "ORL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
