"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-11-24 23.23 "SDC" "" "NJN" "W" 5 0 7 0.515 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1982-11-27 23.24 "SDC" "@" "DEN" "L" -16 0 17 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1982-11-30 23.25 "SDC" "@" "POR" "L" -7 0 16 0.551 0.5 NA NA 6.5 0 NA 0 8.4 NA NA NA 6.2 NA
"4" "4" 1982-12-01 23.25 "SDC" "@" "SEA" "L" -21 0 12 0.727 0.667 NA NA NA NA NA NA NA NA NA NA 9.1 NA
"5" "5" 1982-12-04 23.26 "SDC" "@" "PHO" "W" 10 0 6 1 1 NA NA NA NA NA NA NA NA NA NA 1.9 NA
"6" "6" 1982-12-07 23.27 "SDC" "@" "GSW" "L" -7 0 2 NA NA NA NA NA NA NA NA NA NA NA NA -1 NA
"7" "7" 1982-12-10 23.27 "SDC" "@" "KCK" "L" -12 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1982-12-15 23.29 "SDC" "@" "UTA" "L" -6 0 8 0 0 NA NA 25 12.5 NA 0 NA NA NA NA 1.2 NA
"9" "9" 1982-12-16 23.29 "SDC" "" "POR" "L" -8 0 16 0.375 0.375 NA NA 8.2 18.8 NA 0 20 NA NA NA 0.4 NA
"1" "1" 1983-12-09 24.27 "SDC" "" "NYK" "L" -19 0 5 0 0 0 0 0 0 0 0 0 9 0 128 -0.7 NA
"2" "2" 1983-12-10 24.27 "SDC" "@" "PHO" "L" -16 0 8 0.181 0 0 0 0 0 6.1 0 42 24.9 22 107 -1.9 NA
"3" "3" 1983-12-11 24.28 "SDC" "" "DAL" "W" 2 0 3 0 0 0 0 0 0 0 0 0 14.1 0 130 -0.7 NA
"4" "4" 1983-12-14 24.28 "SDC" "@" "SAS" "L" -15 0 2 NA NA 0 0 0 0 0 0 NA 0 0 146 0 NA
