"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1958-11-01 26.44 "BOS" "" "DET" "W" 14 NA 12 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1958-11-05 26.45 "BOS" "@" "SYR" "W" 2 NA 9 0.113 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1958-11-08 26.46 "BOS" "@" "STL" "L" -3 NA NA 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1958-11-09 26.46 "BOS" "@" "DET" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1958-11-15 26.48 "BOS" "" "CIN" "W" 25 NA 19 0.311 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1958-11-18 26.48 "BOS" "" "DET" "W" 13 NA 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1958-11-19 26.49 "BOS" "@" "CIN" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1958-11-21 26.49 "BOS" "" "NYK" "L" -6 NA NA 0.399 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1958-11-22 26.5 "BOS" "" "PHW" "W" 5 NA 8 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1958-11-24 26.5 "BOS" "" "MNL" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1958-11-26 26.51 "BOS" "" "NYK" "W" 12 NA 8 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1958-11-27 26.51 "BOS" "@" "PHW" "W" 13 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1958-11-29 26.52 "BOS" "" "DET" "W" 14 NA 10 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1958-12-02 26.52 "BOS" "@" "NYK" "W" 19 NA 5 0.184 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1958-12-07 26.54 "BOS" "@" "SYR" "L" -4 NA 2 0.116 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1958-12-10 26.55 "BOS" "" "PHW" "W" 3 NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1958-12-12 26.55 "BOS" "" "CIN" "W" 10 NA 10 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1958-12-16 26.56 "BOS" "" "SYR" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1958-12-20 26.57 "BOS" "" "NYK" "W" 29 NA 16 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1958-12-27 26.59 "BOS" "@" "MNL" "W" 18 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1958-12-30 26.6 "BOS" "@" "PHW" "L" -7 NA NA 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1959-01-03 26.61 "BOS" "@" "STL" "L" -6 NA NA 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1959-01-06 26.62 "BOS" "" "CIN" "W" 14 NA NA 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1959-01-07 26.62 "BOS" "" "NYK" "W" 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1959-01-09 26.63 "BOS" "@" "DET" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1959-01-11 26.63 "BOS" "" "MNL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1959-01-14 26.64 "BOS" "" "NYK" "W" 11 NA 11 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1959-01-16 26.65 "BOS" "@" "PHW" "L" -7 NA NA 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1959-01-18 26.65 "BOS" "" "STL" "W" 22 NA 8 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1959-01-20 26.66 "BOS" "@" "STL" "L" -5 NA 13 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1959-01-21 26.66 "BOS" "@" "SYR" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1959-01-24 26.67 "BOS" "" "PHW" "W" 28 NA NA 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1959-01-31 26.69 "BOS" "" "PHW" "W" 35 NA 18 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1959-02-03 26.7 "BOS" "" "STL" "W" 7 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1959-02-06 26.7 "BOS" "" "STL" "W" 27 NA 12 0.167 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1959-02-08 26.71 "BOS" "" "CIN" "W" 19 NA 14 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1959-02-09 26.71 "BOS" "@" "PHW" "L" -8 NA NA 0.258 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1959-02-15 26.73 "BOS" "" "DET" "W" 26 NA 27 0.364 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1959-02-17 26.73 "BOS" "" "PHW" "W" 11 NA NA 0.145 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1959-02-19 26.74 "BOS" "@" "SYR" "L" -8 NA 21 0.387 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1959-02-20 26.74 "BOS" "@" "DET" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1959-02-22 26.75 "BOS" "@" "CIN" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1959-02-24 26.75 "BOS" "@" "NYK" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1959-02-27 26.76 "BOS" "" "MNL" "W" 34 NA 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1959-03-01 26.77 "BOS" "@" "STL" "L" -2 NA NA 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1959-03-03 26.77 "BOS" "" "MNL" "W" 7 NA 18 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1959-03-04 26.78 "BOS" "" "SYR" "W" 6 NA 9 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1959-03-05 26.78 "BOS" "@" "SYR" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1959-03-08 26.79 "BOS" "" "CIN" "W" 10 NA 23 0.592 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1959-03-10 26.79 "BOS" "" "NYK" "L" -22 NA 24 0.143 NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1959-10-17 27.4 "BOS" "" "CIN" "W" 4 NA 9 0.727 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1959-10-24 27.42 "BOS" "@" "SYR" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1959-10-31 27.44 "BOS" "@" "NYK" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1959-11-01 27.44 "BOS" "@" "CIN" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1959-11-03 27.44 "BOS" "@" "STL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1959-11-07 27.45 "BOS" "" "PHW" "W" 9 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1959-11-08 27.46 "BOS" "@" "MNL" "L" -21 NA NA 0.565 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1959-11-10 27.46 "BOS" "" "DET" "W" 19 NA NA 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1959-11-11 27.47 "BOS" "" "CIN" "W" 33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1959-11-14 27.47 "BOS" "" "STL" "W" 2 NA 6 1.017 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1959-11-15 27.48 "BOS" "@" "CIN" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1959-11-17 27.48 "BOS" "@" "DET" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1959-11-18 27.48 "BOS" "@" "SYR" "L" -35 NA 27 0.33 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1959-11-20 27.49 "BOS" "" "SYR" "W" 13 NA 11 0.563 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1959-11-25 27.5 "BOS" "" "PHW" "L" -10 NA 15 0.68 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1959-11-26 27.51 "BOS" "@" "PHW" "L" -13 NA NA 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1959-11-28 27.51 "BOS" "" "DET" "W" 26 NA 24 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1959-11-29 27.52 "BOS" "" "MNL" "W" 16 NA NA 0.276 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1959-12-04 27.53 "BOS" "" "NYK" "W" 15 NA 10 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1959-12-06 27.53 "BOS" "@" "MNL" "W" 17 NA NA 0.707 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1959-12-08 27.54 "BOS" "@" "NYK" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1959-12-09 27.54 "BOS" "" "PHW" "W" 21 NA 20 0.372 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1959-12-11 27.55 "BOS" "" "STL" "W" 23 NA 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1959-12-12 27.55 "BOS" "@" "PHW" "W" 9 NA NA 0.738 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1959-12-17 27.56 "BOS" "" "NYK" "W" 11 NA 13 0.338 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1959-12-19 27.57 "BOS" "" "NYK" "W" 3 NA 17 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1959-12-20 27.57 "BOS" "@" "SYR" "W" 5 NA 11 0.425 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1959-12-22 27.58 "BOS" "@" "DET" "W" 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1959-12-25 27.59 "BOS" "@" "NYK" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1959-12-27 27.59 "BOS" "@" "CIN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1959-12-28 27.59 "BOS" "" "MNL" "W" 3 NA 19 0.466 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1959-12-30 27.6 "BOS" "@" "STL" "W" 14 NA NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1960-01-01 27.61 "BOS" "" "CIN" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1960-01-02 27.61 "BOS" "@" "PHW" "L" -1 NA NA 0.549 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1960-01-03 27.61 "BOS" "@" "SYR" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1960-01-04 27.61 "BOS" "" "SYR" "W" 7 NA 24 0.652 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1960-01-05 27.62 "BOS" "" "SYR" "L" -2 NA 31 0.424 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1960-01-09 27.63 "BOS" "@" "DET" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1960-01-10 27.63 "BOS" "@" "STL" "L" -10 NA NA 0.203 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1960-01-12 27.64 "BOS" "" "SYR" "L" -7 NA NA 0.451 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1960-01-13 27.64 "BOS" "" "STL" "W" 22 NA 34 0.268 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1960-01-15 27.64 "BOS" "@" "PHW" "W" 12 NA NA 1.064 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1960-01-17 27.65 "BOS" "" "PHW" "W" 6 NA 14 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1960-01-20 27.66 "BOS" "" "NYK" "W" 18 NA 22 0.218 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1960-01-23 27.67 "BOS" "" "SYR" "W" 9 NA 30 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1960-01-24 27.67 "BOS" "@" "SYR" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1960-01-27 27.68 "BOS" "" "STL" "W" 13 NA 20 0.533 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1960-01-29 27.68 "BOS" "@" "PHW" "L" -8 NA NA 0.525 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1960-01-30 27.68 "BOS" "" "CIN" "W" 22 NA 20 0.833 NA NA NA NA NA NA NA NA NA NA NA NA NA
