"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2006-11-01 22.3 "ATL" "@" "PHI" "L" -13 0 5.25 0 0 0 22.9 10.3 0 0 0 0 8.7 0 106 -0.4 -10.9
"2" "2" 2006-11-03 22.3 "ATL" "" "NYK" "W" 10 0 0.216666666666667 NA NA 0 0 0 0 0 0 NA 0 0 111 0 -5.2
"3" "3" 2006-11-05 22.31 "ATL" "" "ORL" "W" 13 0 8.53333333333333 0.615 0.5 14.8 39.2 27.8 0 0 0 17 31.4 110 84 3.4 -4.4
"4" "" 2006-11-07 22.31 "ATL" "@" "CLE" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "4" 2006-11-10 22.32 "ATL" "@" "TOR" "W" 9 0 5.35 NA NA 22.4 36.6 30.2 0 0 13 NA 0 216 91 2 7.1
"6" "" 2006-11-11 22.32 "ATL" "" "SEA" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2006-11-14 22.33 "ATL" "" "MIL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "5" 2006-11-18 22.34 "ATL" "" "MIA" "L" -5 0 0.266666666666667 NA NA 0 0 0 0 0 0 NA 0 0 107 0 -7
"9" "6" 2006-11-22 22.35 "ATL" "@" "DET" "L" -5 0 4.95 NA NA 0 0 0 0 0 0 NA 0 0 126 -0.8 -11.8
"10" "" 2006-11-24 22.36 "ATL" "" "TOR" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "7" 2006-11-25 22.36 "ATL" "@" "ORL" "L" -19 0 25.2 0.5 0.5 0 19.5 8.8 0 0 15.6 42.9 12.5 54 95 1.7 -4.9
"12" "8" 2006-11-28 22.37 "ATL" "@" "WAS" "L" -1 0 4.5 0 0 0 61 26 0 0 0 50 19.1 0 99 -2.3 -33.7
"13" "9" 2006-11-29 22.37 "ATL" "" "CHA" "W" 9 0 19.2333333333333 0.75 0.75 7.6 20.4 15.2 0 2.9 3.8 20 12.2 120 96 5.4 0.1
"14" "10" 2006-12-01 22.38 "ATL" "" "CLE" "L" -11 0 4.83333333333333 1 1 0 26.1 13.4 0 11.1 0 0 10.2 200 96 3 17.3
"15" "11" 2006-12-03 22.38 "ATL" "@" "POR" "W" 11 0 8.71666666666667 0.694 0.5 16.7 0 8.2 0 0 9.5 0 15.6 159 105 3.2 -2.4
"16" "12" 2006-12-05 22.39 "ATL" "@" "SEA" "L" -15 0 14.8333333333333 0.615 0.5 8.3 29.4 18 0 3.6 0 17 17.3 112 105 4.8 -2.2
"17" "13" 2006-12-06 22.39 "ATL" "@" "DEN" "W" 2 0 17.9166666666667 0.25 0.25 13.4 6.1 9.6 0 0 0 20 12.2 64 105 -0.9 -12.5
"18" "14" 2006-12-08 22.4 "ATL" "@" "LAL" "L" -11 0 1.73333333333333 1.136 NA 0 0 0 0 0 0 0 22.5 250 127 2 23.9
"19" "15" 2006-12-10 22.4 "ATL" "@" "SAC" "L" -25 0 22.5166666666667 0.833 0.75 5.2 29.4 15.2 0 0 0 10.6 17.3 159 122 10.9 4.2
"20" "16" 2006-12-12 22.41 "ATL" "" "DEN" "L" -13 0 12.0333333333333 0.25 0.25 8.7 11.1 9.7 0 0 7 0 14.2 66 108 0.9 -9.3
"21" "17" 2006-12-13 22.41 "ATL" "@" "NYK" "L" -12 0 8.25 0.694 0.5 26.4 16.2 21.8 0 0 10.6 0 17.2 163 110 5 9.1
"22" "" 2006-12-15 22.42 "ATL" "@" "MEM" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2006-12-16 22.42 "ATL" "" "CHI" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "18" 2006-12-20 22.43 "ATL" "" "UTA" "L" -6 0 2.73333333333333 NA NA 0 50.2 24.4 0 0 0 NA 0 0 115 0.3 -3.6
"25" "" 2006-12-22 22.44 "ATL" "" "IND" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "19" 2006-12-23 22.44 "ATL" "@" "DET" "L" -27 0 21.9666666666667 0.41 0.4 34.3 12.9 25.7 0 0 0 0 23.2 114 132 7.2 -5.7
"27" "" 2006-12-27 22.45 "ATL" "" "CLE" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "20" 2006-12-29 22.45 "ATL" "@" "HOU" "L" -26 0 7.06666666666667 0 0 0 0 0 0 0 0 50 13.7 0 110 -3.7 -33.3
"29" "21" 2006-12-31 22.46 "ATL" "@" "SAS" "L" -14 0 2.95 0 0 0 0 0 0 0 0 0 15.9 0 113 -0.7 -17.7
"30" "22" 2007-01-05 22.47 "ATL" "@" "TOR" "L" -13 0 9.13333333333333 1 1 0 30.9 16.4 0 0 0 50 11.7 84 125 0.5 -9.2
"31" "23" 2007-01-06 22.48 "ATL" "" "LAC" "W" 12 0 6.6 1 1 37.3 0 17.5 0 0 0 25 30.4 135 99 4.3 5.8
"32" "24" 2007-01-09 22.48 "ATL" "@" "IND" "L" -19 0 20.7 0.527 0.25 18.2 10.1 14.3 10.2 0 6.9 13.1 17.1 118 110 8.3 3.3
"33" "25" 2007-01-10 22.49 "ATL" "" "NOK" "L" -19 0 16.4666666666667 0.333 0.333 0 26.5 10.4 0 3.2 0 25 10.8 50 102 -0.8 -14.8
"34" "26" 2007-01-12 22.49 "ATL" "" "DET" "W" 6 0 17.7666666666667 0.333 0.333 0 6.4 3.4 0 0 7.9 0 8.3 79 115 1.6 -7.6
"35" "" 2007-01-15 22.5 "ATL" "" "BOS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "27" 2007-01-17 22.51 "ATL" "@" "MIN" "W" 17 0 2.55 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -8.3
"37" "28" 2007-01-19 22.51 "ATL" "" "CHA" "L" -21 0 4.36666666666667 NA NA 0 28.2 14.1 0 0 0 NA 0 0 112 -0.1 -12.2
"38" "" 2007-01-20 22.52 "ATL" "@" "CHA" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "29" 2007-01-23 22.52 "ATL" "@" "CHI" "L" -8 0 2.86666666666667 NA NA 0 44.1 21.5 50.7 0 24.6 NA 0 203 81 1.7 27.7
"40" "" 2007-01-24 22.53 "ATL" "@" "BOS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "30" 2007-01-26 22.53 "ATL" "@" "ORL" "W" 3 0 2.95 0.266 0 0 0 0 0 0 0 34.7 51.5 39 114 -1.5 -49.5
"42" "31" 2007-01-27 22.53 "ATL" "" "PHI" "L" -15 0 0.733333333333333 NA NA 0 0 0 0 0 0 NA 0 0 124 0 -9
"43" "32" 2007-01-29 22.54 "ATL" "" "ORL" "W" 10 0 0.233333333333333 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -4.6
"44" "33" 2007-01-31 22.55 "ATL" "" "GSW" "W" 21 0 3.06666666666667 1 1 0 0 0 0 0 0 0 13.7 200 110 1.7 9.1
"45" "" 2007-02-02 22.55 "ATL" "" "TOR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2007-02-04 22.56 "ATL" "@" "NJN" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2007-02-05 22.56 "ATL" "" "LAL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2007-02-07 22.56 "ATL" "" "NJN" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2007-02-09 22.57 "ATL" "@" "PHO" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2007-02-11 22.58 "ATL" "@" "GSW" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "34" 2007-02-12 22.58 "ATL" "@" "UTA" "L" -26 0 4.98333333333333 0.568 NA 0 26 11.5 0 0 16.3 53.2 18.7 53 109 -0.2 -13.3
"52" "" 2007-02-14 22.58 "ATL" "@" "LAC" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "35" 2007-02-20 22.6 "ATL" "@" "CHI" "L" -25 0 3.55 NA NA 0 0 0 0 0 0 NA 0 0 123 -0.4 -13.3
"54" "36" 2007-02-21 22.6 "ATL" "" "SAS" "L" -7 0 1.78333333333333 0 0 0 0 0 0 0 40.8 0 24.2 0 88 0 -5.9
"55" "" 2007-02-23 22.61 "ATL" "" "HOU" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
