"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2015-10-28 19.47 "MIN" "@" "LAL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2015-10-30 19.47 "MIN" "@" "DEN" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2015-11-02 19.48 "MIN" "" "POR" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2015-11-05 19.49 "MIN" "" "MIA" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2015-11-07 19.5 "MIN" "@" "CHI" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2015-11-09 19.5 "MIN" "@" "ATL" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "1" 2015-11-10 19.5 "MIN" "" "CHO" "L" -9 0 12.5166666666667 0.102 0 0 9.1 4.7 10.7 3.9 0 0 17 38 101 -0.6 -12.9
"8" "2" 2015-11-12 19.51 "MIN" "" "GSW" "L" -13 0 1.18333333333333 0 0 0 0 0 0 0 0 0 35 0 135 -0.7 -40.4
"9" "" 2015-11-13 19.51 "MIN" "@" "IND" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2015-11-15 19.52 "MIN" "" "MEM" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2015-11-17 19.52 "MIN" "@" "MIA" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2015-11-18 19.53 "MIN" "@" "ORL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2015-11-20 19.53 "MIN" "" "DET" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2015-11-23 19.54 "MIN" "" "PHI" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2015-11-25 19.55 "MIN" "" "ATL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2015-11-27 19.55 "MIN" "@" "SAC" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2015-11-29 19.56 "MIN" "@" "LAC" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2015-12-01 19.56 "MIN" "" "ORL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2015-12-05 19.57 "MIN" "" "POR" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2015-12-07 19.58 "MIN" "" "LAC" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2015-12-09 19.58 "MIN" "" "LAL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2015-12-11 19.59 "MIN" "@" "DEN" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2015-12-13 19.59 "MIN" "@" "PHO" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2015-12-15 19.6 "MIN" "" "DEN" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2015-12-16 19.6 "MIN" "@" "NYK" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2015-12-18 19.61 "MIN" "" "SAC" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2015-12-20 19.61 "MIN" "@" "BRK" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2015-12-21 19.62 "MIN" "@" "BOS" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "3" 2015-12-23 19.62 "MIN" "" "SAS" "L" -25 0 19.8166666666667 0.429 0.429 0 6.5 3.1 21.3 5.6 0 12.5 20.2 82 117 5 0.5
"30" "4" 2015-12-26 19.63 "MIN" "" "IND" "L" -14 0 11.4 0 0 0 37.2 17.5 12 0 7.8 0 4.1 51 106 1.2 -4.2
"31" "5" 2015-12-28 19.64 "MIN" "@" "SAS" "L" -6 0 11.4333333333333 0.5 0.5 0 0 0 24.1 0 0 60 19.5 51 114 -1.4 -16.8
"32" "6" 2015-12-30 19.64 "MIN" "" "UTA" "W" 14 0 12.25 0.625 0.625 0 8 4.3 27.8 4.5 0 20 19.8 107 92 4.3 3.7
"33" "7" 2015-12-31 19.64 "MIN" "@" "DET" "L" -25 0 13.15 0.5 0.5 0 43.5 20.7 52.7 0 0 16.7 20 99 111 5.2 0.9
"34" "8" 2016-01-02 19.65 "MIN" "" "MIL" "L" -10 0 14.5 0.41 0.333 18.7 7.9 13.9 25.1 0 0 12 24.9 97 115 5 -0.2
"35" "9" 2016-01-04 19.65 "MIN" "@" "PHI" "L" -10 0 1.78333333333333 1 1 0 0 0 0 0 0 50 54.1 65 127 0.7 -13
"36" "" 2016-01-06 19.66 "MIN" "" "DEN" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2016-01-08 19.67 "MIN" "" "CLE" "L" -26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2016-01-10 19.67 "MIN" "" "DAL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2016-01-12 19.68 "MIN" "" "OKC" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2016-01-13 19.68 "MIN" "@" "HOU" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2016-01-15 19.68 "MIN" "@" "OKC" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2016-01-17 19.69 "MIN" "" "PHO" "W" 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2016-01-19 19.7 "MIN" "@" "NOP" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2016-01-20 19.7 "MIN" "@" "DAL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2016-01-23 19.71 "MIN" "" "MEM" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2016-01-25 19.71 "MIN" "@" "CLE" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2016-01-27 19.72 "MIN" "" "OKC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2016-01-29 19.72 "MIN" "@" "UTA" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2016-01-31 19.73 "MIN" "@" "POR" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2016-02-02 19.73 "MIN" "@" "LAL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2016-02-03 19.74 "MIN" "@" "LAC" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2016-02-06 19.75 "MIN" "" "CHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "10" 2016-02-08 19.75 "MIN" "" "NOP" "L" -14 0 12 0.276 0.2 0 25 13.2 62.5 0 0 0 20.1 95 121 4.3 -2.8
"54" "" 2016-02-10 19.76 "MIN" "" "TOR" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "11" 2016-02-19 19.78 "MIN" "@" "MEM" "L" -5 0 13.6833333333333 0.644 0.5 0 0 0 25.5 0 0 20.5 15.8 119 123 3.3 -3.2
"56" "" 2016-02-20 19.78 "MIN" "" "NYK" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "12" 2016-02-22 19.79 "MIN" "" "BOS" "W" 2 0 15.9833333333333 0.643 0.643 7 6.5 6.7 9.7 2.9 0 12.5 20.4 122 116 6.6 1
"58" "13" 2016-02-24 19.79 "MIN" "@" "TOR" "L" -9 0 11.8 0.515 0.333 0 0 0 37.1 4.5 0 0 15.2 140 125 5 4.4
"59" "14" 2016-02-27 19.8 "MIN" "@" "NOP" "W" 2 0 12.5 0.717 0.75 9.1 17.5 13.4 33.6 0 0 17 20.9 130 115 7 6.9
"60" "15" 2016-02-28 19.81 "MIN" "@" "DAL" "L" -27 0 23.1166666666667 0.371 0.333 0 16.4 6.5 41.7 4.3 0 0 16.2 117 127 8.6 4.2
"61" "16" 2016-03-02 19.81 "MIN" "" "WAS" "L" -6 0 10.1 0.375 0.375 0 0 0 0 0 0 20 21.8 61 111 -0.4 -11.9
"62" "17" 2016-03-04 19.82 "MIN" "@" "MIL" "L" -15 0 24.0833333333333 0.333 0.333 4.6 21.5 12.5 24.9 4 0 40 8.4 87 112 5.7 -1.4
"63" "18" 2016-03-05 19.82 "MIN" "" "BRK" "W" 14 0 15.7833333333333 0.827 0.8 0 7.1 4.5 14.2 0 0 15.5 20.1 138 130 6.2 -5.4
"64" "19" 2016-03-07 19.83 "MIN" "@" "CHO" "L" -5 0 13.65 0.333 0.333 0 8 4.1 39.6 3.5 0 25 13.3 84 107 3.4 -0.6
"65" "20" 2016-03-08 19.83 "MIN" "" "SAS" "L" -25 0 26.7833333333333 0.714 0.714 0 0 0 37.3 0 0 0 12.3 155 131 10.5 6.2
"66" "21" 2016-03-11 19.84 "MIN" "@" "OKC" "W" 3 0 12.0833333333333 0.357 0.357 0 0 0 13.7 0 0 0 25.9 76 108 1.6 -6.3
"67" "22" 2016-03-14 19.85 "MIN" "@" "PHO" "L" -3 0 11.5666666666667 0 0 0 8.5 4.5 11.2 4 0 40 18.3 10 102 -2.9 -20.6
"68" "23" 2016-03-16 19.85 "MIN" "@" "MEM" "W" 6 0 19.1833333333333 0.753 0.75 0 0 0 38.5 2.8 6.3 23.1 22.1 132 124 11.5 9.4
"69" "24" 2016-03-18 19.86 "MIN" "@" "HOU" "L" -5 0 15.6333333333333 0.25 0.25 0 16.6 8 30.8 0 0 0 11.4 98 130 2.6 -10.5
"70" "25" 2016-03-21 19.87 "MIN" "" "GSW" "L" -5 0 15.15 0 0 0 0 0 0 0 0 33.3 8.6 0 120 -3.2 -19
"71" "26" 2016-03-23 19.87 "MIN" "" "SAC" "W" 9 0 21.6333333333333 0.255 0.2 0 0 0 25.9 6.6 0 25.4 15.7 72 98 3.6 -3
"72" "27" 2016-03-25 19.88 "MIN" "@" "WAS" "W" 3 0 13.5166666666667 0.581 0.5 0 0 0 67.5 7.9 0 12.7 28.3 128 109 9.4 12.2
"73" "28" 2016-03-26 19.88 "MIN" "" "UTA" "L" -9 0 17.4333333333333 0.457 0.286 0 14.1 6.4 20.8 3.1 0 18.6 28.9 84 103 4.5 -4.2
"74" "29" 2016-03-28 19.88 "MIN" "" "PHO" "W" 5 0 13.7666666666667 0.387 0.333 0 0 0 18.6 6.7 0 34 17.6 68 104 2.3 -4.3
