"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1960-11-05 24.35 "DET" "" "PHW" "L" -7 NA NA 0.41 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1960-11-23 24.4 "DET" "" "SYR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1960-11-25 24.41 "DET" "" "LAL" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1960-11-29 24.42 "DET" "@" "NYK" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1960-11-30 24.42 "DET" "" "BOS" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1960-12-04 24.43 "DET" "" "CIN" "W" 1 NA NA 0.513 0.545 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1960-12-06 24.44 "DET" "@" "STL" "L" -36 NA 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1960-12-07 24.44 "DET" "" "STL" "W" 30 NA 24 0.364 0.364 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1960-12-10 24.45 "DET" "" "SYR" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1960-12-16 24.47 "DET" "" "NYK" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1960-12-20 24.48 "DET" "" "LAL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1960-12-24 24.49 "DET" "@" "BOS" "L" -44 NA 27 0.255 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1960-12-29 24.5 "DET" "" "STL" "W" 23 NA NA 0.387 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1961-01-01 24.51 "DET" "" "LAL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1961-01-02 24.51 "DET" "" "LAL" "L" -10 NA NA 0.41 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1961-01-03 24.52 "DET" "" "PHW" "L" -3 NA NA 0.493 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1961-01-05 24.52 "DET" "" "NYK" "L" -2 NA NA 0.291 0.222 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1961-01-06 24.52 "DET" "" "BOS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1961-01-08 24.53 "DET" "@" "SYR" "L" -23 NA 17 0.46 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1961-01-10 24.53 "DET" "" "BOS" "L" -20 NA 24 0.23 0.154 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1961-01-14 24.55 "DET" "@" "STL" "L" -22 NA NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1961-01-15 24.55 "DET" "" "STL" "W" 15 NA 7 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1961-01-21 24.56 "DET" "" "CIN" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1961-01-25 24.58 "DET" "" "CIN" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1961-01-27 24.58 "DET" "@" "BOS" "L" -29 NA 15 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1961-01-29 24.59 "DET" "@" "LAL" "L" -24 NA NA 0.539 0.375 NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1961-02-01 24.59 "DET" "" "STL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1961-02-11 24.62 "DET" "" "SYR" "L" -30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1961-02-12 24.62 "DET" "@" "SYR" "L" -26 NA 10 0.258 0 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1961-02-16 24.64 "DET" "" "LAL" "L" -23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1961-03-01 24.67 "DET" "@" "CIN" "L" -15 NA NA 0.621 0.583 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1961-03-05 24.68 "DET" "" "STL" "L" -5 NA 14 0.184 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1961-03-08 24.69 "DET" "" "LAL" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1961-03-09 24.69 "DET" "" "BOS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1961-03-10 24.7 "DET" "" "PHW" "W" 17 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1961-10-21 25.31 "DET" "@" "BOS" "L" -35 NA 22 0.235 0.235 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1961-10-25 25.32 "DET" "" "LAL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1961-10-27 25.33 "DET" "@" "LAL" "L" -10 NA NA 0.375 0.375 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1961-10-28 25.33 "DET" "@" "LAL" "L" -9 NA NA 0.697 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1961-11-01 25.34 "DET" "" "NYK" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1961-11-04 25.35 "DET" "@" "PHW" "L" -3 NA NA 0.725 1 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1961-11-08 25.36 "DET" "" "PHW" "L" -4 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1961-11-09 25.36 "DET" "" "BOS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1961-11-10 25.37 "DET" "@" "NYK" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1961-11-11 25.37 "DET" "@" "STL" "L" -13 NA NA 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1961-11-18 25.39 "DET" "" "CHP" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1961-11-19 25.39 "DET" "" "CIN" "L" -16 NA NA 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1961-11-21 25.4 "DET" "" "LAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1961-11-24 25.41 "DET" "" "STL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1961-11-25 25.41 "DET" "" "LAL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1961-11-26 25.41 "DET" "" "BOS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1961-11-28 25.42 "DET" "" "BOS" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1961-12-01 25.42 "DET" "@" "STL" "L" -3 NA 22 0.222 0.222 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1961-12-02 25.43 "DET" "" "STL" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1961-12-06 25.44 "DET" "" "NYK" "W" 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1961-12-08 25.44 "DET" "" "CHP" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1961-12-09 25.45 "DET" "" "LAL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1961-12-12 25.45 "DET" "" "PHW" "L" -23 NA NA 0.174 0 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1961-12-16 25.47 "DET" "" "CIN" "L" -11 NA NA 0.388 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1961-12-19 25.47 "DET" "" "SYR" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1961-12-25 25.49 "DET" "" "CHP" "L" -21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1961-12-27 25.5 "DET" "" "CHP" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1961-12-29 25.5 "DET" "@" "CIN" "W" 15 NA NA 0.41 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1961-12-30 25.5 "DET" "@" "SYR" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1962-01-01 25.51 "DET" "" "STL" "L" -6 NA 16 0.325 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1962-01-02 25.51 "DET" "@" "NYK" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1962-01-03 25.52 "DET" "" "BOS" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1962-01-05 25.52 "DET" "" "SYR" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1962-01-06 25.52 "DET" "" "NYK" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1962-01-09 25.53 "DET" "" "STL" "W" 9 NA 21 0.722 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1962-01-10 25.53 "DET" "" "PHW" "L" -3 NA NA 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1962-01-12 25.54 "DET" "@" "CHP" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1962-01-13 25.54 "DET" "" "CIN" "L" -7 NA NA 0.556 0.556 NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1962-01-14 25.55 "DET" "" "LAL" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1962-01-17 25.55 "DET" "" "BOS" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1962-01-19 25.56 "DET" "" "PHW" "L" -11 NA NA 0.547 0.545 NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1962-01-20 25.56 "DET" "@" "PHW" "L" -16 NA NA 0.133 0.1 NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1962-01-21 25.56 "DET" "@" "BOS" "W" 4 NA 13 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1962-01-22 25.57 "DET" "" "CIN" "L" -9 NA NA 0.519 0.429 NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1962-01-24 25.57 "DET" "" "SYR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1962-01-25 25.58 "DET" "" "SYR" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1962-01-27 25.58 "DET" "" "NYK" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1962-01-28 25.58 "DET" "@" "STL" "L" -13 NA 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1962-01-31 25.59 "DET" "" "LAL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1962-02-02 25.6 "DET" "@" "CHP" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1962-02-07 25.61 "DET" "" "CIN" "W" 6 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1962-02-11 25.62 "DET" "@" "SYR" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1962-02-16 25.64 "DET" "" "LAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1962-02-17 25.64 "DET" "@" "CIN" "W" 10 NA NA 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1962-02-21 25.65 "DET" "@" "STL" "W" 3 NA 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1962-02-23 25.65 "DET" "" "CIN" "L" -14 NA NA 0.555 0.571 NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1962-02-25 25.66 "DET" "@" "LAL" "L" -29 NA NA 0.273 0.273 NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1962-02-27 25.67 "DET" "@" "LAL" "L" -7 NA NA 1.031 1 NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1962-02-28 25.67 "DET" "" "NYK" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1962-03-02 25.67 "DET" "" "CIN" "L" -8 NA NA 0.551 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"61" "61" 1962-03-03 25.68 "DET" "" "SYR" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "62" 1962-03-04 25.68 "DET" "" "CHP" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "63" 1962-03-07 25.69 "DET" "" "NYK" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "64" 1962-03-09 25.69 "DET" "" "BOS" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "65" 1962-03-10 25.7 "DET" "@" "SYR" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "66" 1962-03-11 25.7 "DET" "@" "STL" "L" -3 NA 12 0.338 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"67" "67" 1962-03-12 25.7 "DET" "" "CHP" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "68" 1962-03-14 25.71 "DET" "" "SYR" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1962-10-16 26.3 "DET" "" "LAL" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1962-10-20 26.31 "DET" "@" "STL" "L" -9 NA 28 0.468 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1962-10-23 26.32 "DET" "@" "SFW" "L" -27 NA 19 0.389 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1962-10-26 26.33 "DET" "@" "SFW" "L" -1 NA 41 0.578 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1962-10-27 26.33 "DET" "@" "LAL" "L" -16 NA NA 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1962-10-31 26.34 "DET" "" "BOS" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1962-11-03 26.35 "DET" "@" "BOS" "L" -11 NA 36 0.458 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1962-11-08 26.36 "DET" "" "CIN" "W" 2 NA NA 0.535 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1962-11-10 26.37 "DET" "@" "CIN" "L" -11 NA NA 0.601 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1962-11-11 26.37 "DET" "@" "STL" "L" -17 NA 19 0.37 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1962-11-13 26.38 "DET" "" "CIN" "L" -18 NA NA 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1962-11-14 26.38 "DET" "" "SFW" "W" 8 NA 20 0.442 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1962-11-17 26.39 "DET" "" "NYK" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1962-11-18 26.39 "DET" "" "LAL" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1962-11-21 26.4 "DET" "" "SYR" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1962-11-22 26.4 "DET" "@" "STL" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1962-11-23 26.4 "DET" "" "STL" "L" -28 NA 15 0.155 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1962-11-24 26.41 "DET" "@" "CHZ" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1962-11-27 26.41 "DET" "" "BOS" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1962-11-28 26.42 "DET" "" "NYK" "W" 42 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1962-12-01 26.42 "DET" "" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1962-12-04 26.43 "DET" "" "SYR" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1962-12-05 26.44 "DET" "" "BOS" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1962-12-07 26.44 "DET" "" "SFW" "W" 7 NA 5 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1962-12-08 26.44 "DET" "@" "NYK" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1962-12-09 26.45 "DET" "" "STL" "W" 4 NA 12 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1962-12-10 26.45 "DET" "" "CHZ" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1962-12-12 26.45 "DET" "" "NYK" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1962-12-13 26.46 "DET" "" "BOS" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1962-12-15 26.46 "DET" "" "STL" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1962-12-16 26.47 "DET" "" "CHZ" "L" -4 NA 23 0.425 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1962-12-18 26.47 "DET" "" "CHZ" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1962-12-19 26.47 "DET" "" "CHZ" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1962-12-21 26.48 "DET" "" "SFW" "L" -9 NA 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1962-12-22 26.48 "DET" "" "CHZ" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1962-12-25 26.49 "DET" "@" "CIN" "L" -11 NA NA 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1962-12-26 26.49 "DET" "@" "CHZ" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1962-12-30 26.5 "DET" "" "LAL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1963-01-02 26.51 "DET" "" "CIN" "W" 20 NA NA 0.44 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1963-01-04 26.52 "DET" "" "STL" "L" -21 NA NA 0.417 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1963-01-05 26.52 "DET" "" "STL" "W" 2 NA 17 0.623 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1963-01-06 26.52 "DET" "@" "NYK" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1963-01-08 26.53 "DET" "" "NYK" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1963-01-09 26.53 "DET" "" "LAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1963-01-11 26.54 "DET" "" "CHZ" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1963-01-12 26.54 "DET" "" "SYR" "W" 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1963-01-13 26.54 "DET" "@" "SYR" "L" -34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1963-01-21 26.56 "DET" "@" "LAL" "L" -30 NA NA 0.379 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1963-01-22 26.57 "DET" "@" "SFW" "W" 8 NA 23 0.477 NA NA NA NA NA NA NA NA NA NA NA NA NA
