"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1980-10-10 24.64 "CLE" "@" "BOS" "L" -27 0 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1980-10-11 24.64 "CLE" "" "NJN" "L" -3 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -2.4 NA
"3" "3" 1980-10-14 24.65 "CLE" "" "DET" "W" 8 0 5 NA NA NA NA NA NA NA NA NA NA NA NA 0.5 NA
"4" "4" 1980-10-16 24.66 "CLE" "" "WSB" "W" 2 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -2.2 NA
"5" "5" 1980-10-17 24.66 "CLE" "@" "CHI" "L" -19 0 5 0 0 NA NA NA NA NA NA NA NA NA NA -1.1 NA
"6" "6" 1980-10-21 24.67 "CLE" "@" "MIL" "L" -20 0 4 0.798 1 NA NA NA NA NA NA NA NA NA NA 2.3 NA
"7" "7" 1980-10-31 24.7 "CLE" "@" "LAL" "L" -9 0 5 0.75 0.75 NA NA NA NA NA NA NA NA NA NA 6.7 NA
"8" "8" 1981-01-14 24.9 "CLE" "@" "BOS" "L" -7 0 4 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 1.3 NA
"9" "9" 1981-01-16 24.91 "CLE" "@" "PHI" "L" -18 0 8 0.571 0.571 NA NA NA NA NA NA NA NA NA NA 5.5 NA
"10" "10" 1981-01-17 24.91 "CLE" "@" "CHI" "W" 12 0 6 0 0 NA NA NA NA NA NA NA NA NA NA -2.8 NA
"11" "11" 1981-01-22 24.93 "CLE" "" "NJN" "W" 14 0 8 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 4.8 NA
"12" "12" 1981-01-23 24.93 "CLE" "@" "ATL" "W" 8 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -0.4 NA
"13" "13" 1981-01-24 24.93 "CLE" "@" "DET" "L" -23 0 15 0.361 0.429 NA NA NA NA NA NA NA NA NA NA 2.3 NA
"14" "14" 1981-01-29 24.95 "CLE" "" "PHO" "W" 4 0 2 NA NA NA NA NA NA NA NA NA NA NA NA -0.3 NA
"15" "15" 1981-02-04 24.96 "CLE" "" "CHI" "L" -13 0 1 NA NA NA NA NA NA NA NA NA NA NA NA 0.7 NA
"16" "16" 1981-02-07 24.97 "CLE" "@" "IND" "L" -3 0 1 NA NA NA NA NA NA NA NA NA NA NA NA -1.8 NA
"17" "17" 1981-03-04 25.04 "CLE" "@" "PHO" "L" -20 0 5 0.773 0.667 NA NA NA NA NA NA NA NA NA NA 4.7 NA
"18" "18" 1981-03-06 25.04 "CLE" "@" "SDC" "L" -15 0 11 0.347 0.333 NA NA NA NA NA NA NA NA NA NA 1.7 NA
"19" "19" 1981-03-09 25.05 "CLE" "@" "MIL" "L" -18 0 3 NA NA NA NA NA NA NA NA NA NA NA NA 0.6 NA
"20" "20" 1981-03-13 25.06 "CLE" "" "NJN" "L" -15 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1981-03-14 25.06 "CLE" "@" "ATL" "W" 2 0 11 0.34 0.2 NA NA NA NA NA NA NA NA NA NA 2 NA
"22" "22" 1981-03-15 25.07 "CLE" "@" "WSB" "W" 1 0 10 0.615 0.5 NA NA NA NA NA NA NA NA NA NA 8.2 NA
"23" "23" 1981-03-17 25.07 "CLE" "" "ATL" "W" 15 0 10 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1981-03-19 25.08 "CLE" "" "CHI" "L" -5 0 6 0 0 NA NA NA NA NA NA NA NA NA NA -1.8 NA
"25" "25" 1981-03-21 25.08 "CLE" "@" "NYK" "L" -14 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1981-03-22 25.08 "CLE" "@" "IND" "L" -6 0 14 0.266 0 NA NA NA NA NA NA NA NA NA NA -0.6 NA
"27" "27" 1981-03-24 25.09 "CLE" "@" "CHI" "L" -13 0 10 0.75 0.75 NA NA NA NA NA NA NA NA NA NA 4.7 NA
"28" "28" 1981-03-26 25.1 "CLE" "@" "MIL" "L" -28 0 16 0.338 0.25 NA NA NA NA NA NA NA NA NA NA 2.9 NA
"29" "29" 1981-03-27 25.1 "CLE" "" "PHI" "L" -21 0 15 0.167 0.167 NA NA NA NA NA NA NA NA NA NA 0.2 NA
"30" "30" 1981-03-29 25.1 "CLE" "@" "WSB" "L" -35 0 13 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 1.5 NA
