"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1957-01-01 23.3 "NYK" "@" "SYR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1957-01-03 23.31 "NYK" "" "SYR" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1957-01-05 23.32 "NYK" "@" "FTW" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1957-01-10 23.33 "NYK" "" "STL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1957-01-12 23.33 "NYK" "@" "PHW" "L" -34 NA NA 0.462 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1957-01-20 23.36 "NYK" "@" "BOS" "L" -36 NA 28 0.601 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1957-01-23 23.36 "NYK" "" "PHW" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1957-01-24 23.37 "NYK" "@" "SYR" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1957-01-26 23.37 "NYK" "" "MNL" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1957-10-23 24.11 "NYK" "" "STL" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1957-10-26 24.12 "NYK" "" "BOS" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1957-11-03 24.14 "NYK" "" "PHW" "W" 18 NA NA 0.336 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1957-11-13 24.17 "NYK" "@" "MNL" "L" -18 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1957-11-16 24.18 "NYK" "" "DET" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1957-11-19 24.19 "NYK" "@" "STL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1957-11-21 24.19 "NYK" "" "MNL" "W" 1 NA NA 0.475 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1957-11-26 24.21 "NYK" "" "STL" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1957-11-30 24.22 "NYK" "@" "PHW" "L" -28 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
