"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2003-10-30 21.51 "LAC" "@" "SEA" "L" -9 0 5.98333333333333 1 1 19 13.8 16 0 8.4 0 66.7 20.1 57 97 0.5 -13.1
"2" "2" 2003-10-31 21.51 "LAC" "" "SEA" "L" -19 0 19.5666666666667 0.371 0.333 15.3 18.9 16.9 16.7 0 4 17.5 23.4 86 127 3 -11.6
"3" "3" 2003-11-07 21.53 "LAC" "@" "DEN" "W" 2 0 1.41666666666667 NA NA 0 0 0 100 0 0 100 42.6 39 98 -1.5 -42.8
"4" "4" 2003-11-11 21.54 "LAC" "" "ATL" "W" 12 0 2.88333333333333 0 0 34 0 21.3 0 0 0 66.7 40.1 17 120 -2 -53.6
"5" "5" 2003-11-14 21.55 "LAC" "@" "GSW" "W" 6 0 9.1 0.694 0.5 0 9.9 5.9 0 5.7 0 41 25.4 81 96 1.5 -6.9
"6" "6" 2003-11-15 21.55 "LAC" "" "ORL" "W" 3 0 31.8833333333333 0.45 0.375 9.4 23.1 15.5 15.3 0 4.4 25.3 16.7 90 101 6 -5
"7" "7" 2003-11-18 21.56 "LAC" "@" "CLE" "L" -8 1 13.4166666666667 0.171 0 17.1 16.7 17 0 0 9.7 0 24.4 64 103 0.2 -15.7
"8" "8" 2003-11-19 21.56 "LAC" "@" "IND" "L" -13 0 13.45 0.773 0.667 0 37.3 18.8 0 0 5.1 34 20.5 97 96 3.7 -2
"9" "9" 2003-11-22 21.57 "LAC" "@" "MIN" "L" -12 0 30.4 0.773 0.833 11.3 58.1 31.8 12.3 0 0 34 18.4 105 117 11.3 0.6
"10" "10" 2003-11-24 21.58 "LAC" "" "HOU" "L" -15 0 18.7666666666667 0.205 0.25 0 15.2 6.4 0 2.9 0 29.1 16.6 30 110 -3.2 -17.3
"11" "11" 2003-11-27 21.58 "LAC" "" "NJN" "L" -6 0 19.9666666666667 0.685 0.571 9.5 14 11.8 0 0 0 10.2 19 138 112 9.2 3.7
"12" "12" 2003-11-29 21.59 "LAC" "" "DEN" "L" -12 0 11.8333333333333 0.773 0.667 8.9 9.5 9.2 0 0 0 20.5 17.5 128 111 3.1 -4.2
"13" "13" 2003-12-01 21.59 "LAC" "" "SAS" "W" 8 0 31.8666666666667 0.48 0.462 10.5 23.7 18 6.8 1.6 4.1 20.4 26.5 88 81 9 0.3
