"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1954-10-31 22.29 "SYR" "" "MNL" "L" -3 NA 17 0.525 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1954-11-06 22.31 "SYR" "@" "BOS" "L" -23 NA 15 0.252 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1954-11-07 22.31 "SYR" "" "MLH" "W" 17 NA 20 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1954-11-11 22.32 "SYR" "@" "FTW" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1954-11-13 22.33 "SYR" "@" "MLH" "L" -13 NA 20 0.58 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1954-11-14 22.33 "SYR" "@" "MNL" "L" -7 NA 20 0.529 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1954-11-16 22.33 "SYR" "" "PHW" "W" 1 NA 13 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1954-11-18 22.34 "SYR" "" "FTW" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1954-11-20 22.35 "SYR" "@" "ROC" "W" 1 NA 29 0.493 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1954-11-21 22.35 "SYR" "" "BOS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1954-11-25 22.36 "SYR" "" "MLH" "W" 6 NA 15 0.421 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1954-11-27 22.36 "SYR" "@" "NYK" "W" 6 NA 6 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1954-11-28 22.37 "SYR" "" "NYK" "W" 2 NA 11 0.376 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1954-12-01 22.38 "SYR" "" "NYK" "L" -2 NA 9 0.301 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1954-12-02 22.38 "SYR" "" "ROC" "W" 4 NA 11 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1954-12-04 22.38 "SYR" "@" "PHW" "L" -6 NA 17 0.415 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1954-12-05 22.39 "SYR" "" "PHW" "W" 17 NA 4 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1954-12-07 22.39 "SYR" "" "PHW" "W" 7 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1954-12-08 22.39 "SYR" "@" "ROC" "L" -27 NA 28 0.514 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1954-12-09 22.4 "SYR" "" "BOS" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1954-12-11 22.4 "SYR" "@" "BOS" "L" -4 NA 15 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1954-12-12 22.41 "SYR" "" "PHW" "L" -9 NA 7 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1954-12-14 22.41 "SYR" "@" "NYK" "W" 9 NA 16 0.286 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1954-12-15 22.41 "SYR" "" "NYK" "L" -7 NA 13 0.376 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1954-12-18 22.42 "SYR" "@" "MNL" "L" -3 NA 17 0.405 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1954-12-19 22.42 "SYR" "" "MNL" "W" 15 NA 14 0.353 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1954-12-25 22.44 "SYR" "@" "NYK" "L" -8 NA 8 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1954-12-26 22.44 "SYR" "" "NYK" "W" 5 NA 8 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
