"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1994-11-05 21.62 "DAL" "" "NJN" "W" 9 1 35 0.396 0.3 2.9 25.5 13.6 43.2 4.3 0 19.2 17.6 101 99 12.6 1.8
"2" "2" 1994-11-08 21.63 "DAL" "" "DEN" "L" -8 1 38 0.201 0.167 7.5 25.9 14.3 20.8 2.7 2 0 12.3 94 115 8.3 -5.5
"3" "3" 1994-11-11 21.64 "DAL" "@" "PHI" "W" 7 1 41 0.745 0.682 9.5 16 13 17.8 2.4 0 19 15.9 135 104 20.1 4.7
"4" "4" 1994-11-12 21.64 "DAL" "@" "CHI" "W" 4 1 41 0.58 0.5 3.2 15.9 10.6 26.8 1.2 0 34 11.6 110 110 10.5 0
"5" "5" 1994-11-15 21.65 "DAL" "@" "MIA" "L" -13 1 33 0.227 0.227 3.3 4.5 3.8 20.7 3.2 2.3 8.3 15.3 76 124 3.5 -5.3
"6" "6" 1994-11-17 21.65 "DAL" "" "SAC" "W" 2 1 33 0.311 0.25 14.2 3.9 9.3 13.4 3.2 0 13.4 19.1 88 103 5.2 -3.6
"7" "7" 1994-11-19 21.66 "DAL" "" "CHI" "L" -26 1 26 0.5 0.5 0 12.9 6 31.5 0 0 33.3 10.1 86 122 4.4 -7.9
"8" "8" 1994-11-23 21.67 "DAL" "@" "LAL" "L" -12 1 33 0.533 0.556 8.7 7.9 8.4 24.4 3 0 16.2 14.1 116 118 12.4 1.9
"9" "9" 1994-11-25 21.68 "DAL" "" "POR" "W" 10 1 37 0.752 0.667 2.7 4.4 3.6 40.8 5.5 0 31.6 14.5 122 94 16.7 8.7
"10" "10" 1994-11-26 21.68 "DAL" "@" "DEN" "W" 1 1 42 0.416 0.308 5 18.5 11.1 19 2.4 0 16.1 18 100 115 11.1 -3.1
"11" "11" 1994-11-29 21.69 "DAL" "" "MIN" "W" 1 1 38 0.41 0.222 14 8.4 11.2 19.8 2.9 0 13 18.2 103 95 9.9 -0.6
"12" "12" 1994-12-01 21.69 "DAL" "" "DEN" "L" -9 1 33 0.309 0.3 4.5 10.1 6.8 28.4 6 0 20.9 16.4 69 85 6.8 1.2
"13" "13" 1994-12-03 21.7 "DAL" "" "UTA" "L" -25 1 32 0.15 0.15 7.9 4.5 6.3 17 3.3 0 28.6 20.1 42 121 -3 -14.5
"14" "14" 1994-12-06 21.71 "DAL" "@" "SAS" "W" 3 1 45 0.465 0.333 4.4 14 8.7 33 5.4 1.4 15.7 10.9 131 104 19.8 8.2
"15" "15" 1994-12-08 21.71 "DAL" "" "WSB" "L" -3 1 44 0.396 0.385 4.8 10 7.4 32.1 2.3 1.5 6.7 13.8 115 115 15 0.7
"16" "16" 1994-12-10 21.72 "DAL" "" "CHH" "W" 13 1 37 0.388 0.333 5.4 16.6 10.4 41.7 3 0 38.3 12.2 96 96 11.6 3.2
"17" "17" 1994-12-13 21.73 "DAL" "" "LAL" "L" -7 1 38 0.25 0.25 3.3 7.9 5.9 23.2 5.1 0 33.3 13.2 75 112 6 -5.1
"18" "18" 1994-12-15 21.73 "DAL" "" "BOS" "W" 9 1 36 0.46 0.4 8.1 2.9 5.1 31.3 2.8 0 35.5 18.9 95 117 7.3 -5.1
"19" "19" 1994-12-17 21.74 "DAL" "@" "LAC" "W" 19 1 32 0.282 0.25 3.8 13.4 9.4 36.5 1.6 0 31.1 17.4 77 94 4.1 -5.3
"20" "20" 1994-12-20 21.75 "DAL" "@" "GSW" "W" 3 1 40 0.571 0.536 4.6 9 6.5 32.8 1.2 1.7 5.7 16.9 139 112 20 6
"21" "21" 1994-12-22 21.75 "DAL" "@" "SEA" "L" -2 1 33 0.563 0.5 0 4 2.1 39.5 6.2 0 25.3 15.1 114 104 12.4 6.9
"22" "22" 1994-12-23 21.75 "DAL" "@" "POR" "L" -26 1 28 0.34 0.4 3.7 10.3 7.1 24 1.7 2.1 33.8 12.6 63 114 2.8 -6.2
"23" "23" 1994-12-26 21.76 "DAL" "@" "PHO" "L" -26 1 38 0.5 0.5 5.5 16.6 10.5 33.1 4.8 0 42.9 13.9 87 126 11 -3.1
"24" "24" 1994-12-27 21.76 "DAL" "" "PHO" "L" -1 1 42 0.347 0.2 8.8 8.8 8.8 41.8 4.5 1.3 29.4 19.9 95 112 14.2 0.7
"25" "25" 1994-12-30 21.77 "DAL" "" "GSW" "W" 16 1 39 0.324 0.324 11.6 17.2 14.3 27.8 2.4 0 26.1 22.2 81 91 8.2 -5
"26" "26" 1995-01-03 21.78 "DAL" "" "HOU" "L" -12 1 43 0.194 0.167 9.1 7.2 8.4 30.9 5.1 0 24.5 18.7 76 122 6 -5.2
"27" "27" 1995-01-05 21.79 "DAL" "@" "HOU" "L" -9 1 34 0.342 0.214 8.8 3.9 6.7 32.7 4.4 0 31.3 15.1 83 109 6.9 -2.5
"28" "28" 1995-01-06 21.79 "DAL" "" "IND" "W" 11 1 40 0.504 0.464 10.9 11.7 11.3 40.3 5.3 0 11.8 18.2 126 95 20.2 12.1
"29" "29" 1995-01-09 21.8 "DAL" "@" "UTA" "L" -16 1 32 0.618 0.625 5.8 13.6 8.8 43.8 0 0 17.9 24.1 113 118 14.4 5
"30" "30" 1995-01-11 21.81 "DAL" "" "LAC" "W" 5 1 39 0.658 0.625 2.7 12 7.2 45.6 2.7 0 5.9 18.9 147 102 24.3 11.1
"31" "31" 1995-01-12 21.81 "DAL" "@" "DEN" "L" -16 1 29 0.661 0.643 3.9 11 7.6 33.9 3.6 0 26.5 17.3 105 101 11.4 5.5
"32" "32" 1995-01-14 21.81 "DAL" "" "MIA" "L" -7 1 35 0.368 0.313 10.8 21.7 15.4 25.9 1.5 0 8.9 26.9 87 92 9.8 1.8
"33" "33" 1995-01-15 21.82 "DAL" "@" "SAS" "W" 5 1 40 0.563 0.563 2.7 24 13.3 19.9 2.4 0 27.3 11.4 102 100 11.2 0.2
"34" "34" 1995-01-18 21.82 "DAL" "" "ORL" "L" -11 1 32 0.5 0.5 0 30 13.1 21.7 4.9 0 53.8 17.7 59 107 3.8 -7.6
"35" "35" 1995-01-20 21.83 "DAL" "" "NYK" "L" -13 1 30 0.521 0.5 0 4.2 2.2 4.9 0 0 25.8 6.4 86 127 0 -11.9
"36" "36" 1995-01-21 21.83 "DAL" "" "SEA" "L" -26 1 26 0.307 0.25 14.5 9.5 12.3 40.9 0 0 29.1 9.9 95 121 6.8 -1
"37" "37" 1995-01-23 21.84 "DAL" "@" "UTA" "L" -5 1 38 0.705 0.625 0 6.8 3.7 16.6 2.8 0 32 19.3 107 126 10.1 -3.3
"38" "38" 1995-01-24 21.84 "DAL" "@" "SAC" "L" -1 1 46 0.624 0.639 7.1 7.7 7.4 48.2 3.6 1.6 5.1 20.1 139 105 26.9 13.4
"39" "39" 1995-01-27 21.85 "DAL" "" "MIN" "L" -8 1 28 0.237 0.2 0 9.8 4.3 37.2 0 0 24 12.6 77 121 2.2 -9.3
"40" "40" 1995-01-28 21.85 "DAL" "" "SAC" "L" -3 1 37 0.342 0.429 2.8 12.1 7.2 24.8 2.8 0 36.3 16.1 56 96 2.3 -8.8
"41" "41" 1995-02-03 21.87 "DAL" "" "SAS" "L" -11 1 25 0.5 0.5 7.7 8.5 8.1 28.2 2 0 60 8.7 83 120 4.1 -5.8
"42" "42" 1995-02-04 21.87 "DAL" "" "UTA" "W" 21 1 38 0.477 0.4 7.2 7.7 7.5 32.8 1.4 0 26.4 24.1 109 111 10.3 -2.1
"43" "43" 1995-02-07 21.88 "DAL" "" "PHO" "L" -1 1 29 0.511 0.5 3.1 25.5 12.5 30.2 1.8 2.6 21.8 18.4 107 118 10.8 0.7
"44" "44" 1995-02-08 21.88 "DAL" "@" "ORL" "L" -18 1 24 0.25 0.25 8.5 11.4 9.8 16.2 2.2 0 25 14.8 68 117 1.1 -10.2
"45" "45" 1995-02-14 21.9 "DAL" "" "POR" "W" 5 1 31 0.618 0.714 6.6 19.4 13 27.4 5.1 4.5 0 14.4 139 86 17.6 15.6
