"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1981-11-10 21.9 "NJN" "@" "NYK" "L" -12 0 10 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1981-11-11 21.9 "NJN" "" "MIL" "L" -12 0 7 0.644 0.583 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1981-11-13 21.91 "NJN" "@" "BOS" "L" -14 0 11 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1981-11-14 21.91 "NJN" "" "KCK" "W" 11 0 13 0.425 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1981-11-18 21.92 "NJN" "@" "GSW" "L" -14 0 18 0.382 0.353 NA NA NA NA NA NA NA NA NA NA 7.1 NA
"6" "6" 1981-11-20 21.93 "NJN" "@" "POR" "L" -20 0 30 0.23 0.2 NA NA NA NA NA NA NA NA NA NA -2.1 NA
"7" "7" 1981-11-22 21.93 "NJN" "@" "SEA" "L" -17 0 22 0.327 0.25 NA NA NA NA NA NA NA NA NA NA 5.8 NA
"8" "8" 1981-11-24 21.94 "NJN" "@" "HOU" "W" 18 0 14 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1981-11-27 21.95 "NJN" "@" "SAS" "L" -28 0 21 0.508 0.429 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1981-11-28 21.95 "NJN" "@" "DAL" "L" -4 0 26 0.738 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1981-12-02 21.96 "NJN" "" "CLE" "W" 19 0 24 0.685 0.571 NA NA NA NA NA NA NA NA NA NA 12.8 NA
"12" "12" 1981-12-05 21.97 "NJN" "" "PHI" "L" -9 0 12 0.2 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1981-12-09 21.98 "NJN" "@" "BOS" "L" -9 0 22 0.607 0.556 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1981-12-11 21.98 "NJN" "" "DEN" "W" 8 0 21 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 1.1 NA
"15" "15" 1981-12-12 21.99 "NJN" "@" "IND" "L" -13 0 27 0.571 0.571 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1981-12-16 22 "NJN" "" "CHI" "L" -1 0 17 0 0 NA NA NA NA NA NA NA NA NA NA 0.1 NA
"17" "17" 1981-12-18 22 "NJN" "@" "MIL" "W" 12 0 20 0.505 0.455 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1981-12-19 22.01 "NJN" "@" "CLE" "W" 12 0 18 0.87 0.8 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1981-12-23 22.02 "NJN" "" "NYK" "W" 16 0 19 0.563 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1981-12-25 22.02 "NJN" "@" "NYK" "W" 1 0 25 0.545 0.545 NA NA NA NA NA NA NA NA NA NA NA NA
