"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1983-10-29 22.23 "BOS" "@" "CLE" "W" 19 0 2 0.5 0.5 100 0 81.8 0 0 0 33.3 63.3 100 103 1.7 NA
"2" "2" 1983-11-09 22.26 "BOS" "" "SDC" "W" 7 0 1 NA NA 0 0 0 0 0 0 100 40.7 0 126 -1 NA
"3" "3" 1983-11-11 22.27 "BOS" "" "DET" "W" 8 0 1 0 0 0 0 0 0 0 0 0 83 0 119 -1.4 NA
"4" "4" 1983-11-16 22.28 "BOS" "@" "UTA" "L" -13 0 1 NA NA 88.9 0 48 0 0 0 100 38.5 40 128 -0.3 NA
"5" "5" 1983-11-30 22.32 "BOS" "" "SAS" "W" 24 0 7 0.667 0.667 34.3 0 15.9 0 0 0 25 23.4 114 112 1.9 NA
"6" "6" 1983-12-06 22.34 "BOS" "@" "CHI" "W" 13 0 1 NA NA 0 0 0 0 0 0 100 43.3 0 117 -1 NA
"7" "7" 1983-12-09 22.35 "BOS" "" "DEN" "W" 29 0 8 0.568 NA 0 27.9 15.4 0 0 0 53.2 10.4 53 93 -1 NA
"8" "8" 1983-12-23 22.38 "BOS" "" "NJN" "W" 12 0 1 0 0 0 98 61.5 0 0 0 0 43 0 76 -0.4 NA
"9" "9" 1983-12-27 22.39 "BOS" "@" "SAS" "W" 15 0 3 0.5 0.5 0 0 0 0 0 0 0 26.9 103 109 0.6 NA
"10" "10" 1983-12-29 22.4 "BOS" "@" "HOU" "L" -13 0 2 0 0 0 55.8 28.9 0 0 0 0 21.5 0 107 -0.4 NA
"11" "11" 1984-01-06 22.42 "BOS" "" "CLE" "W" 18 0 3 0.532 1 0 36.4 19.5 0 0 0 0 27 74 97 0.8 NA
"12" "12" 1984-01-11 22.44 "BOS" "" "GSW" "W" 23 0 4 0.6 0.6 100 30 80 46.2 0 0 16.7 59.4 131 113 6.5 NA
"13" "13" 1984-01-15 22.45 "BOS" "@" "MIL" "L" -19 0 6 1 1 30.2 19.5 25.5 33.3 0 0 0 6.8 201 113 3.3 NA
"14" "14" 1984-01-22 22.47 "BOS" "" "MIL" "W" 11 0 1 0 0 0 100 49.5 0 0 0 0 40 0 85 -0.4 NA
"15" "15" 1984-01-24 22.47 "BOS" "@" "CLE" "W" 21 0 9 0.266 0 15.7 10.9 12.9 0 0 0 21 21.8 60 95 -0.6 NA
"16" "16" 1984-01-31 22.49 "BOS" "@" "CHI" "W" 23 0 5 0.347 0.5 0 35.6 18.1 0 0 0 25.8 28.9 45 75 -1.4 NA
"17" "17" 1984-02-03 22.5 "BOS" "" "IND" "W" 19 0 12 0.342 0.429 8.9 9.5 9.2 20.5 0 0 0 26.9 89 99 2.3 NA
"18" "18" 1984-02-10 22.52 "BOS" "" "HOU" "W" 13 0 2 0 0 0 44.4 25.5 0 0 0 50 76.4 0 88 -3.1 NA
"19" "19" 1984-02-12 22.52 "BOS" "" "PHI" "L" -18 0 5 0.667 0.667 33.7 22.3 28.8 0 0 0 25 29.6 101 110 2.6 NA
"20" "20" 1984-02-17 22.54 "BOS" "@" "SEA" "W" 11 0 1 NA NA 0 0 0 0 0 0 NA 0 0 109 0 NA
"21" "21" 1984-03-04 22.58 "BOS" "" "SEA" "W" 24 0 5 0.563 0.5 19.2 19.6 19.4 0 0 11.2 0 32.4 136 84 4.7 NA
"22" "22" 1984-03-06 22.59 "BOS" "@" "WSB" "W" 23 0 3 0.5 0.5 0 40 21.3 0 0 20.8 0 30.1 99 71 1.6 NA
"23" "23" 1984-03-17 22.62 "BOS" "@" "ATL" "W" 15 0 1 0 0 0 100 100 0 0 0 0 47.8 0 32 -0.1 NA
"24" "24" 1984-03-20 22.62 "BOS" "@" "IND" "L" -2 0 8 NA NA 12.7 17 14.6 12.7 0 7.7 100 5 72 105 1 NA
"25" "25" 1984-03-22 22.63 "BOS" "@" "NYK" "W" 8 0 2 NA NA 0 0 0 0 0 0 NA 0 0 119 0 NA
"26" "26" 1984-03-23 22.63 "BOS" "" "NJN" "L" -4 0 9 1 1 14.4 0 6.7 0 0 0 0 4.9 201 112 2.4 NA
"27" "27" 1984-03-25 22.64 "BOS" "@" "PHI" "L" -5 0 4 NA NA 0 29.6 15.3 0 0 0 100 11.4 0 103 -1.5 NA
"28" "28" 1984-03-27 22.64 "BOS" "@" "WSB" "W" 13 0 4 0.5 0.5 0 33.3 15.8 0 0 0 0 21.4 114 98 0.1 NA
"29" "29" 1984-04-03 22.66 "BOS" "@" "CLE" "W" 12 0 1 NA NA 0 0 0 0 0 0 NA 0 0 101 0 NA
"30" "30" 1984-04-06 22.67 "BOS" "" "CLE" "W" 19 0 3 0.5 0.5 0 61.5 37.2 0 0 0 33.3 42.5 61 83 0.6 NA
"31" "31" 1984-04-08 22.68 "BOS" "" "CHI" "W" 7 0 20 0.4 0.4 5.7 11.4 8.6 0 0 2.9 16.7 12 78 108 0.3 NA
"32" "32" 1984-04-10 22.68 "BOS" "@" "MIL" "W" 1 0 9 NA NA 0 12.1 6.4 13.7 0 0 NA 0 200 106 0.2 NA
"33" "33" 1984-04-11 22.68 "BOS" "" "NYK" "W" 6 0 20 0.25 0.25 14.5 11.4 12.8 0 0 0 33.3 13 54 101 -2.4 NA
"34" "34" 1984-04-13 22.69 "BOS" "@" "DET" "L" -8 0 7 0 0 14 14.6 14.3 0 0 0 0 5.6 59 119 0.3 NA
"35" "35" 1984-04-15 22.7 "BOS" "" "NJN" "W" 7 1 26 0.689 0.667 19.4 22.2 21 5 1.8 1.9 17.5 17.3 124 102 12.5 NA
"1" "1" 1984-10-26 23.22 "BOS" "@" "DET" "W" 7 0 6 0.333 0.333 53.3 0 22.2 0 0 0 0 19.1 120 121 1.6 -10.4
"2" "2" 1984-11-02 23.24 "BOS" "" "DET" "W" 11 0 1 1 1 0 0 0 0 0 0 0 37.5 200 115 1.7 32.1
"3" "3" 1984-11-07 23.26 "BOS" "" "LAC" "W" 27 0 3 0.5 0.5 0 0 0 35.6 0 17 33.3 39 80 99 1.4 3.1
"4" "4" 1984-11-10 23.27 "BOS" "@" "WSB" "L" -17 0 9 1.064 1 10.7 0 6 42.1 0 6.2 21 20.8 174 108 8.8 23.3
"5" "5" 1984-11-12 23.27 "BOS" "@" "IND" "W" 17 0 1 NA NA 0 0 0 0 0 50 NA 0 0 77 0.7 31
"6" "6" 1984-11-14 23.28 "BOS" "" "NYK" "W" 16 0 1 NA NA 0 0 0 0 0 0 NA 0 0 114 -0.4 -23.5
"7" "7" 1984-11-21 23.3 "BOS" "" "GSW" "W" 44 0 10 1 1 0 18.8 13.2 0 0 0 66.7 13.7 47 93 -0.9 -12.5
"8" "8" 1984-11-28 23.32 "BOS" "@" "HOU" "W" 10 0 2 NA NA 0 46.2 25 0 0 0 NA 0 0 88 -0.5 -17.7
"9" "9" 1984-12-02 23.33 "BOS" "" "CLE" "W" 23 0 14 0.63 0.333 0 16.3 8.1 7.5 0 3.8 17.4 15.6 123 97 4.9 0.6
"10" "10" 1984-12-05 23.33 "BOS" "" "DEN" "W" 16 0 2 0 0 0 100 52.7 0 0 0 50 38.7 0 78 -1.5 -49
"11" "11" 1984-12-11 23.35 "BOS" "" "NJN" "W" 9 0 1 NA NA 0 0 0 0 0 0 NA 0 0 132 0 -3.7
"12" "12" 1984-12-12 23.35 "BOS" "@" "PHI" "L" -3 0 1 NA NA 0 0 0 0 0 0 NA 0 0 116 -0.4 -21.1
"13" "13" 1984-12-14 23.36 "BOS" "" "UTA" "W" 11 0 8 0 0 13 0 6.3 0 0 0 0 9.3 36 111 -1.1 -13.4
"14" "14" 1984-12-18 23.37 "BOS" "@" "NYK" "W" 18 0 4 0.868 1 0 0 0 0 0 0 25.8 39.2 104 111 3 2.3
"15" "15" 1984-12-19 23.37 "BOS" "" "MIL" "L" -15 0 3 0 0 76.2 40 58.5 0 0 0 0 42.4 39 110 -0.8 -36.3
"16" "16" 1984-12-21 23.38 "BOS" "" "IND" "W" 10 0 9 0.333 0.333 23.2 26 24.5 0 0 0 0 12.8 101 99 1.5 -9.1
"17" "17" 1984-12-22 23.38 "BOS" "@" "CHI" "L" -25 0 18 0.444 0.429 15.4 21.1 17.8 0 2.8 0 0 17.9 109 110 6.1 1.7
"18" "18" 1984-12-26 23.39 "BOS" "@" "PHO" "W" 5 0 2 NA NA 0 0 0 0 0 0 NA 0 0 124 -0.4 -13.3
"19" "19" 1984-12-27 23.39 "BOS" "@" "LAC" "W" 15 0 4 0 0 0 26.1 14.1 0 0 0 34.7 30.1 0 105 -3.4 -49.8
"20" "20" 1984-12-29 23.4 "BOS" "@" "SAS" "W" 8 0 7 0.568 NA 0 0 0 0 6.6 0 53.2 10.6 52 103 -0.6 -9.6
"21" "21" 1984-12-30 23.4 "BOS" "@" "MIL" "L" -16 0 2 NA NA 0 0 0 0 0 0 NA 0 0 123 0 -4.3
"22" "22" 1985-01-02 23.41 "BOS" "@" "NJN" "W" 15 0 3 0.532 0 41 0 18 0 0 0 0 28 138 105 2 1.9
"23" "23" 1985-01-12 23.44 "BOS" "@" "ATL" "W" 8 0 2 0.5 0.5 55.8 0 27.6 0 0 0 33.3 58.5 77 114 0.7 -20.9
"24" "24" 1985-01-25 23.47 "BOS" "" "IND" "W" 31 0 5 0 0 0 0 0 20.4 0 0 25 31.5 16 97 -4 -40.7
"25" "25" 1985-01-30 23.49 "BOS" "@" "PHI" "L" -18 0 3 0 NA 34 0 18 0 0 0 0 12.3 52 139 -0.1 -14.9
"26" "26" 1985-02-01 23.49 "BOS" "" "KCK" "W" 19 0 3 0 0 45.7 65.3 57.1 27.1 0 15 0 13.4 104 87 1.2 2.4
"27" "27" 1985-02-06 23.51 "BOS" "" "CLE" "W" 5 0 7 0 0 0 15.6 7.3 0 0 0 0 5.6 0 109 -0.4 -9.9
"28" "28" 1985-02-12 23.52 "BOS" "@" "POR" "L" -8 0 3 NA NA 0 0 0 80 0 0 NA 0 208 122 1 18.8
"29" "29" 1985-02-14 23.53 "BOS" "@" "SEA" "W" 16 0 6 NA NA 0 19.5 10.7 0 0 0 NA 0 0 101 0.3 -1.3
"30" "30" 1985-02-17 23.54 "BOS" "@" "LAL" "L" -6 0 7 NA NA 0 34.3 18 0 0 0 100 5.8 0 115 -1.2 -11.2
"31" "31" 1985-02-18 23.54 "BOS" "@" "UTA" "W" 16 1 34 0.515 0.667 13.1 15.7 14.6 3.3 0 0 50.8 9.4 69 96 0.8 -9.5
"32" "32" 1985-02-20 23.55 "BOS" "@" "DEN" "L" -3 1 27 0.75 0.75 8.5 11.1 9.9 0 0 1.7 33.3 8.6 106 118 3 -5.6
"33" "33" 1985-02-22 23.55 "BOS" "" "CHI" "W" 10 0 10 0 0 0 12.3 6.3 0 0 0 0 4.2 0 108 -1.6 -12.6
"34" "34" 1985-02-24 23.56 "BOS" "@" "IND" "W" 13 0 8 0.5 0.5 11.1 0 6.1 0 0 0 0 9.6 120 97 0.5 -7
"35" "35" 1985-02-27 23.56 "BOS" "" "SAS" "W" 9 0 9 0.333 0.333 24.2 21.8 22.9 0 0 0 0 12.8 109 102 2.3 -2.7
"36" "36" 1985-03-01 23.57 "BOS" "" "ATL" "L" -9 0 7 NA NA 0 0 0 0 0 0 NA 0 0 125 0 -5.4
"37" "37" 1985-03-03 23.58 "BOS" "" "DET" "W" 9 0 2 0 0 0 0 0 0 0 0 0 18.3 0 124 -0.7 -23.7
"38" "38" 1985-03-05 23.58 "BOS" "@" "NYK" "W" 8 0 5 0 0 22.3 0 9.5 0 0 10.5 50 16.6 33 101 -0.7 -13.3
"39" "39" 1985-03-06 23.58 "BOS" "" "CHI" "L" -3 0 8 NA NA 0 0 0 0 0 7.1 NA 0 0 110 -0.1 -4.6
"40" "40" 1985-03-08 23.59 "BOS" "" "DAL" "W" 11 0 14 0 0 9 0 4.8 0 0 0 33.3 9 31 132 -2.5 -17.1
"41" "41" 1985-03-12 23.6 "BOS" "@" "ATL" "W" 11 0 1 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -5.4
"42" "42" 1985-03-13 23.6 "BOS" "" "PHO" "W" 17 0 1 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -3.8
"43" "43" 1985-03-15 23.61 "BOS" "@" "CLE" "W" 23 0 5 1 1 0 0 0 0 0 0 0 7.7 200 103 1.3 1.5
"44" "44" 1985-03-17 23.61 "BOS" "" "HOU" "W" 14 0 7 0 0 35.2 14.3 23.6 25.9 0 7.1 50 11 88 107 1.7 1.9
"45" "45" 1985-03-22 23.63 "BOS" "" "CLE" "W" 12 0 1 NA NA 0 0 0 0 0 0 NA 0 0 120 0 -4.3
"46" "46" 1985-03-29 23.65 "BOS" "" "PHI" "W" 4 0 2 NA NA 0 48 23.8 0 0 0 NA 0 0 95 0.3 1.3
"47" "47" 1985-03-31 23.65 "BOS" "@" "DET" "L" -8 0 11 0 0 0 17.8 9.7 0 0 0 0 3.8 0 112 -0.9 -9.2
"48" "48" 1985-04-02 23.66 "BOS" "@" "MIL" "L" -6 0 10 0.5 0.5 13.3 10.2 11.6 0 0 0 0 9 120 113 0.8 -6.3
"49" "49" 1985-04-03 23.66 "BOS" "" "IND" "W" 16 0 18 0.5 0.5 11.1 19 14.8 7.3 0 0 0 8.5 128 100 4.2 -1
"50" "50" 1985-04-05 23.67 "BOS" "" "WSB" "W" 11 0 8 0 0 0 12.8 6.8 13 0 0 40 24.6 13 109 -4.3 -32
"51" "51" 1985-04-07 23.67 "BOS" "" "NYK" "W" 12 0 8 NA NA 15.4 0 7 14.3 0 0 NA 0 204 111 1 1.7
