"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1996-11-01 22.39 "NJN" "" "CLE" "L" -13 0 22.8333333333333 0.5 0.5 6.1 0 3 11.1 2.6 0 0 11.2 125 116 3.9 -0.4
"2" "2" 1996-11-07 22.41 "NJN" "" "ORL" "L" -13 0 25.1166666666667 0.286 0.286 3.4 0 1.9 24.6 6 5.3 12.5 12.1 87 105 5.6 3.2
"3" "3" 1996-11-08 22.41 "NJN" "@" "ORL" "L" -4 0 33.3 0.507 0.438 5.7 2.4 3.9 19.6 3.2 0 18.4 13.9 111 102 7.9 -0.2
"4" "4" 1996-11-13 22.42 "NJN" "" "WSB" "L" -15 1 35.2833333333333 0.815 0.833 0 19.1 8.5 29 1.4 2 23.7 17.8 130 105 18.4 12.3
"5" "5" 1996-11-15 22.43 "NJN" "" "POR" "L" -8 1 31.4833333333333 0.15 0.15 3 8.4 5.2 22.6 1.7 2.9 9.1 14.4 58 100 1.2 -2.5
"6" "6" 1996-11-16 22.43 "NJN" "" "DEN" "W" 7 1 34.8333333333333 0.582 0.567 8.8 6.5 7.7 24.5 4.1 2.2 5.8 19.7 132 98 20.2 12
"7" "7" 1996-11-21 22.44 "NJN" "@" "DET" "L" -8 1 36.5333333333333 0.5 0.5 3.1 3.4 3.2 26.6 2.9 0 6.3 20.3 109 111 11.1 3.7
"8" "8" 1996-11-23 22.45 "NJN" "" "DAL" "W" 23 1 32.55 0.456 0.469 9.1 0 5.1 8.2 4.8 0 0 20.4 125 102 11.9 1.3
"9" "9" 1996-11-25 22.45 "NJN" "@" "UTA" "L" -16 1 26.6 0.6 0.6 2.9 4.4 3.5 16.1 0 0 9.1 16.7 117 123 8.4 -0.2
"10" "10" 1996-11-27 22.46 "NJN" "@" "PHO" "L" -22 1 35.8666666666667 0.192 0.2 0 17.1 7.3 15.8 2.8 0 0 12.4 56 105 2.2 -8.2
"11" "11" 1996-11-28 22.46 "NJN" "@" "GSW" "L" -6 1 44.5166666666667 0.63 0.567 0 2.6 1.2 10.8 1.2 0 9.2 20.1 128 137 15.1 -2.2
"12" "12" 1996-11-30 22.47 "NJN" "@" "LAC" "W" 11 1 37.2 0.291 0.208 3 2.4 2.7 0 2.5 0 22.5 19.4 55 89 -1.8 -9.2
"13" "13" 1996-12-04 22.48 "NJN" "" "NYK" "L" -7 1 39.5 0.403 0.357 0 10.7 5.5 7.7 2.5 0 6.3 16.4 95 109 7.4 -3.9
"14" "14" 1996-12-06 22.48 "NJN" "@" "BOS" "W" 2 1 47.6666666666667 0.683 0.611 7 8.3 7.7 17.8 5.2 0 0 19.5 160 99 31.2 14.1
"15" "15" 1996-12-07 22.49 "NJN" "" "DET" "L" -26 1 41.5833333333333 0.431 0.409 3.1 10.6 7.1 9.4 0 1.8 13.6 17.3 86 119 5.7 -4.1
"16" "16" 1996-12-11 22.5 "NJN" "" "SEA" "W" 9 1 40.9833333333333 0.653 0.643 5.7 7 6.4 3.3 3.6 0 24.6 21.1 100 103 12 0.4
"17" "17" 1996-12-13 22.5 "NJN" "" "CHI" "L" -21 1 42.35 0.46 0.425 0 6 2.5 4.6 3.4 0 4.4 21.9 98 113 11.3 -0.7
"18" "18" 1996-12-14 22.51 "NJN" "@" "MIL" "L" -10 1 38.9833333333333 0.432 0.423 2.2 6.2 3.9 7.7 1.3 1.6 0 14.6 112 112 8.9 -1
"19" "19" 1996-12-17 22.52 "NJN" "" "TOR" "L" -9 1 42.0166666666667 0.548 0.5 1.8 8.5 3.8 9.3 5.1 0 14 27.9 104 107 16.7 3.6
"20" "20" 1996-12-18 22.52 "NJN" "@" "CLE" "L" -18 1 36.7333333333333 0.648 0.633 2.7 0 1.5 13.9 0 2.1 6.1 19.7 129 127 13.7 6.5
"21" "21" 1996-12-20 22.52 "NJN" "@" "ATL" "L" -14 1 40.3833333333333 0.78 0.714 4.9 13.7 8.6 14.9 5 0 5.3 19.9 160 111 28.7 15.5
"22" "22" 1996-12-21 22.53 "NJN" "" "BOS" "W" 1 1 40 0.241 0.25 5.7 12.3 8.9 10.2 1.3 1.6 7.4 14.3 71 113 3.8 -10.9
"23" "23" 1996-12-23 22.53 "NJN" "@" "CHI" "L" -32 1 41.45 0.731 0.731 0 10.4 5.6 9.5 3.7 1.6 13.3 17.3 112 118 17 5.9
"24" "24" 1996-12-26 22.54 "NJN" "@" "TOR" "L" -2 1 40.8333333333333 0.587 0.588 4.3 8 6 25.4 0 1.7 10.1 21.5 120 121 15.9 2.6
"25" "25" 1996-12-27 22.54 "NJN" "" "IND" "W" 11 1 40.1333333333333 0.567 0.567 2.9 6.2 4.4 8.5 1.3 0 6.3 17.4 119 109 10.8 -1.6
