"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1997-10-31 21.98 "CLE" "@" "HOU" "L" -8 0 23.5833333333333 0.672 0.556 3.6 6.7 4.7 18.2 6.4 0 6.9 24.2 143 95 15.3 16.8
"2" "2" 1997-11-01 21.98 "CLE" "@" "SAS" "L" -3 0 23.85 0.436 0.333 0 6.3 2.5 25 6.9 0 22.5 8.1 92 90 4.5 -0.7
"3" "3" 1997-11-04 21.99 "CLE" "" "IND" "W" 3 0 23.6 0.25 0.25 4.5 23.9 12.9 63 4.8 0 11.1 17.8 91 83 7.2 5.2
"4" "4" 1997-11-07 22 "CLE" "@" "BOS" "W" 4 1 32.7333333333333 0.473 0.333 0 0 0 63.8 4.8 0 24 17.3 105 102 10.9 5
"5" "5" 1997-11-08 22 "CLE" "" "ATL" "L" -2 1 40.0833333333333 0.44 0.364 5.1 13.7 8.2 37.1 1.4 2.4 6.8 17.8 115 109 13.9 3.2
"6" "6" 1997-11-11 22.01 "CLE" "" "CHI" "W" 21 1 27 0.625 0.625 5.1 21.8 14.8 38.8 8 0 20 18 121 74 14.6 12.7
"7" "7" 1997-11-13 22.01 "CLE" "@" "NJN" "W" 11 1 34.9333333333333 0.407 0.385 3.3 8.4 6.1 51.1 9.7 0 11.9 22.9 98 74 14.4 13.3
"8" "8" 1997-11-15 22.02 "CLE" "@" "CHI" "L" -9 1 36.9833333333333 0.512 0.375 0 2.8 1.4 25.8 7.4 0 33.9 17.3 84 84 7.8 4.9
"9" "9" 1997-11-16 22.02 "CLE" "" "NJN" "L" -5 1 33.9166666666667 0.4 0.4 0 5.3 3.2 50.9 3.5 2 16.7 9.1 102 96 7.6 4.6
"10" "10" 1997-11-19 22.03 "CLE" "" "ORL" "L" -3 1 37.0166666666667 0.333 0.333 2.8 3.4 3.1 30 0 1.8 33.3 10.9 80 103 3.3 -7.9
"11" "11" 1997-11-21 22.04 "CLE" "@" "MIN" "W" 23 1 37.9333333333333 0.436 0.333 7.4 17.6 13.1 46.6 6.7 0 40.4 20.7 87 76 12.6 3.7
"12" "12" 1997-11-22 22.04 "CLE" "" "WAS" "W" 9 1 37.4 0.752 0.667 0 6.5 3.9 76.7 5.4 0 25.8 15.2 149 102 24 13.5
"13" "13" 1997-11-26 22.05 "CLE" "@" "PHI" "W" 6 1 18.1666666666667 0.515 0.5 0 6.7 3.3 28.6 2.7 0 27.9 25.2 85 94 4.2 -4
"14" "" 1997-11-28 22.05 "CLE" "@" "CHH" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 1997-11-29 22.06 "CLE" "" "BOS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "14" 1997-12-03 22.07 "CLE" "@" "GSW" "W" 28 1 35.4833333333333 0.5 0.5 2.6 13.7 7.4 36.4 7.1 0 16.7 13.8 106 66 13.9 5.6
"17" "15" 1997-12-05 22.07 "CLE" "@" "VAN" "W" 9 1 42.7 0.56 0.333 2.4 7.6 4.9 31.3 5.7 0 21.9 17.4 119 97 18.5 5.1
"18" "16" 1997-12-07 22.08 "CLE" "@" "LAL" "W" 10 1 30.85 0.338 0.25 0 13.8 7.2 34 3.3 2.9 25.3 17.1 77 87 5.4 -0.1
"19" "17" 1997-12-10 22.09 "CLE" "" "DEN" "W" 19 1 26.8 0.727 0.667 4.4 9.4 6.8 43.1 5.9 0 12.7 13.3 148 88 14.4 9.9
"20" "18" 1997-12-11 22.09 "CLE" "@" "MIL" "W" 2 1 40.0333333333333 0.3 0.3 0 8 3.8 29.5 9.9 0 28.6 18.1 60 81 6.8 0.6
"21" "19" 1997-12-13 22.1 "CLE" "" "CHH" "L" -1 1 23.8333333333333 0.355 0.375 10.8 4.4 7.3 56 4.7 0 0 17.5 107 99 8.2 6.9
"22" "20" 1997-12-16 22.1 "CLE" "" "PHO" "W" 13 1 33.1333333333333 0.913 0.857 0 7.7 4.2 61.7 6.4 0 18.6 14.7 163 95 22.9 16.9
"23" "21" 1997-12-17 22.11 "CLE" "@" "ATL" "L" -11 1 29.5666666666667 0.286 0.286 7.6 4.8 6.4 16.1 0 0 12.5 12.4 84 118 0.7 -9.1
"24" "22" 1997-12-19 22.11 "CLE" "" "NYK" "L" -27 1 30.4 0.2 0.2 13 0 6.5 64.2 3.5 0 44.4 14.1 73 115 6.3 -1.2
"25" "23" 1997-12-21 22.12 "CLE" "" "UTA" "W" 5 1 36.7333333333333 0.579 0.444 3.4 0 1.7 33.9 5.6 0 7.2 17.1 129 108 16.5 5.6
"26" "24" 1997-12-23 22.12 "CLE" "" "DAL" "W" 14 1 35.45 0.608 0.5 7.2 13.3 10.4 59.4 3 2.3 20.7 18.5 128 92 20.4 11
"27" "25" 1997-12-26 22.13 "CLE" "@" "CHH" "L" -8 1 23.8833333333333 0.455 0.444 0 0 0 56 2.3 0 33.6 32.6 81 115 3.6 -10.6
"28" "26" 1997-12-30 22.14 "CLE" "" "MIA" "L" -12 0 18.45 0.8 0.8 0 13.3 6.8 43.6 3.2 9.4 28.6 20.8 111 99 8.8 12.4
"29" "27" 1998-01-02 22.15 "CLE" "@" "ORL" "W" 10 1 36.6833333333333 0.338 0.25 6.2 0 3 18.9 1.5 0 25.3 14.4 78 90 2.2 -4.5
"30" "28" 1998-01-03 22.15 "CLE" "" "NJN" "W" 14 1 27.0833333333333 0.509 0.5 4.9 13.7 9.5 49.8 3.9 2.9 30.4 16.4 106 85 9.9 5.3
"31" "29" 1998-01-06 22.16 "CLE" "" "HOU" "W" 30 1 26.3 0.75 0.75 6.2 13.5 10.4 54.9 4.1 0 33.3 22.1 115 77 13.2 7.1
"32" "30" 1998-01-08 22.17 "CLE" "" "SEA" "L" -25 1 24.1333333333333 0.463 0.333 8.5 0 5 35.7 0 3.1 41 13.6 85 126 2.9 -9.4
"33" "31" 1998-01-10 22.17 "CLE" "" "TOR" "L" -9 1 35.7 0.506 0.5 7.4 0 4.5 44 7 2 21.6 15.6 104 100 15.8 8.7
"34" "32" 1998-01-12 22.18 "CLE" "@" "UTA" "L" -7 1 21.55 0.565 0.5 5.9 8.2 6.8 84.6 0 0 13.9 15.4 143 123 11 8
"35" "33" 1998-01-13 22.18 "CLE" "@" "PHO" "W" 18 1 34.9 0.638 0.6 0 8.1 5 38.1 0 0 20.3 19.4 116 98 12.7 2.3
"36" "34" 1998-01-16 22.19 "CLE" "@" "DEN" "W" 25 1 29.6333333333333 0.2 0.2 0 7.1 3.7 24.7 5.4 0 28.6 10.3 64 82 3.2 -3.5
"37" "35" 1998-01-17 22.19 "CLE" "@" "SEA" "L" -8 1 35.05 0.23 0.2 14.7 10.3 12.1 46.8 4.7 0 26.9 20.2 82 109 6.1 -3.2
"38" "36" 1998-01-20 22.2 "CLE" "" "POR" "L" -2 1 39.3 0.615 0.5 6.8 3.2 5 34.5 10.3 0 45 10.3 98 90 13.5 7.2
"39" "37" 1998-01-22 22.21 "CLE" "" "SAC" "W" 16 1 35.4333333333333 0.85 0.8 0 3.5 1.9 57 7.4 0 33.8 11 146 97 19.6 13.3
"40" "38" 1998-01-24 22.21 "CLE" "" "PHI" "W" 19 1 35.75 0.524 0.2 0 2.8 1.6 35.2 11.9 0 20.7 13 128 90 18.1 10.2
"41" "39" 1998-01-26 22.22 "CLE" "@" "MIA" "W" 1 1 19.45 0.615 0.5 7 28.1 17.5 20.3 2.8 0 0 12.7 143 100 6.3 0.6
"42" "40" 1998-01-27 22.22 "CLE" "@" "DAL" "L" -7 1 39.7 0.444 0.444 5.3 8.1 6.7 35.7 1.4 1.8 30.8 14.8 83 91 7.7 0.3
"43" "41" 1998-01-30 22.23 "CLE" "@" "IND" "L" -6 1 36.4 0.541 0.429 0 10.5 5.4 53.3 3.3 2.2 26.5 16.1 107 105 10.5 2.9
"44" "42" 1998-01-31 22.23 "CLE" "" "DET" "W" 2 1 35.85 0.509 0.5 0 5 3 43 0 0 30.4 13.2 98 105 6.6 -3.2
"45" "43" 1998-02-02 22.24 "CLE" "" "MIN" "W" 10 1 30.5666666666667 0.362 0.333 0 11.3 5.7 62.3 0 2.9 19.4 21.6 105 113 8.2 -3.1
"46" "44" 1998-02-04 22.24 "CLE" "@" "WAS" "L" -16 1 31.55 0.488 0.333 0 13.8 7.3 37.5 3.4 0 32.8 18.2 86 110 7.5 -2
