"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1970-10-16 23.2 "POR" "" "CLE" "W" 3 1 20 0.41 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1970-10-18 23.21 "POR" "" "BOS" "L" -18 0 11 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1970-10-20 23.21 "POR" "" "CLE" "W" 22 0 23 0.47 0.429 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1970-10-23 23.22 "POR" "@" "SEA" "L" -30 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1970-10-25 23.22 "POR" "" "CHI" "L" -15 0 15 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1970-10-30 23.24 "POR" "" "SEA" "L" -11 1 22 0.714 0.714 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1970-10-31 23.24 "POR" "" "BUF" "W" 5 1 27 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1970-11-03 23.25 "POR" "" "LAL" "L" -20 1 23 0.291 0.167 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1970-11-05 23.25 "POR" "" "BAL" "W" 4 1 10 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1970-11-08 23.26 "POR" "" "NYK" "L" -12 0 8 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1970-11-10 23.27 "POR" "" "CIN" "L" -17 1 19 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1970-11-11 23.27 "POR" "@" "PHO" "L" -14 1 30 0.46 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1970-11-12 23.27 "POR" "" "CLE" "L" -2 1 27 0.483 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1970-11-14 23.28 "POR" "" "CLE" "W" 10 1 27 0.739 0.714 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1970-11-16 23.28 "POR" "" "SDR" "L" -18 1 17 0.254 0.286 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1970-11-17 23.29 "POR" "" "BUF" "L" -1 1 20 0.306 0.273 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1970-11-18 23.29 "POR" "" "ATL" "W" 15 1 25 0.442 0.417 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1970-11-21 23.3 "POR" "" "BUF" "W" 4 1 15 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1970-11-22 23.3 "POR" "" "MIL" "L" -22 0 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1970-11-24 23.31 "POR" "@" "BAL" "L" -52 1 19 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1970-11-25 23.31 "POR" "@" "BOS" "L" -7 1 11 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1970-11-28 23.32 "POR" "@" "BUF" "L" -16 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
