"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 19.18 "NYK" "" "ATL" "W" 19 0 23.6333333333333 0.289 0.281 0 0 0 0 3.6 3.8 10.4 30.7 55 93 -0.5 -15.9
"2" "2" 2018-10-19 19.19 "NYK" "@" "BRK" "L" -2 0 28.1333333333333 0.607 0.607 9.3 14.2 11.2 0 0 0 0 22 131 119 11.8 1.3
"3" "3" 2018-10-20 19.19 "NYK" "" "BOS" "L" -2 0 4.11666666666667 0.266 0 0 0 0 0 0 0 0 19.1 62 113 -0.1 -12.7
"4" "" 2018-10-22 19.2 "NYK" "@" "MIL" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2018-10-24 19.2 "NYK" "@" "MIA" "L" -23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2018-10-26 19.21 "NYK" "" "GSW" "L" -28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2018-10-29 19.22 "NYK" "" "BRK" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2018-10-31 19.22 "NYK" "" "IND" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2018-11-02 19.23 "NYK" "@" "DAL" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2018-11-04 19.23 "NYK" "@" "WAS" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "4" 2018-11-05 19.24 "NYK" "" "CHI" "L" -1 0 4.98333333333333 0.5 0.5 0 0 0 0 10.4 0 33.3 25.7 64 89 1 -2.3
"12" "5" 2018-11-07 19.24 "NYK" "@" "ATL" "W" 5 0 9.16666666666667 0 0 0 0 0 15.4 0 0 14.3 32.2 11 116 -4.5 -32.8
"13" "6" 2018-11-10 19.25 "NYK" "@" "TOR" "L" -16 0 24.2333333333333 0.505 0.455 4 4.6 4.3 5.5 0 4.5 0 19.7 122 135 7.1 -3.2
"14" "7" 2018-11-11 19.25 "NYK" "" "ORL" "L" -26 0 25.5833333333333 0.552 0.455 6.8 0 3.5 0 1.8 0 11.5 27.2 107 118 9.3 0.1
"15" "8" 2018-11-14 19.26 "NYK" "@" "OKC" "L" -25 1 29.3333333333333 0.433 0.375 3.8 16.4 9.9 5.3 1.6 0 14.8 28.6 81 127 5.2 -10.8
"16" "9" 2018-11-16 19.27 "NYK" "@" "NOP" "L" -5 1 20.8333333333333 0.583 0.611 8.4 16.1 11.8 11.9 2.1 0 17.5 21.7 110 117 7 0.2
"17" "10" 2018-11-18 19.27 "NYK" "@" "ORL" "L" -14 1 23.4333333333333 0.25 0.25 4.6 6.4 5.3 0 0 0 11.1 15.8 62 137 -2 -17.2
"18" "11" 2018-11-20 19.28 "NYK" "" "POR" "L" -4 0 12.5833333333333 0.333 0.333 0 8.3 4.5 0 0 6.4 0 10.6 73 126 1.3 -7.5
"19" "12" 2018-11-21 19.28 "NYK" "@" "BOS" "W" 8 0 25.7333333333333 0.814 0.8 0 30.5 17 0 0 2.9 12.9 12.8 136 102 9.5 2.9
"20" "13" 2018-11-23 19.28 "NYK" "" "NOP" "W" 5 0 9.31666666666667 0.5 0.5 0 0 0 0 0 7.1 0 23.2 103 117 1.8 -6.8
