"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1988-01-02 23.78 "UTA" "@" "SAC" "L" -2 0 4 0 0 0 0 0 0 0 0 0 10.4 0 117 -0.7 -17.2
"2" "2" 1988-01-04 23.78 "UTA" "" "BOS" "L" -8 0 3 0.266 0 0 0 0 80 0 0 0 28 99 122 1.3 5.3
"3" "3" 1988-01-06 23.79 "UTA" "@" "PHI" "L" -23 0 7 0.615 0.5 0 0 0 26.2 0 0 45 24.5 72 123 0.3 -11.2
"4" "4" 1988-01-08 23.79 "UTA" "@" "MIL" "W" 4 0 6 1 1 0 0 0 0 0 0 0 7.6 200 118 1.7 2.4
"5" "5" 1988-01-09 23.8 "UTA" "@" "CHI" "L" -22 0 11 0.4 0.4 0 0 0 16.6 0 0 16.7 26.2 76 140 0.6 -15.7
"6" "6" 1988-01-13 23.81 "UTA" "" "POR" "W" 12 0 1 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -4.9
"7" "7" 1988-01-15 23.81 "UTA" "@" "SEA" "L" -19 0 6 1.064 1.25 0 0 0 76.2 0 0 34.7 36.3 135 117 5.2 14.8
"8" "8" 1988-01-25 23.84 "UTA" "" "CLE" "W" 23 0 3 0 0 0 27.6 17.6 0 0 0 0 14.4 0 91 -0.4 -17.5
"9" "9" 1988-01-26 23.84 "UTA" "@" "LAL" "L" -11 0 1 1 1 0 0 0 0 0 0 0 41.7 200 132 1.7 44.8
"10" "10" 1988-02-03 23.87 "UTA" "" "SAC" "W" 32 0 4 0.5 0.5 0 0 0 0 0 0 50 42.1 42 105 -1.8 -42.1
"11" "11" 1988-02-04 23.87 "UTA" "@" "POR" "W" 3 0 2 NA NA 0 0 0 0 0 0 NA 0 0 133 0 -7.6
"12" "12" 1988-02-09 23.88 "UTA" "@" "DAL" "L" -31 0 10 0.532 0 0 11.7 5.9 23.4 0 0 34.7 12.4 94 127 0.8 -9
"13" "13" 1988-02-14 23.9 "UTA" "@" "DEN" "L" -14 0 4 0 0 54.5 28.6 41.9 0 0 0 0 11.1 91 113 0.6 -4
"14" "14" 1988-02-15 23.9 "UTA" "" "POR" "W" 18 0 3 0 0 0 0 0 0 0 0 0 13.6 0 103 -0.7 -17.4
"15" "15" 1988-02-20 23.91 "UTA" "" "LAC" "W" 17 0 3 0 0 0 0 0 31.4 0 0 0 28.4 35 113 -1.1 -32.3
"16" "16" 1988-02-29 23.94 "UTA" "@" "SAC" "W" 5 0 6 0.532 1 0 0 0 0 16 0 0 13.9 79 89 2.5 9.4
"17" "17" 1988-03-04 23.95 "UTA" "@" "SEA" "W" 15 0 2 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -1.4
"18" "18" 1988-03-05 23.95 "UTA" "" "SAS" "W" 19 0 3 0 0 0 0 0 0 0 0 0 39.2 0 104 -2.1 -47.6
"19" "19" 1988-03-07 23.96 "UTA" "" "NJN" "W" 24 0 11 NA NA 0 0 0 0 0 0 NA 0 0 94 -0.8 -8.1
"20" "20" 1988-03-09 23.96 "UTA" "@" "DET" "L" -5 0 2 NA NA 0 0 0 0 0 0 NA 0 0 114 0 -4.9
"21" "21" 1988-03-11 23.97 "UTA" "@" "WSB" "W" 2 0 7 1 1 0 25.4 16.1 17.1 0 0 0 6.4 201 109 2.2 2.5
"22" "22" 1988-03-12 23.97 "UTA" "@" "NYK" "L" -3 0 8 NA NA 0 0 0 0 0 0 100 5.5 0 121 -1 -12.2
"23" "23" 1988-03-14 23.98 "UTA" "@" "DEN" "W" 1 0 6 NA NA 0 0 0 17 0 0 100 6.8 42 119 -0.7 -8.6
"24" "24" 1988-03-16 23.98 "UTA" "" "DAL" "W" 15 0 1 NA NA 0 0 0 98 0 0 100 40.7 41 113 -0.3 -19.1
"25" "25" 1988-03-24 24 "UTA" "" "SAC" "W" 20 0 2 0 0 0 48 30.4 54.5 0 0 50 46.2 29 95 -1.1 -46.1
"26" "26" 1988-03-29 24.01 "UTA" "@" "LAL" "L" -11 0 3 0 0 0 0 0 0 0 0 0 14.4 0 130 -0.7 -22.5
"27" "27" 1988-03-31 24.02 "UTA" "" "GSW" "W" 23 0 3 0.266 0 0 0 0 0 15.1 0 34.7 38.2 38 67 -0.1 -12.4
"28" "28" 1988-04-05 24.03 "UTA" "@" "PHO" "L" -5 0 3 NA NA 0 35.6 20.3 0 0 0 NA 0 0 107 -0.1 -8.7
"29" "29" 1988-04-08 24.04 "UTA" "@" "DAL" "L" -23 0 10 0 0 0 0 0 13 0 0 33.3 12.2 16 131 -2.5 -20.2
"30" "30" 1988-04-12 24.05 "UTA" "" "LAC" "W" 7 0 1 NA NA 0 0 0 0 0 0 NA 0 0 99 0 -4.8
"31" "31" 1988-04-14 24.06 "UTA" "" "POR" "L" -5 0 14 0.667 0.667 0 20.2 9.9 14.9 0 0 25 11.8 106 126 2.5 -5
"32" "32" 1988-04-16 24.06 "UTA" "" "SAS" "W" 25 0 19 0.5 0.5 0 0 0 6.7 4.8 3 28.6 15.6 70 79 1.7 -3
"33" "33" 1988-04-19 24.07 "UTA" "@" "POR" "W" 7 0 22 0.5 0.5 0 0 0 13.1 0 0 0 3.7 148 119 1.1 -2.9
"34" "34" 1988-04-20 24.07 "UTA" "@" "LAC" "W" 6 0 11 0.333 0.333 0 19.8 8.7 0 0 0 0 10 86 107 -0.3 -13.4
"35" "35" 1988-04-22 24.08 "UTA" "@" "SEA" "W" 1 0 14 0.5 0.5 8.8 0 4.1 28.1 3.7 0 33.3 8.9 110 119 3 3.6
"36" "36" 1988-04-23 24.08 "UTA" "" "HOU" "W" 18 0 9 0.5 0.5 14 0 5.6 0 0 0 0 9.2 122 107 0.9 -8
"1" "1" 1988-11-04 24.62 "UTA" "" "SEA" "L" -7 0 9 0.5 0.5 0 0 0 0 10.7 0 60 23.3 34 92 -0.4 -6.2
"2" "2" 1988-11-09 24.63 "UTA" "" "SAC" "W" 24 0 21 0.387 0.333 0 11.8 7.5 6.4 2.2 0 20.5 9.8 71 83 1.3 -6.2
"3" "3" 1988-11-10 24.63 "UTA" "@" "HOU" "L" -7 0 6 0 0 0 0 0 21.1 0 0 50 13.4 21 110 -1.4 -15.6
"4" "4" 1988-11-12 24.64 "UTA" "@" "SAS" "W" 9 0 10 0.667 0.667 0 0 0 18.2 4.8 0 0 12 144 96 4.4 9.4
"5" "5" 1988-11-15 24.65 "UTA" "" "IND" "W" 12 0 7 NA NA 0 15.6 8.3 0 0 0 100 6.1 0 100 -1.5 -13.7
"6" "6" 1988-11-17 24.65 "UTA" "" "POR" "W" 24 0 7 NA NA 17.6 0 8 17.6 0 0 100 5.4 70 104 0 -3.1
"7" "7" 1988-11-21 24.66 "UTA" "" "LAC" "W" 19 0 2 NA NA 0 0 0 53.3 0 0 NA 0 207 98 0.7 7.3
"8" "8" 1988-11-25 24.67 "UTA" "" "SAS" "W" 20 0 6 0.5 0.5 0 0 0 0 0 0 0 11.7 109 102 0.6 -6.9
"9" "9" 1988-11-26 24.68 "UTA" "@" "DAL" "L" -20 0 5 0 0 0 0 0 25.9 0 0 0 8.9 47 127 -0.4 -13.1
"10" "10" 1988-11-29 24.68 "UTA" "@" "SEA" "L" -7 0 4 0.25 0.25 53.3 0 26.7 0 11.3 0 0 39.2 79 87 1.6 5.3
"11" "11" 1988-11-30 24.69 "UTA" "" "CHI" "W" 14 0 8 0 0 0 0 0 14.3 0 0 0 11.3 30 110 -1.5 -18.1
"12" "12" 1988-12-02 24.69 "UTA" "@" "LAL" "L" -21 0 17 0.333 0.333 0 0 0 17.6 0 0 0 7.8 95 128 0.9 -7.7
"13" "13" 1988-12-03 24.7 "UTA" "@" "SAC" "W" 34 0 18 0.725 1 7.2 8.9 8.2 30.8 5.6 0 0 6.8 169 74 9.7 15.7
"14" "14" 1988-12-06 24.7 "UTA" "@" "GSW" "L" -11 0 8 0.602 0.5 0 16.2 7.3 0 6.3 0 23.1 22.7 95 108 2.5 0.1
"15" "15" 1988-12-07 24.71 "UTA" "" "WSB" "W" 17 0 12 0.266 0 0 0 0 18.6 3.8 0 34.7 9.7 65 95 0.5 -5
"16" "16" 1988-12-09 24.71 "UTA" "" "DAL" "L" -8 0 5 0 0 0 0 0 0 0 0 0 9.1 0 112 -0.7 -13.2
"17" "17" 1988-12-10 24.72 "UTA" "@" "LAC" "W" 8 0 12 1 1 0 0 0 0 0 0 50 7.2 78 110 0.3 -8.9
"18" "18" 1988-12-12 24.72 "UTA" "" "MIA" "W" 16 0 19 0.4 0.4 5.5 0 2.5 28.9 0 0 37.5 17 74 107 0.6 -11.1
"19" "19" 1988-12-23 24.75 "UTA" "@" "MIA" "L" -21 0 2 0 0 0 0 0 0 0 0 0 22.3 0 116 -0.7 -24.1
"1" "1" 1990-11-17 26.65 "GSW" "" "SAC" "W" 1 0 1 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -4.6
"2" "2" 1990-11-18 26.65 "GSW" "@" "LAL" "L" -22 0 6 NA NA 16.3 0 9 21.6 0 0 NA 0 200 124 0.6 -5.4
"3" "3" 1990-11-20 26.66 "GSW" "" "ORL" "W" 3 0 3 0.362 0 0 35.6 18.6 0 0 0 26.6 46.6 57 103 -0.6 -31.6
"4" "4" 1990-11-23 26.67 "GSW" "@" "POR" "L" -24 0 10 0 0 9.6 0 5.3 31.3 0 0 33.3 10.6 59 133 0 -7
"5" "5" 1990-11-24 26.67 "GSW" "" "NJN" "L" -4 0 1 0.568 NA 0 0 0 0 0 0 0 32.3 122 127 0.6 4.2
"1" "1" 1991-11-01 27.61 "SEA" "" "PHO" "L" -4 0 19 0.798 1 0 0 0 7.5 0 0 34.7 6.2 103 109 0.8 -6.5
"2" "2" 1991-11-05 27.62 "SEA" "" "SAC" "W" 11 0 1 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -7.9
"3" "3" 1991-11-14 27.64 "SEA" "@" "CLE" "L" -6 0 1 NA NA 0 0 0 0 0 0 NA 0 0 125 0 -8.5
"4" "4" 1991-11-15 27.65 "SEA" "@" "IND" "W" 16 0 11 0 0 10.1 19 14.7 10.1 0 4.9 25.8 14.6 34 109 -0.5 -12.1
"5" "5" 1991-11-17 27.65 "SEA" "@" "MIN" "W" 10 0 7 0.266 0 0 29.8 17.6 0 0 0 61.5 31.1 21 94 -3.3 -34.4
"6" "6" 1991-11-20 27.66 "SEA" "@" "DET" "W" 5 0 2 NA NA 0 0 0 0 0 0 NA 0 0 110 0 -11.6
"7" "7" 1991-11-22 27.67 "SEA" "" "CHI" "L" -3 0 1 NA NA 0 0 0 0 0 0 NA 0 0 119 0 -6.4
"8" "8" 1991-12-10 27.72 "SEA" "@" "CHI" "L" -5 0 1 NA NA 0 0 0 0 0 0 NA 0 0 129 -0.4 -28.1
"9" "9" 1991-12-13 27.72 "SEA" "@" "BOS" "L" -20 0 1 0.5 0.5 0 100 58.5 0 0 0 0 84.1 115 109 1.3 19
"10" "10" 1991-12-14 27.73 "SEA" "@" "PHI" "L" -9 0 1 NA NA 0 0 0 100 0 0 NA 0 210 118 -0.1 -14.7
