"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1989-11-16 22.8 "MIL" "" "ORL" "W" 19 0 13 0.333 0.333 0 9.2 4.7 13.4 6.3 0 25 11.7 73 91 2.2 -2
"2" "2" 1989-11-17 22.81 "MIL" "@" "DET" "L" -27 0 12 0.625 0.625 9.1 0 5.1 18.2 0 0 0 15 134 123 3.6 4.9
"3" "3" 1989-11-22 22.82 "MIL" "" "ATL" "W" 18 0 4 0.266 0 0 0 0 0 0 0 0 20.5 69 118 -0.1 -18.6
"4" "4" 1989-11-25 22.83 "MIL" "@" "NYK" "L" -17 0 14 0.592 0.6 7.3 17.6 12 20.3 3.2 0 37.2 29.2 80 113 3.4 -6.2
"5" "5" 1989-12-05 22.85 "MIL" "@" "SAC" "L" -15 0 2 0.568 NA 0 0 0 0 0 0 0 18.5 123 126 0.2 -13.1
"6" "6" 1989-12-08 22.86 "MIL" "@" "PHO" "L" -25 0 22 0.5 0.5 0 4.5 2.1 0 0 2.6 0 5.3 106 120 1.9 -3.3
"7" "7" 1989-12-10 22.87 "MIL" "" "POR" "W" 3 0 18 0.84 0.833 7.2 25.4 16.9 12.3 0 0 17.4 28 137 106 12.8 10.1
"8" "8" 1989-12-12 22.87 "MIL" "" "ORL" "W" 3 0 8 0.563 0.5 28.6 0 16 22.2 0 0 18.4 28.5 111 118 2.1 -11.1
"9" "9" 1989-12-13 22.88 "MIL" "@" "CLE" "L" -6 0 11 0 0 0 8.9 5 0 4.9 0 0 8.8 0 107 -0.1 -9
"10" "10" 1989-12-15 22.88 "MIL" "@" "IND" "W" 5 0 12 0.333 0.333 0 34.3 15.6 0 0 0 25 14.6 53 107 -0.2 -12.5
"11" "11" 1989-12-16 22.88 "MIL" "" "MIA" "L" -3 0 19 0.47 0.5 7.4 16.5 12.6 9 0 0 0 12.2 110 108 4.5 -1.6
"12" "12" 1989-12-19 22.89 "MIL" "" "BOS" "L" -9 0 8 0 0 22.2 0 12.6 0 0 0 0 5.4 84 107 0.3 -9.3
"13" "13" 1989-12-22 22.9 "MIL" "" "CLE" "W" 12 0 10 0 0 25.3 30 27.4 0 0 0 25.8 16.2 34 104 -1.6 -17.8
