"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1973-10-09 21.91 "BUF" "" "HOU" "W" 2 NA NA 0.922 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1973-10-12 21.92 "BUF" "@" "BOS" "L" -6 NA 13 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1973-10-13 21.92 "BUF" "" "LAL" "L" -3 0 8 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1973-10-16 21.93 "BUF" "@" "NYK" "L" -26 NA 3 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1973-10-20 21.94 "BUF" "" "PHI" "W" 6 NA 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1973-10-24 21.95 "BUF" "@" "MIL" "L" -17 0 11 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1973-10-26 21.96 "BUF" "" "CLE" "W" 7 0 20 0.255 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1973-10-27 21.96 "BUF" "@" "CLE" "W" 10 0 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1973-10-28 21.96 "BUF" "@" "KCO" "W" 12 NA NA 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1973-10-30 21.97 "BUF" "" "SEA" "W" 2 NA 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1973-11-02 21.98 "BUF" "@" "CHI" "L" -10 0 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1973-11-03 21.98 "BUF" "" "GSW" "L" -3 0 36 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1973-11-07 21.99 "BUF" "@" "SEA" "L" -17 NA 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1973-11-09 21.99 "BUF" "@" "POR" "L" -14 0 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1973-11-10 22 "BUF" "@" "GSW" "L" -23 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1973-11-13 22.01 "BUF" "" "ATL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1973-11-15 22.01 "BUF" "@" "NYK" "L" -11 NA 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1973-11-17 22.02 "BUF" "" "DET" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1973-11-20 22.02 "BUF" "" "PHO" "W" 27 0 6 0.868 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1973-11-24 22.04 "BUF" "" "KCO" "W" 12 NA NA 0.82 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1973-11-27 22.04 "BUF" "" "MIL" "L" -5 0 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1973-11-28 22.05 "BUF" "@" "ATL" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1973-12-05 22.07 "BUF" "" "POR" "W" 4 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1973-12-11 22.08 "BUF" "@" "ATL" "W" 5 NA 13 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1973-12-12 22.08 "BUF" "" "BOS" "L" -7 NA 6 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1973-12-18 22.1 "BUF" "" "CLE" "W" 7 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1973-12-22 22.11 "BUF" "@" "KCO" "L" -10 NA NA 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1973-12-23 22.12 "BUF" "" "CAP" "L" -25 NA 14 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1973-12-29 22.13 "BUF" "@" "PHO" "W" 12 0 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1974-01-01 22.14 "BUF" "@" "POR" "W" 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1974-01-11 22.17 "BUF" "" "HOU" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1974-01-13 22.17 "BUF" "" "HOU" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
