"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1960-10-22 23.92 "DET" "@" "BOS" "L" -2 NA 3 1.042 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1960-10-26 23.93 "DET" "" "CIN" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1960-10-29 23.93 "DET" "" "NYK" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1960-11-02 23.95 "DET" "" "STL" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1960-11-05 23.95 "DET" "" "PHW" "L" -7 NA NA 0.387 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1960-11-09 23.96 "DET" "@" "STL" "L" -6 NA NA 0.335 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1960-11-12 23.97 "DET" "" "CIN" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1960-11-13 23.98 "DET" "@" "CIN" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1960-11-15 23.98 "DET" "" "BOS" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1960-11-16 23.98 "DET" "" "PHW" "W" 1 NA NA 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1960-11-17 23.99 "DET" "" "STL" "L" -7 NA NA 0.306 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1960-11-19 23.99 "DET" "@" "LAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1960-11-20 23.99 "DET" "" "LAL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1960-11-23 24 "DET" "" "SYR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1960-11-25 24.01 "DET" "" "LAL" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1960-11-29 24.02 "DET" "@" "NYK" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1960-11-30 24.02 "DET" "" "BOS" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1960-12-04 24.03 "DET" "" "CIN" "W" 1 NA NA 0.625 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1960-12-06 24.04 "DET" "@" "STL" "L" -36 NA 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1960-12-07 24.04 "DET" "" "STL" "W" 30 NA 8 0.304 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1960-12-10 24.05 "DET" "" "SYR" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1960-12-13 24.05 "DET" "" "PHW" "L" -2 NA NA 0.311 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1960-12-14 24.06 "DET" "" "PHW" "W" 8 NA NA 0.403 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1960-12-16 24.06 "DET" "" "NYK" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1960-12-19 24.07 "DET" "" "LAL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1960-12-24 24.08 "DET" "@" "BOS" "L" -44 NA 23 0.405 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1960-12-26 24.09 "DET" "" "CIN" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1960-12-30 24.1 "DET" "" "SYR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1961-01-01 24.11 "DET" "" "LAL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1961-01-02 24.11 "DET" "" "LAL" "L" -10 NA NA 0.336 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1961-01-03 24.11 "DET" "" "PHW" "L" -3 NA NA 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1961-01-05 24.12 "DET" "" "NYK" "L" -2 NA NA 0.486 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1961-01-06 24.12 "DET" "" "BOS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1961-01-08 24.13 "DET" "@" "SYR" "L" -23 NA 28 0.609 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1961-01-10 24.13 "DET" "" "BOS" "L" -20 NA 23 0.773 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1961-01-11 24.13 "DET" "" "CIN" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1961-01-12 24.14 "DET" "" "CIN" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1961-01-14 24.14 "DET" "@" "STL" "L" -22 NA NA 0.49 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1961-01-15 24.15 "DET" "" "STL" "W" 15 NA 22 0.512 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1961-01-18 24.15 "DET" "" "CIN" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1961-01-20 24.16 "DET" "" "NYK" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1961-01-21 24.16 "DET" "" "CIN" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1961-01-22 24.16 "DET" "" "PHW" "W" 8 NA NA 0.555 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1961-01-24 24.17 "DET" "@" "CIN" "W" 2 NA NA 0.738 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1961-01-25 24.17 "DET" "" "CIN" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1961-01-27 24.18 "DET" "@" "BOS" "L" -29 NA 25 0.378 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1961-01-29 24.18 "DET" "@" "LAL" "L" -24 NA NA 0.376 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1961-01-30 24.19 "DET" "@" "LAL" "L" -1 NA NA 0.624 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1961-01-31 24.19 "DET" "" "LAL" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1961-02-01 24.19 "DET" "" "STL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1961-02-03 24.2 "DET" "" "SYR" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1961-02-04 24.2 "DET" "" "SYR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1961-02-05 24.2 "DET" "" "LAL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1961-02-07 24.21 "DET" "@" "NYK" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1961-02-08 24.21 "DET" "" "PHW" "W" 2 NA NA 0.441 NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1961-02-10 24.22 "DET" "" "BOS" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1961-02-11 24.22 "DET" "" "SYR" "L" -30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1961-02-12 24.22 "DET" "@" "SYR" "L" -26 NA 30 0.383 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1961-02-14 24.23 "DET" "@" "STL" "L" -1 NA 44 0.755 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1961-02-16 24.23 "DET" "" "LAL" "L" -23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "61" 1961-02-17 24.24 "DET" "" "SYR" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "62" 1961-02-18 24.24 "DET" "" "STL" "L" -3 NA 28 0.579 NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "63" 1961-02-21 24.25 "DET" "" "SYR" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "64" 1961-02-22 24.25 "DET" "" "NYK" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "65" 1961-02-23 24.25 "DET" "@" "PHW" "L" -8 NA NA 0.528 NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "66" 1961-02-26 24.26 "DET" "" "BOS" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "67" 1961-03-01 24.27 "DET" "@" "CIN" "L" -15 NA NA 0.294 NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "68" 1961-03-03 24.27 "DET" "" "NYK" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "69" 1961-03-04 24.28 "DET" "@" "STL" "L" -2 NA NA 0.48 NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "70" 1961-03-05 24.28 "DET" "" "STL" "L" -5 NA 30 0.417 NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "71" 1961-03-08 24.29 "DET" "" "LAL" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "72" 1961-03-09 24.29 "DET" "" "BOS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "73" 1961-03-10 24.29 "DET" "" "PHW" "W" 17 NA NA 0.743 NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "74" 1961-03-12 24.3 "DET" "@" "NYK" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
