"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1988-11-04 25.21 "UTA" "" "SEA" "L" -7 0 2 NA NA 0 0 0 0 0 0 NA 0 0 113 -0.4 -15.7
"2" "2" 1988-11-09 25.23 "UTA" "" "SAC" "W" 24 0 11 0 0 0 7.5 4.7 23 0 0 34.7 11.1 33 90 -1.2 -14.2
"3" "3" 1988-11-10 25.23 "UTA" "@" "HOU" "L" -7 0 6 0 0 19 0 10.5 0 0 0 0 26.9 18 112 -2.1 -22
"4" "4" 1988-11-12 25.24 "UTA" "@" "SAS" "W" 9 0 16 0 0 7 0 3.2 66.7 8.9 0 25 10 81 87 5.4 8.8
"5" "5" 1988-11-15 25.24 "UTA" "" "IND" "W" 12 0 7 NA NA 0 0 0 19 0 0 100 12.1 20 105 -1.7 -17.4
"6" "6" 1988-11-17 25.25 "UTA" "" "POR" "W" 24 0 14 0.181 0 0 0 0 44 0 0 42 12.9 66 104 0.2 -7.3
"7" "7" 1988-11-19 25.25 "UTA" "" "PHO" "W" 13 0 6 0.521 0.5 0 0 0 17.4 0 0 0 17.6 124 116 1.9 -3.4
"8" "8" 1988-11-21 25.26 "UTA" "" "LAC" "W" 19 0 12 0.26 0 0 0 0 26.7 0 0 14.8 21.8 74 98 0.9 -12.4
"9" "9" 1988-11-23 25.27 "UTA" "" "HOU" "W" 3 0 4 NA NA 0 0 0 60 0 0 NA 0 203 113 1 0.6
"10" "10" 1988-11-25 25.27 "UTA" "" "SAS" "W" 20 0 10 1.136 NA 0 11.7 5.5 36 0 0 53.2 6.6 130 100 3 -1.2
"11" "11" 1988-11-26 25.27 "UTA" "@" "DAL" "L" -20 0 9 0.5 0.5 0 0 0 50.5 0 0 0 9.9 137 127 2.7 -0.4
"12" "12" 1988-11-29 25.28 "UTA" "@" "SEA" "L" -7 0 9 0.5 0.5 0 11.9 5.9 15 0 0 0 8.7 119 107 2 -1.2
