"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1990-11-02 22.02 "DEN" "" "GSW" "L" -4 0 7 0.258 0 0 0 0 0 0 0 0 15.6 71 123 -0.5 -15.4
"2" "2" 1990-11-03 22.02 "DEN" "@" "DAL" "L" -30 0 15 0.125 0.125 0 0 0 0 0 3.2 11.1 23.5 24 132 -4.3 -24.7
"3" "3" 1990-11-06 22.03 "DEN" "@" "HOU" "L" -10 0 2 1 1 36.9 0 21.2 77.4 0 0 0 16.2 202 119 2.7 25.3
"4" "4" 1990-11-07 22.03 "DEN" "@" "SAS" "L" -8 0 8 0.5 0.5 28.6 32.4 30.4 13.3 4.9 0 14.3 30.4 106 122 5.7 -0.3
"5" "5" 1990-11-09 22.04 "DEN" "" "SEA" "L" -6 0 14 0.5 0.5 0 0 0 7.1 0 3.2 0 4.6 129 119 2 -3.7
"6" "6" 1990-11-10 22.04 "DEN" "@" "PHO" "L" -30 0 14 0.168 0.143 17.1 0 10.3 0 2.5 0 6.3 34 50 126 -4.3 -26.7
"7" "7" 1990-11-13 22.05 "DEN" "@" "POR" "L" -26 0 11 0.5 0.5 0 22.4 9.8 0 0 0 20 16.4 74 129 -0.8 -18.1
"8" "8" 1990-11-15 22.05 "DEN" "" "MIN" "W" 13 0 10 0.644 0.667 11.7 0 4.8 0 4.7 5.1 0 15.3 143 103 5.3 9.1
"9" "9" 1990-11-17 22.06 "DEN" "" "POR" "L" -31 0 3 NA NA 0 0 0 0 0 0 100 22.8 0 126 -2.4 -40
"10" "10" 1990-12-04 22.1 "DEN" "@" "CLE" "L" -4 0 7 0.667 0.667 0 15.2 7.3 0 6.1 0 25 21.6 87 100 1.8 -5.7
"11" "11" 1990-12-05 22.11 "DEN" "@" "BOS" "L" -8 0 6 0.333 0.333 0 0 0 0 0 0 25 21.6 53 127 -0.7 -18.3
"12" "12" 1990-12-07 22.11 "DEN" "@" "PHI" "L" -9 0 8 0.5 0.5 9 13 10.6 27.3 0 0 0 8.2 138 116 2.2 -2.9
"13" "13" 1990-12-08 22.12 "DEN" "@" "CHH" "W" 7 0 1 0 NA 0 0 0 0 0 0 0 31.2 0 111 -1.6 -66.7
"14" "14" 1990-12-11 22.12 "DEN" "" "WSB" "W" 3 0 10 0.694 0.5 0 10.2 4.8 0 4.3 0 0 10.3 155 107 3.5 -0.6
"15" "15" 1990-12-13 22.13 "DEN" "@" "UTA" "L" -15 1 26 0.524 0.538 9.5 14.6 11.5 14.9 1.6 2.1 12.3 22.3 104 122 11.9 -0.6
"16" "16" 1990-12-15 22.13 "DEN" "" "PHO" "L" -8 1 29 0.61 0.615 8.1 7.2 7.7 4 4.1 1.7 0 17.3 134 115 17.2 4.4
"17" "17" 1990-12-19 22.15 "DEN" "@" "SAS" "L" -35 1 31 0.274 0.182 8.6 7.4 8.1 7.8 0 0 19 16 63 118 0.3 -12.4
"18" "18" 1990-12-22 22.15 "DEN" "" "DAL" "L" -9 1 35 0.638 0.643 16.1 10 13.4 0 1.3 0 16.8 19.8 116 115 13.1 -2.5
"19" "19" 1990-12-23 22.16 "DEN" "@" "POR" "L" -31 1 25 0.607 0.556 3.3 0 1.8 5.9 0 0 9.2 15.8 114 121 6.1 -4.5
"20" "20" 1990-12-26 22.16 "DEN" "@" "SAC" "W" 16 1 32 0.558 0.5 6.4 8 7.3 9.4 4 1.6 15.7 14.9 113 99 11.8 0.1
"21" "21" 1990-12-27 22.17 "DEN" "" "MIA" "L" -10 1 33 0.631 0.591 5.3 8.1 6.7 0 2.8 1.5 14.4 16.2 113 117 11.5 -1.8
"22" "22" 1990-12-29 22.17 "DEN" "@" "WSB" "L" -28 1 31 0.424 0.429 15.7 11.1 13.8 6.5 0 0 11.5 17.3 98 127 7.3 -8.6
"23" "23" 1990-12-30 22.18 "DEN" "@" "ORL" "L" -39 1 29 0.302 0.286 5.2 11.3 7.7 4.1 4 0 16.8 20 62 121 2.2 -10.4
"24" "24" 1991-01-02 22.18 "DEN" "@" "DET" "L" -11 1 32 0.347 0 3 6.1 4.5 3.8 1.4 0 51 7.6 52 116 -1 -10.3
"25" "25" 1991-01-03 22.19 "DEN" "@" "NYK" "L" -27 1 26 0.636 0.636 2.9 9.5 5.4 5.8 0 0 8.3 16.1 125 129 9.7 -1.6
"26" "26" 1991-01-05 22.19 "DEN" "" "PHI" "L" -16 0 15 0.322 0.167 8 13.1 9.9 8.5 0 0 11.4 18.4 82 109 2.1 -7.6
"27" "27" 1991-01-08 22.2 "DEN" "@" "GSW" "L" -22 0 7 0 0 0 0 0 13.2 0 0 33.3 14.4 18 130 -1.7 -18.3
"28" "28" 1991-01-10 22.21 "DEN" "" "HOU" "L" -23 0 13 0.417 0.417 6.1 8.8 7.2 0 3.1 0 0 14.8 111 130 2.8 -6.7
"29" "29" 1991-01-12 22.21 "DEN" "" "CLE" "W" 8 0 3 0 0 0 0 0 29.6 0 0 0 12.9 60 125 0 -9.3
"30" "30" 1991-01-15 22.22 "DEN" "@" "SEA" "L" -47 0 10 0.667 0.667 0 30 14.3 41.9 0 0 25 14.6 116 125 3.9 2.7
"31" "31" 1991-01-16 22.22 "DEN" "" "CHH" "W" 7 0 1 0 0 0 0 0 0 44.6 0 0 77.7 0 18 -0.4 -22.5
"32" "32" 1991-01-19 22.23 "DEN" "" "SAS" "L" -9 0 2 0 0 0 0 0 0 0 0 0 37.9 0 117 -1.8 -45.9
"33" "33" 1991-01-21 22.24 "DEN" "" "MIN" "W" 5 0 8 0.571 0.571 12 10 10.9 0 5.9 5.8 0 33.9 123 98 6.6 12.9
"34" "34" 1991-01-24 22.24 "DEN" "" "NYK" "W" 3 0 23 0.504 0.462 6.2 9.5 7.5 5.7 0 0 12.6 22.8 105 111 6.4 -6.4
"35" "35" 1991-01-26 22.25 "DEN" "" "UTA" "W" 5 0 13 0.2 0.2 7.1 9 7.9 8.3 3.3 0 16.7 17.8 55 104 -0.2 -11.9
"36" "36" 1991-01-29 22.26 "DEN" "@" "MIL" "W" 4 0 14 0.37 0.2 0 0 0 0 3.2 0 0 17.2 94 117 1.7 -8.9
"37" "37" 1991-01-31 22.26 "DEN" "" "NJN" "W" 4 0 12 0.51 0.6 13.3 0 6.8 0 0 0 33.8 25.2 72 113 0.1 -12.1
"38" "38" 1991-02-02 22.27 "DEN" "" "ATL" "W" 1 0 21 0.685 0.714 4.3 9.9 6.9 6.6 2.1 5.7 10.2 16.9 129 109 11.3 7.1
"39" "39" 1991-02-05 22.28 "DEN" "@" "PHO" "L" -23 0 22 0.577 0.577 15 19.8 17.1 13.3 0 0 18.8 25.4 107 117 10.3 1.7
