"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1988-11-05 22.65 "MIA" "" "LAC" "L" -20 0 23 0.444 0.4 12 13 12.4 6.6 0 2.9 12.9 12.6 101 118 4.4 -4.6
"2" "2" 1988-11-08 22.66 "MIA" "@" "DAL" "L" -4 0 18 0.218 0.167 5.3 6.8 6 0 0 0 12.7 17.9 52 108 -2 -16.4
"3" "3" 1988-11-09 22.66 "MIA" "@" "SAS" "L" -24 0 22 0.564 0.5 10.6 17.7 14 7.7 6.7 0 23.5 23.9 99 108 8 -0.7
"4" "4" 1988-11-11 22.67 "MIA" "" "HOU" "L" -21 0 12 1 1 8 26.7 15 11.1 4.2 0 50 6.9 105 118 2.5 -5.6
"5" "5" 1988-11-15 22.68 "MIA" "" "BOS" "L" -19 0 4 0 0 0 0 0 0 0 0 0 19.4 0 100 -1.9 -25.1
"6" "6" 1988-11-17 22.68 "MIA" "@" "HOU" "L" -6 0 12 0.5 0.5 0 9.3 4.3 0 7.2 0 50 12.9 45 94 0.5 -7.9
"7" "7" 1988-11-18 22.69 "MIA" "" "GSW" "L" -6 0 18 1.064 1 11.1 17.7 14.3 0 2.6 0 0 7.9 224 103 8.3 4.2
"8" "8" 1988-11-23 22.7 "MIA" "" "LAL" "L" -47 0 21 0.512 0.5 0 22.1 7.7 12.2 2.3 0 29.1 13 81 132 2.7 -6.4
"9" "9" 1988-11-26 22.71 "MIA" "@" "MIL" "L" -10 0 21 0.405 0.333 14.9 10.9 13 0 2.2 2.8 23.3 24.3 75 100 3.1 -7.4
"10" "10" 1988-11-27 22.71 "MIA" "@" "CLE" "L" -29 1 28 0.67 0.7 17.6 9.8 13.9 7.5 2 2.3 8.7 18.5 133 122 13 8.4
"11" "11" 1988-11-29 22.72 "MIA" "@" "CHH" "L" -15 1 35 0.549 0.545 13.4 15.9 14.6 9.5 1.5 0 13.6 17.5 112 106 11.7 -0.1
"12" "12" 1988-11-30 22.72 "MIA" "" "SAS" "L" -4 1 16 0.5 0.5 25 8.6 16.9 9.1 0 0 42.9 17.8 76 112 0.5 -11.8
"13" "13" 1988-12-02 22.73 "MIA" "" "POR" "L" -3 1 21 0.174 0 11.7 0 6.4 10.2 0 6.7 0 5.6 105 119 2.2 -3.2
"14" "14" 1988-12-07 22.74 "MIA" "" "SAC" "L" -2 1 15 0.285 0.286 30.8 21.8 26.7 10.5 0 4.5 0 23.7 90 100 3.9 -6.1
"15" "15" 1988-12-09 22.75 "MIA" "" "DEN" "L" -11 1 34 0.603 0.583 12.4 20.5 16.4 12.1 2.7 2.9 13.9 15.3 124 109 16.8 4.2
"16" "16" 1988-12-10 22.75 "MIA" "@" "CHI" "L" -23 1 21 0.54 0.333 8 5.9 7.1 16.8 0 0 7.2 26.5 120 114 8.6 0.8
"17" "17" 1988-12-12 22.75 "MIA" "@" "UTA" "L" -16 1 28 0.506 0.333 18.7 11.2 15.3 0 3.5 0 17.8 22.8 105 110 9.8 -3.3
"18" "18" 1988-12-14 22.76 "MIA" "@" "LAC" "W" 1 1 33 0.565 0.375 14.9 15.7 15.3 0 3.2 1.9 23.1 23.5 101 94 10.1 -4.3
"19" "19" 1988-12-15 22.76 "MIA" "@" "SAC" "L" -4 1 18 0.527 0.25 7.4 11.9 9.9 0 0 0 37.6 25.8 73 101 -0.9 -17
"20" "20" 1988-12-17 22.77 "MIA" "" "DAL" "L" -17 1 33 0.553 0.5 6.2 15.7 10.4 4.9 3 2.1 25.4 19.1 88 103 7.6 -4.2
