"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1973-10-13 22.23 "BUF" "" "LAL" "L" -3 0 2 1.042 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1973-10-16 22.24 "BUF" "@" "NYK" "L" -26 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1973-10-24 22.26 "BUF" "@" "MIL" "L" -17 0 1 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1973-10-27 22.27 "BUF" "@" "CLE" "W" 10 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1973-11-02 22.29 "BUF" "@" "CHI" "L" -10 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1973-11-07 22.3 "BUF" "@" "SEA" "L" -17 NA 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1973-11-10 22.31 "BUF" "@" "GSW" "L" -23 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1973-11-20 22.34 "BUF" "" "PHO" "W" 27 0 6 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1973-11-28 22.36 "BUF" "@" "ATL" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1973-12-22 22.42 "BUF" "@" "KCO" "L" -10 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1973-12-23 22.43 "BUF" "" "CAP" "L" -25 NA 3 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1973-12-29 22.44 "BUF" "@" "PHO" "W" 12 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1974-01-11 22.48 "BUF" "" "HOU" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1974-01-22 22.51 "BUF" "" "PHI" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1974-01-23 22.51 "BUF" "" "MIL" "L" -26 0 9 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1974-01-25 22.52 "BUF" "" "KCO" "L" -5 NA NA 0.852 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1974-01-27 22.52 "BUF" "@" "HOU" "W" 14 0 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1974-01-29 22.53 "BUF" "" "GSW" "L" -7 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1974-01-30 22.53 "BUF" "@" "DET" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1974-02-13 22.57 "BUF" "@" "PHI" "W" 23 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1974-02-17 22.58 "BUF" "@" "HOU" "W" 17 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1974-02-19 22.59 "BUF" "" "MIL" "W" 36 0 5 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1974-02-21 22.59 "BUF" "" "NYK" "W" 22 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1974-03-10 22.64 "BUF" "" "POR" "W" 10 0 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1974-03-12 22.64 "BUF" "" "PHO" "W" 30 0 3 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1974-03-15 22.65 "BUF" "@" "CHI" "L" -17 0 14 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1974-03-16 22.65 "BUF" "" "CLE" "W" 9 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1974-03-22 22.67 "BUF" "@" "PHO" "L" -7 0 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1974-03-24 22.68 "BUF" "@" "LAL" "L" -26 0 3 0.452 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1974-03-26 22.68 "BUF" "@" "HOU" "L" -23 0 NA 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
