"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2011-12-26 21.68 "WAS" "" "NJN" "L" -6 0 8.25 0 0 0 0 0 18.8 0 0 0 11.6 23 113 -0.7 -15.6
"2" "2" 2011-12-28 21.68 "WAS" "@" "ATL" "L" -18 0 10.8333333333333 0 0 0 0 0 29.5 0 0 0 21.6 21 122 -2.5 -20.1
"3" "3" 2011-12-30 21.69 "WAS" "@" "MIL" "L" -21 0 8.86666666666667 1.167 1.167 0 0 0 0 5.7 0 25 20.2 130 105 6.1 17.4
"4" "4" 2012-01-01 21.7 "WAS" "" "BOS" "L" -8 0 1.65 NA NA 0 0 0 0 0 0 NA 0 0 114 0 -10.3
"5" "" 2012-01-02 21.7 "WAS" "@" "BOS" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "5" 2012-01-04 21.7 "WAS" "@" "ORL" "L" -18 0 4.35 1 1 0 23.5 11.3 0 0 0 0 20.1 200 112 3.7 18.3
"7" "" 2012-01-06 21.71 "WAS" "" "NYK" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "6" 2012-01-08 21.72 "WAS" "" "MIN" "L" -21 0 6.13333333333333 0 0 0 40.1 17.6 26.1 0 0 0 14.4 24 104 -0.1 -13.5
"9" "7" 2012-01-10 21.72 "WAS" "" "TOR" "W" 15 0 14.25 0.5 0.5 0 7.7 4.1 30.4 3.7 0 20 16.4 100 89 4.4 1.4
"10" "8" 2012-01-11 21.72 "WAS" "@" "CHI" "L" -14 0 8.88333333333333 0.258 0 0 0 0 41.6 0 0 0 20.3 79 103 1.3 -1.4
"11" "9" 2012-01-13 21.73 "WAS" "@" "PHI" "L" -31 0 20.4 0.7 0.7 6 31.8 18.6 24.4 0 0 28.6 15.3 110 128 6.6 -1.6
"12" "10" 2012-01-14 21.73 "WAS" "" "PHI" "L" -13 0 11 0.333 0.333 9.5 9.9 9.7 38.9 0 0 0 11.5 119 115 3 0.7
"13" "11" 2012-01-16 21.74 "WAS" "" "HOU" "L" -8 0 4.05 1 1 0 0 0 0 0 0 0 11 200 132 1.7 2.9
"14" "12" 2012-01-18 21.74 "WAS" "" "OKC" "W" 3 0 3.25 0 0 0 37.9 15.5 0 0 0 0 12.1 0 103 -0.4 -16.4
"15" "13" 2012-01-20 21.75 "WAS" "" "DEN" "L" -4 0 9.56666666666667 0.75 0.75 0 22.8 11.7 100 5.1 0 14.3 31.2 143 103 10.1 25.2
"16" "14" 2012-01-22 21.75 "WAS" "" "BOS" "L" -6 0 5.66666666666667 0.387 0.333 0 0 0 0 9 0 0 31.8 82 95 1.9 2.1
"17" "15" 2012-01-23 21.76 "WAS" "@" "PHI" "L" -20 0 21.9 1 1 0 11.5 5.2 0 0 0 0 6.9 200 124 5.3 -2.9
"18" "16" 2012-01-25 21.76 "WAS" "" "CHA" "W" 17 0 21.7333333333333 0.41 0.375 0 13.5 7.4 24 0 0 17 11.6 101 88 3.1 -6.3
"19" "17" 2012-01-27 21.77 "WAS" "@" "HOU" "L" -27 0 15 0.2 0.2 12.3 6.8 9.7 33.3 0 0 16.7 16.1 65 115 0.9 -7.9
"20" "18" 2012-01-28 21.77 "WAS" "@" "CHA" "W" 3 0 11.9333333333333 1 1 0 0 0 11.2 0 0 0 4.1 204 118 2 -8.1
"21" "19" 2012-01-30 21.78 "WAS" "" "CHI" "L" -10 0 11.7 0 0 0 10.8 4.9 44.4 9 0 0 10.8 65 96 2.6 2.9
"22" "20" 2012-02-01 21.78 "WAS" "@" "ORL" "L" -6 0 16.3166666666667 0.545 0.545 0 14.7 7.2 43.1 3.2 0 15.4 34.2 110 116 8.3 5.1
"23" "21" 2012-02-03 21.79 "WAS" "@" "TOR" "L" -17 0 17.1166666666667 0.554 0.5 5.7 17.2 11.4 20.5 3.1 0 13.7 19.2 111 110 6.9 3.9
"24" "22" 2012-02-04 21.79 "WAS" "" "LAC" "L" -26 0 18.6 0.6 0.6 0 0 0 10.4 0 0 16.7 15 102 126 2.6 -6.4
"25" "23" 2012-02-06 21.79 "WAS" "" "TOR" "W" 3 0 8.56666666666667 1 1 0 42.2 22.4 0 6.4 0 33.3 16.3 116 88 3.9 6.1
"26" "24" 2012-02-08 21.8 "WAS" "" "NYK" "L" -14 0 9.68333333333333 0 0 0 0 0 13 0 0 66.7 14.4 15 128 -2.4 -22.3
"27" "25" 2012-02-10 21.81 "WAS" "" "MIA" "L" -17 0 9.46666666666667 0.568 NA 9.6 28.2 17.1 14.9 0 0 0 3.8 153 110 2.6 0.3
"28" "26" 2012-02-12 21.81 "WAS" "@" "DET" "W" 21 0 8.55 0.615 0.625 0 10.4 6.3 0 0 0 17 30.2 95 87 2.9 -0.4
"29" "27" 2012-02-14 21.82 "WAS" "@" "POR" "W" 15 0 7.21666666666667 1 1 0 30.9 18 16.1 0 0 0 6.5 205 119 2.6 0.7
"30" "28" 2012-02-15 21.82 "WAS" "@" "LAC" "L" -18 0 7.13333333333333 0.667 0.667 0 0 0 0 0 0 0 19.7 127 128 2.7 3.7
"31" "29" 2012-02-17 21.82 "WAS" "@" "UTA" "L" -14 0 9.11666666666667 0.218 0.167 0 12.8 6.3 32.2 5.5 0 12.7 37.6 56 111 0.1 -13.4
"32" "30" 2012-02-20 21.83 "WAS" "@" "PHO" "L" -16 0 17.4833333333333 0.307 0.25 0 26.8 12.6 16.5 0 0 17 14.9 69 112 1.8 -8.5
"33" "31" 2012-02-22 21.84 "WAS" "" "SAC" "L" -8 0 9.66666666666667 0.667 0.667 0 0 0 0 0 0 0 13.1 135 128 2.7 -4.7
"34" "32" 2012-02-28 21.85 "WAS" "@" "MIL" "L" -1 0 5.38333333333333 1 1 0 17.8 10 27 0 0 50 16 102 125 1.7 -3.5
"35" "33" 2012-02-29 21.86 "WAS" "" "ORL" "L" -7 0 4.6 0.532 0 0 0 0 28.2 23.7 0 0 18.1 139 72 4 34.3
"36" "34" 2012-03-03 21.87 "WAS" "" "CLE" "W" 3 0 12.55 0 0 0 23.9 12.1 47.8 0 0 25 13.4 63 106 0.9 -12.1
"37" "35" 2012-03-05 21.87 "WAS" "" "GSW" "L" -20 0 9.88333333333333 0.129 0 8.7 12.8 10.3 13.5 0 0 0 16.4 61 135 0.2 -15.9
"38" "36" 2012-03-07 21.88 "WAS" "" "LAL" "W" 5 0 18.4333333333333 0.41 0.25 0 12.1 5.6 12.9 5.4 4.3 0 11.2 115 96 6.3 4.9
"39" "37" 2012-03-10 21.88 "WAS" "" "POR" "L" -11 0 10 0.5 0.5 21.8 0 12 32.7 0 0 0 19 136 133 4.8 6.8
"40" "38" 2012-03-12 21.89 "WAS" "@" "SAS" "L" -15 0 14.4833333333333 0.333 0.333 0 16.2 7.6 27.9 3.7 0 25 12.9 81 117 1.8 -8.1
"41" "39" 2012-03-13 21.89 "WAS" "@" "DAL" "L" -9 0 5.91666666666667 1 1 0 20.3 9 0 0 0 0 7.6 200 118 2 0
"42" "40" 2012-03-15 21.9 "WAS" "@" "NOH" "W" 10 0 23.3 0.833 0.833 0 21.1 11.9 11.8 0 0 0 6.4 176 108 5.5 -1.3
"43" "41" 2012-03-16 21.9 "WAS" "@" "ATL" "L" -14 0 22.3333333333333 0.5 0.5 0 16.5 8.8 25.5 2.4 0 16.7 12.6 109 114 6 1.6
"44" "42" 2012-03-18 21.91 "WAS" "@" "MEM" "L" -5 0 13.7833333333333 0.643 0.6 8.3 20.5 15 39.3 0 0 26.9 24.4 110 105 6.4 1.5
"45" "43" 2012-03-21 21.92 "WAS" "@" "NJN" "W" 19 0 13.4666666666667 0.387 0.333 0 7.4 3.9 9.8 3.9 0 20.5 16.1 76 99 1.5 -6.6
"46" "44" 2012-03-22 21.92 "WAS" "" "IND" "L" -2 0 7.31666666666667 0.667 0.667 0 29.8 17.5 0 7.6 0 0 20.7 122 80 3.9 11.7
"47" "45" 2012-03-24 21.92 "WAS" "" "ATL" "L" -3 0 16.4333333333333 0.167 0.167 0 0 0 8.3 3.5 0 0 17.7 51 115 -0.1 -10.7
