"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1966-10-19 22.02 "BAL" "" "NYK" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1966-10-21 22.02 "BAL" "@" "BOS" "L" -20 NA 4 0.151 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1966-10-22 22.03 "BAL" "" "PHI" "L" -29 NA NA 0.398 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1966-10-25 22.04 "BAL" "@" "PHI" "L" -20 NA 5 0.563 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1966-10-26 22.04 "BAL" "" "CIN" "W" 6 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1966-10-28 22.04 "BAL" "" "SFW" "L" -1 NA 3 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1966-10-29 22.05 "BAL" "@" "DET" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1966-11-04 22.06 "BAL" "@" "LAL" "L" -33 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1966-11-08 22.07 "BAL" "@" "LAL" "W" 2 NA NA 0.355 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1966-11-09 22.08 "BAL" "@" "SFW" "L" -6 NA 19 0.643 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1966-11-11 22.08 "BAL" "" "CIN" "L" -15 NA NA 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1966-11-12 22.08 "BAL" "@" "NYK" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1966-11-17 22.1 "BAL" "" "CHI" "W" 18 NA 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1966-11-18 22.1 "BAL" "@" "BOS" "L" -24 NA 11 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1966-11-19 22.1 "BAL" "" "BOS" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1966-11-20 22.11 "BAL" "@" "CIN" "L" -2 NA NA 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1966-11-23 22.12 "BAL" "" "SFW" "L" -10 NA 10 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1966-11-25 22.12 "BAL" "" "PHI" "L" -14 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1966-11-26 22.12 "BAL" "@" "NYK" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1966-11-30 22.13 "BAL" "" "LAL" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1966-12-03 22.14 "BAL" "" "PHI" "L" -17 NA 14 0.477 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1966-12-07 22.15 "BAL" "" "SFW" "W" 10 NA 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1966-12-10 22.16 "BAL" "@" "NYK" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1966-12-13 22.17 "BAL" "" "CHI" "W" 28 NA 16 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1966-12-16 22.18 "BAL" "@" "DET" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1966-12-17 22.18 "BAL" "" "CHI" "L" -4 NA 26 0.682 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1966-12-18 22.18 "BAL" "@" "CIN" "L" -24 NA NA 0.59 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1966-12-21 22.19 "BAL" "" "STL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1966-12-25 22.2 "BAL" "" "DET" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1966-12-26 22.21 "BAL" "@" "CHI" "L" -12 NA 13 0.145 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1966-12-27 22.21 "BAL" "@" "STL" "L" -2 NA 17 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1966-12-28 22.21 "BAL" "" "SFW" "L" -23 NA 39 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1966-12-30 22.22 "BAL" "" "NYK" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1967-01-03 22.23 "BAL" "" "DET" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1967-01-04 22.23 "BAL" "" "DET" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1967-01-06 22.24 "BAL" "@" "PHI" "L" -6 NA 20 0.384 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1967-01-07 22.24 "BAL" "@" "NYK" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1967-01-08 22.24 "BAL" "" "CIN" "L" -32 NA NA 0.188 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1967-01-12 22.25 "BAL" "" "STL" "W" 21 NA NA 0.551 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1967-01-13 22.25 "BAL" "" "DET" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1967-01-14 22.26 "BAL" "" "BOS" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
