"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2020-12-23 20.13 "PHI" "" "WAS" "W" 6 0 10.85 0.5 0.5 0 21.1 10.2 31.9 0 0 14.3 26.7 96 108 4 -3.6
"2" "2" 2020-12-26 20.14 "PHI" "@" "NYK" "W" 20 0 8.81666666666667 0.25 0.25 13 11.3 12.1 45.9 0 0 20 24.8 83 102 1.7 -5.1
"3" "3" 2020-12-27 20.15 "PHI" "@" "CLE" "L" -24 0 21.6666666666667 0.375 0.375 0 0 0 8.4 2.2 0 11.1 18.2 71 121 1.9 -10.1
"4" "4" 2020-12-29 20.15 "PHI" "" "TOR" "W" 7 0 8.01666666666667 0 0 0 0 0 18.7 0 0 0 15.4 18 104 -1.4 -15.9
"5" "5" 2020-12-31 20.16 "PHI" "@" "ORL" "W" 24 0 21 0.556 0.556 0 8 4.5 0 2.2 0 10 20.5 94 93 5.5 -5.8
"6" "6" 2021-01-02 20.16 "PHI" "" "CHO" "W" 15 0 17.9166666666667 0.563 0.563 0 10.3 6.3 14.8 2.7 0 11.1 21.8 106 114 6.6 -4.1
"7" "7" 2021-01-04 20.17 "PHI" "" "CHO" "W" 17 0 21.2166666666667 0.527 0.5 0 9.2 4.4 12.2 2.2 0 0 20.5 115 101 7.8 0
"8" "8" 2021-01-06 20.17 "PHI" "" "WAS" "W" 5 0 10.9833333333333 1 1 0 20.3 12.5 9.6 0 0 0 3.9 213 128 2.6 -1.5
"9" "9" 2021-01-07 20.18 "PHI" "@" "BRK" "L" -13 0 20.9166666666667 0.667 0.667 0 12.7 7.2 18.4 2.1 3.8 0 23.8 128 109 14.4 11.6
"10" "10" 2021-01-09 20.18 "PHI" "" "DEN" "L" -12 1 43.75 0.591 0.591 2.2 15.3 8.3 28.3 2.3 0 5.7 31.1 130 118 28.6 8.3
"11" "11" 2021-01-11 20.19 "PHI" "@" "ATL" "L" -18 1 30.9333333333333 0.519 0.5 0 16.9 8.6 23.7 0 5.6 12.2 23.9 97 113 11.6 -1.3
"12" "12" 2021-01-12 20.19 "PHI" "" "MIA" "W" 3 1 36.2333333333333 0.414 0.417 3 5.9 4.5 29.4 1.3 0 4.9 22.9 111 124 9.9 -8.6
"13" "13" 2021-01-14 20.19 "PHI" "" "MIA" "W" 17 1 25.6666666666667 0.689 0.65 5.1 0 2.5 5.7 1.8 0 15.5 21.8 117 112 10 -3.4
"14" "14" 2021-01-16 20.2 "PHI" "@" "MEM" "L" -2 1 24.6 0.432 0.385 8.3 4 6.1 0 0 0 0 22.6 103 111 6.2 -6.6
"15" "15" 2021-01-20 20.21 "PHI" "" "BOS" "W" 8 1 20.5666666666667 0 0 0 11.7 5.4 13 0 0 0 8.7 33 119 -1.6 -14.7
"16" "16" 2021-01-22 20.22 "PHI" "" "BOS" "W" 12 0 6.2 1 1 0 51.6 30.2 0 0 0 0 7 200 110 2.6 3.6
"17" "17" 2021-01-23 20.22 "PHI" "@" "DET" "W" 4 0 12.5666666666667 0.25 0.25 0 17 8.3 0 7.5 0 0 13.3 57 97 2.2 -1.2
"18" "18" 2021-01-25 20.22 "PHI" "@" "DET" "L" -15 0 20.9666666666667 0.638 0.583 0 13.5 5.5 17.4 7.4 0 7 29.3 129 117 14.2 13.3
"19" "19" 2021-01-27 20.23 "PHI" "" "LAL" "W" 1 0 5.91666666666667 0.4 0.4 0 0 0 0 0 0 0 37.8 78 117 1.3 -11.4
"20" "20" 2021-01-29 20.24 "PHI" "@" "MIN" "W" 24 0 9.7 0.68 0.6 0 0 0 0 0 0 14.5 29.9 115 102 3.9 -6.6
"21" "21" 2021-01-31 20.24 "PHI" "@" "IND" "W" 9 0 18.2333333333333 0.507 0.438 0 6.8 3.1 21.3 0 0 0 19.9 127 118 7 0.8
"22" "22" 2021-02-03 20.25 "PHI" "@" "CHO" "W" 7 0 4.58333333333333 0 0 0 52.4 27.2 25.5 0 0 0 9.4 63 108 0.2 -9.6
"23" "23" 2021-02-04 20.25 "PHI" "" "POR" "L" -16 0 20.8166666666667 0.768 0.75 0 9.6 5.1 33.6 2.4 0 17 24.8 133 123 12.2 7.4
"24" "24" 2021-02-06 20.26 "PHI" "" "BRK" "W" 16 0 2.71666666666667 NA NA 0 38.4 20.8 0 0 0 NA 0 0 108 -0.1 -13
"25" "" 2021-02-09 20.27 "PHI" "@" "SAC" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "25" 2021-02-11 20.27 "PHI" "@" "POR" "L" -4 0 12.5833333333333 0.296 0.25 0 7.6 4.1 0 0 0 0 29.9 68 133 0.1 -21
"27" "26" 2021-02-13 20.28 "PHI" "@" "PHO" "L" -9 0 9.98333333333333 0.436 0.333 0 0 0 50.8 0 0 12.7 37.7 98 134 3.7 -7.2
"28" "27" 2021-02-15 20.28 "PHI" "@" "UTA" "L" -11 0 12.7666666666667 0.375 0.375 0 0 0 0 0 0 0 25.8 85 139 1.2 -15.6
"29" "28" 2021-02-17 20.29 "PHI" "" "HOU" "W" 5 0 11.7 0.635 0.571 0 16.7 9.5 0 0 0 11.3 31.7 108 113 6.3 -4.9
"30" "29" 2021-02-19 20.29 "PHI" "" "CHI" "W" 7 0 17 0.273 0.273 12.5 5.6 8.9 26 0 0 21.4 34.4 67 116 -0.5 -20
"31" "" 2021-02-21 20.3 "PHI" "@" "TOR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2021-02-23 20.3 "PHI" "@" "TOR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "30" 2021-02-25 20.31 "PHI" "" "DAL" "W" 14 0 4.53333333333333 0.5 0.5 0 25.8 11.9 37.3 0 0 0 19.6 116 106 1.2 -7
"34" "31" 2021-02-27 20.32 "PHI" "" "CLE" "L" -3 0 7.95 NA NA 0 13.1 6.8 17.5 0 9.1 NA 0 226 103 1.7 2.8
"35" "32" 2021-03-01 20.32 "PHI" "" "IND" "W" 16 0 17.1666666666667 0.667 0.667 0 13.6 7.7 31.5 0 4.5 25 9.8 138 109 5.3 1.9
"36" "" 2021-03-03 20.33 "PHI" "" "UTA" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "33" 2021-03-11 20.35 "PHI" "@" "CHI" "W" 22 0 4.53333333333333 0.5 0.5 0 0 0 0 0 0 0 35.4 105 115 2 -8
"38" "34" 2021-03-12 20.35 "PHI" "@" "WAS" "W" 26 0 6.31666666666667 0.5 0.5 0 0 0 0 0 0 0 13.3 106 109 1 -9.2
"39" "35" 2021-03-14 20.36 "PHI" "" "SAS" "W" 35 0 8.78333333333333 0.425 0.4 0 10.7 6.4 24.3 0 8.5 14.5 33 96 102 3.3 -6.1
"40" "" 2021-03-16 20.36 "PHI" "" "NYK" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2021-03-17 20.36 "PHI" "" "MIL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "36" 2021-03-20 20.37 "PHI" "" "SAC" "W" 24 0 14.7666666666667 0.643 0.643 8.6 0 3.8 9.3 0 0 12.5 23.9 120 111 4.9 -5.3
"43" "37" 2021-03-21 20.38 "PHI" "@" "NYK" "W" 1 0 14.9666666666667 0.75 0.75 0 21.7 12.1 12.9 0 0 20 15.9 118 104 4.2 -3.3
"44" "38" 2021-03-23 20.38 "PHI" "@" "GSW" "W" 10 0 11.2833333333333 0.833 0.833 0 9.7 4.8 0 0 0 0 11.2 170 105 3.6 4.5
"45" "39" 2021-03-25 20.39 "PHI" "@" "LAL" "W" 8 0 0.0666666666666667 NA NA 0 0 0 0 0 0 NA 0 0 111 0 -7.6
"46" "40" 2021-03-27 20.39 "PHI" "@" "LAC" "L" -10 0 7.91666666666667 0.515 0.5 0 0 0 0 0 0 0 21.9 109 131 1.9 -3
"47" "41" 2021-03-30 20.4 "PHI" "@" "DEN" "L" -9 0 15.75 0.604 0.5 0 16 7.2 13.4 0 0 0 32.9 124 117 9.2 3.2
"48" "42" 2021-04-01 20.41 "PHI" "@" "CLE" "W" 20 0 21.6833333333333 0.338 0.25 0 9.4 4.7 24.9 0 4.9 18.4 21.3 78 98 2.9 -10.9
"49" "" 2021-04-03 20.41 "PHI" "" "MIN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2021-04-04 20.41 "PHI" "" "MEM" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "43" 2021-04-06 20.42 "PHI" "@" "BOS" "W" 10 0 1.21666666666667 0 0 0 0 0 0 0 0 0 38.2 0 112 -1.1 -57.2
"52" "44" 2021-04-09 20.43 "PHI" "@" "NOP" "L" -7 0 0.516666666666667 1 1 0 0 0 0 0 0 0 85.6 200 106 1.7 82.8
"53" "45" 2021-04-10 20.43 "PHI" "@" "OKC" "W" 24 0 19.7666666666667 0.376 0.25 0 0 0 31 2.4 0 9.7 22 96 97 4.5 -7.1
"54" "46" 2021-04-12 20.44 "PHI" "@" "DAL" "W" 18 0 2.3 0 0 0 0 0 0 0 0 0 20.2 0 110 -1.1 -34.3
"55" "" 2021-04-14 20.44 "PHI" "" "BRK" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "47" 2021-04-16 20.45 "PHI" "" "LAC" "W" 3 0 15.7833333333333 0.643 0.643 0 7.1 3.4 40 0 0 12.5 22.5 122 117 7.1 3
"57" "48" 2021-04-19 20.45 "PHI" "" "GSW" "L" -11 0 16.1833333333333 0.556 0.556 0 15.6 6.8 0 0 0 0 24.3 105 116 5.5 -4.8
