"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2020-12-23 23.3 "ATL" "@" "CHI" "W" 20 0 5.06666666666667 0 0 0 0 0 0 0 0 0 8.3 0 108 -1.1 -16.1
"2" "" 2020-12-26 23.31 "ATL" "@" "MEM" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2020-12-28 23.31 "ATL" "" "DET" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2020-12-30 23.32 "ATL" "@" "BRK" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "2" 2021-01-01 23.32 "ATL" "@" "BRK" "W" 18 0 0.9 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -7.2
"6" "" 2021-01-02 23.33 "ATL" "" "CLE" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2021-01-04 23.33 "ATL" "" "NYK" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2021-01-06 23.34 "ATL" "" "CHO" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2021-01-09 23.35 "ATL" "@" "CHO" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "3" 2021-01-11 23.35 "ATL" "" "PHI" "W" 18 0 5 0 0 0 0 0 25.9 0 0 0 16.2 32 105 -0.7 -16
"11" "" 2021-01-15 23.36 "ATL" "@" "UTA" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2021-01-16 23.36 "ATL" "@" "POR" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2021-01-18 23.37 "ATL" "" "MIN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2021-01-20 23.38 "ATL" "" "DET" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2021-01-22 23.38 "ATL" "@" "MIN" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2021-01-24 23.39 "ATL" "@" "MIL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "4" 2021-01-26 23.39 "ATL" "" "LAC" "W" 9 0 0.116666666666667 NA NA 0 0 0 0 0 0 NA 0 0 107 -0.4 -165.5
