"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1976-10-23 23.16 "KCK" "@" "DEN" "L" -21 0 14 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1976-10-26 23.17 "KCK" "" "LAL" "W" 2 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1976-10-29 23.18 "KCK" "" "SAS" "W" 28 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1976-11-03 23.19 "KCK" "" "SEA" "W" 20 0 4 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1976-11-07 23.2 "KCK" "@" "LAL" "L" -11 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1976-11-09 23.21 "KCK" "@" "POR" "L" -17 0 7 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1976-11-11 23.21 "KCK" "@" "GSW" "W" 8 0 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1976-11-13 23.22 "KCK" "@" "DEN" "L" -32 0 14 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1976-11-18 23.23 "KCK" "@" "SAS" "L" -25 0 4 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1976-11-21 23.24 "KCK" "@" "ATL" "W" 23 0 3 0.431 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1976-11-24 23.25 "KCK" "@" "BOS" "L" -22 0 6 0.827 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1976-12-05 23.28 "KCK" "" "BOS" "W" 6 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1976-12-09 23.29 "KCK" "" "ATL" "L" -2 0 6 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1976-12-15 23.31 "KCK" "@" "WSB" "L" -4 0 6 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1976-12-16 23.31 "KCK" "" "NYN" "W" 10 0 14 0.286 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1976-12-18 23.32 "KCK" "@" "PHO" "W" 1 0 5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1976-12-19 23.32 "KCK" "@" "LAL" "L" -11 0 16 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1976-12-21 23.32 "KCK" "@" "POR" "L" -5 0 7 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1976-12-28 23.34 "KCK" "@" "CLE" "W" 7 0 11 0.525 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1976-12-29 23.35 "KCK" "@" "BUF" "W" 10 0 28 0.51 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1977-01-02 23.36 "KCK" "" "PHO" "W" 1 0 21 0.717 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1977-01-08 23.37 "KCK" "" "HOU" "W" 12 0 21 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1977-01-11 23.38 "KCK" "" "PHI" "L" -2 0 19 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1977-01-13 23.39 "KCK" "" "GSW" "W" 2 0 16 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1977-01-14 23.39 "KCK" "@" "PHI" "L" -5 0 9 0.167 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1977-01-15 23.39 "KCK" "@" "ATL" "W" 25 0 23 0.538 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1977-01-18 23.4 "KCK" "" "LAL" "L" -2 0 12 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1977-01-20 23.41 "KCK" "" "NYN" "W" 31 0 19 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1977-01-22 23.41 "KCK" "" "BUF" "W" 28 0 6 0.286 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1977-01-23 23.41 "KCK" "@" "MIL" "L" -8 0 18 0.714 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1977-01-26 23.42 "KCK" "" "NOJ" "W" 6 0 15 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1977-01-28 23.43 "KCK" "" "CHI" "W" 11 0 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1977-01-29 23.43 "KCK" "@" "NYK" "W" 7 0 13 0.725 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1977-01-30 23.43 "KCK" "@" "WSB" "L" -14 0 15 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1977-02-01 23.44 "KCK" "@" "CHI" "W" 11 0 14 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1977-02-02 23.44 "KCK" "" "POR" "W" 12 0 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1977-02-04 23.45 "KCK" "" "CLE" "L" -1 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1977-02-06 23.45 "KCK" "@" "DET" "L" -19 0 9 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1977-02-10 23.46 "KCK" "@" "MIL" "L" -10 0 13 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1977-02-11 23.47 "KCK" "" "WSB" "W" 14 0 9 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1977-02-15 23.48 "KCK" "" "PHO" "W" 6 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1977-02-17 23.48 "KCK" "" "BOS" "L" -1 0 12 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1977-02-19 23.49 "KCK" "" "HOU" "W" 6 0 20 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1977-02-23 23.5 "KCK" "" "SEA" "L" -1 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1977-02-25 23.5 "KCK" "" "DEN" "L" -2 0 11 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1977-03-01 23.52 "KCK" "" "NOJ" "W" 22 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1977-03-02 23.52 "KCK" "@" "NYN" "W" 12 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1977-03-11 23.54 "KCK" "" "POR" "W" 2 0 5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1977-03-17 23.56 "KCK" "" "BUF" "W" 21 0 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1977-03-25 23.58 "KCK" "@" "NOJ" "L" -6 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1977-03-26 23.58 "KCK" "@" "HOU" "L" -10 0 25 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1977-03-27 23.59 "KCK" "@" "SAS" "L" -10 0 28 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1977-03-29 23.59 "KCK" "" "NYK" "W" 6 0 20 0.415 NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1977-04-01 23.6 "KCK" "@" "PHI" "L" -6 0 27 0.508 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1977-04-03 23.61 "KCK" "@" "CLE" "L" -6 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1977-04-05 23.61 "KCK" "" "IND" "L" -5 0 21 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1977-04-07 23.62 "KCK" "@" "PHO" "L" -11 0 30 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1977-04-08 23.62 "KCK" "@" "SEA" "L" -7 1 35 0.688 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1977-04-09 23.62 "KCK" "@" "GSW" "L" -16 1 38 0.605 NA NA NA NA NA NA NA NA NA NA NA NA NA
