"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2020-12-23 20.23 "MIN" "" "DET" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2020-12-26 20.24 "MIN" "@" "UTA" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" 2020-12-27 20.24 "MIN" "@" "LAL" "L" -36 0 7.66666666666667 1 1 0 17.4 6.7 0 11.7 11.4 0 14.9 179 89 6.9 26.5
"4" "2" 2020-12-29 20.25 "MIN" "@" "LAC" "L" -23 0 7.48333333333333 0.798 1 0 36.7 15.1 0 0 0 51.5 22.5 63 129 0.5 -18.1
"5" "3" 2021-01-01 20.26 "MIN" "" "WAS" "L" -21 0 9.08333333333333 0 0 0 13.2 6.1 12.6 0 0 0 9 35 129 -0.4 -13.2
"6" "4" 2021-01-03 20.26 "MIN" "" "DEN" "L" -15 0 0.916666666666667 1.25 1.25 0 0 0 0 0 0 0 98.8 250 139 4.4 149.4
"7" "" 2021-01-05 20.27 "MIN" "@" "DEN" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "5" 2021-01-07 20.27 "MIN" "@" "POR" "L" -18 0 12 0.5 0.5 15.1 20.5 17.4 34.3 0 0 25 13 120 132 3.6 -3.8
"9" "" 2021-01-09 20.28 "MIN" "" "SAS" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2021-01-10 20.28 "MIN" "" "SAS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2021-01-13 20.29 "MIN" "" "MEM" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "6" 2021-01-18 20.3 "MIN" "@" "ATL" "L" -11 0 12.4333333333333 0.375 0.375 0 10.4 4.4 0 0 0 20 16.6 58 113 -1.3 -16.5
"13" "7" 2021-01-20 20.31 "MIN" "" "ORL" "L" -1 0 26.1 0.667 0.667 12.8 19.2 16.2 6.9 0 9 0 15.9 140 100 12.5 7.4
"14" "8" 2021-01-22 20.32 "MIN" "" "ATL" "L" -18 0 22.5666666666667 0.212 0.222 8.2 14.8 11.2 0 0 4.4 0 18 57 125 1.1 -16.1
"15" "9" 2021-01-23 20.32 "MIN" "" "NOP" "W" 10 0 20.1166666666667 0.214 0.214 0 15.6 7.8 6.5 0 8.8 12.5 16.1 51 106 -1.1 -13.9
"16" "10" 2021-01-25 20.32 "MIN" "@" "GSW" "L" -22 0 25.7 0.354 0.389 4 16.2 10 11.2 1.8 0 0 15 92 126 3.8 -7.1
"17" "11" 2021-01-27 20.33 "MIN" "@" "GSW" "L" -12 0 14.4833333333333 0.37 0.3 7.2 8.5 7.8 9.8 0 0 22.8 24.5 72 126 -1.2 -19.6
"18" "12" 2021-01-29 20.33 "MIN" "" "PHI" "L" -24 0 24.3833333333333 0.375 0.375 0 30 15.5 0 0 2.8 0 14.6 72 113 2.4 -8
"19" "13" 2021-01-31 20.34 "MIN" "" "CLE" "W" 5 0 20.0333333333333 0.5 0.5 0 19.4 8.1 6.2 2.4 10.6 0 6.8 109 98 4.4 0
"20" "14" 2021-02-01 20.34 "MIN" "@" "CLE" "L" -2 0 21.6333333333333 0.55 0.55 8.5 9.9 9.1 0 0 0 16.7 23.2 97 111 4.8 -6.1
"21" "15" 2021-02-03 20.35 "MIN" "@" "SAS" "L" -3 0 18 0.75 0.75 0 5.7 2.8 13.2 0 3.8 0 4.9 167 112 3.2 -0.7
"22" "16" 2021-02-05 20.35 "MIN" "@" "OKC" "W" 3 0 28.6166666666667 0 0 0 20.5 9.6 4.1 1.7 3.3 0 5.9 18 102 0.3 -9.1
