"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1986-03-04 23.62 "CLE" "@" "LAC" "L" -5 0 3 NA NA 0 0 0 0 0 0 NA 0 0 114 -0.4 -10.1
"2" "2" 1986-03-05 23.62 "CLE" "@" "PHO" "W" 15 0 23 0.507 0.5 9.3 16.7 13.2 0 0 0 18.4 18.4 93 97 4.4 -6.3
"3" "3" 1986-03-07 23.63 "CLE" "@" "SEA" "L" -14 0 9 1 1 11.1 0 6.7 16 0 0 33.3 12.6 125 122 3.4 1.1
"4" "4" 1986-03-08 23.63 "CLE" "@" "GSW" "L" -10 0 23 0.75 0.75 0 0 0 0 0 0 0 6.6 156 137 3.6 -3.4
"5" "5" 1986-03-11 23.64 "CLE" "@" "NYK" "W" 5 0 15 0.25 0.25 6.4 38.1 20.9 9.5 0 0 0 10.5 83 105 2.1 -6
"6" "6" 1986-03-12 23.64 "CLE" "" "WSB" "L" -14 0 7 0.102 0 16.7 0 8.7 0 6.8 0 0 28 44 118 -0.9 -20.9
"7" "7" 1986-03-14 23.65 "CLE" "@" "PHI" "L" -9 0 13 0.5 0.5 8.4 0 4.2 10.1 0 0 0 12.4 118 112 2.2 -4.1
"8" "8" 1986-03-15 23.65 "CLE" "" "NJN" "L" -2 0 17 1 1 0 11.8 6.1 0 0 0 25 9.7 126 106 4.7 0.2
"9" "9" 1986-03-17 23.66 "CLE" "" "PHI" "L" -6 0 17 0.5 0.5 0 16 7.5 6.5 0 0 0 5 120 112 1.9 -2.8
"10" "10" 1986-03-18 23.66 "CLE" "@" "BOS" "L" -30 0 19 0 0 4.4 0 2.7 0 4.7 0 66.7 6.3 20 114 -1.2 -9.4
"11" "11" 1986-03-20 23.67 "CLE" "" "NYK" "L" -6 0 8 0 0 0 14 6.3 0 0 0 0 5.3 0 102 -0.4 -9.3
"12" "12" 1986-03-26 23.68 "CLE" "@" "NJN" "W" 2 0 1 NA NA 0 0 0 0 0 0 NA 0 0 120 0 -3.7
"13" "13" 1986-03-29 23.69 "CLE" "@" "ATL" "W" 18 0 3 0.532 0 53.3 0 20.3 0 0 0 0 28.9 147 120 2 -0.8
"14" "14" 1986-04-01 23.7 "CLE" "" "BOS" "L" -18 0 16 0.5 0.5 0 0 0 0 3 0 33.3 8.2 63 125 -0.2 -7
"15" "15" 1986-04-03 23.7 "CLE" "@" "MIL" "L" -21 0 19 0.556 0.556 19.4 5.7 13.2 18.5 0 0 0 20.2 136 124 8.6 5.1
"16" "16" 1986-04-04 23.71 "CLE" "@" "PHI" "L" -20 0 22 0.333 0.333 9.9 12.8 11.5 6 0 0 14.3 13.9 81 130 1.8 -10.5
"17" "17" 1986-04-06 23.71 "CLE" "@" "WSB" "L" -11 0 4 1 1 23.5 0 12.8 41.4 0 0 0 9.9 202 120 2.7 15.9
