"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" NA 1996-11-03 22.03 "DEN" "@" "SAS" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" NA 1996-11-07 22.04 "DEN" "" "HOU" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" NA 1996-11-08 22.05 "DEN" "" "GSW" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "1" 1996-11-10 22.05 "DEN" "@" "CLE" "L" -15 0 7.53333333333333 1 1 0 0 0 57.1 0 0 25 23.5 137 123 5.1 19.9
"5" NA 1996-11-11 22.05 "DEN" "@" "TOR" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" NA 1996-11-13 22.06 "DEN" "@" "DET" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "2" 1996-11-15 22.07 "DEN" "@" "BOS" "W" 2 0 2.81666666666667 0.521 0.5 0 0 0 0 0 0 0 41.6 111 98 1.2 2.5
"8" "3" 1996-11-16 22.07 "DEN" "@" "NJN" "L" -7 0 4.08333333333333 1.5 1.5 0 0 0 0 0 0 66.7 32.4 33 114 0.3 -10.4
"9" "4" 1996-11-19 22.08 "DEN" "" "MIA" "L" -18 0 12.15 0.417 0.417 0 21.6 10.5 52.2 0 0 14.3 25.8 102 118 2.9 -1
"10" "5" 1996-11-21 22.08 "DEN" "" "CHI" "L" -18 0 5.26666666666667 0.5 0.5 0 20.4 10.2 0 0 0 0 24.6 107 116 1.6 2.7
"11" "6" 1996-11-23 22.09 "DEN" "@" "POR" "L" -40 0 14.35 0.444 0.357 0 10.4 4.3 52.2 0 0 20.2 32.5 76 120 2.6 -2.4
"12" "7" 1996-11-26 22.1 "DEN" "" "PHO" "W" 9 0 4.35 0.773 0.667 0 0 0 0 0 0 20.5 52 119 118 3.7 2.6
"13" "8" 1996-11-27 22.1 "DEN" "@" "UTA" "L" -4 0 13.5333333333333 0.922 1 0 0 0 13.9 0 0 0 17.1 171 126 6.5 8.5
"14" "9" 1996-11-29 22.1 "DEN" "" "MIN" "L" -5 0 17.9666666666667 0.714 0.714 7.6 0 3.7 54.8 0 3.9 36.4 27 101 119 6 0.9
"15" NA 1996-12-01 22.11 "DEN" "@" "LAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
