"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1971-10-12 22.72 "CHI" "" "PHI" "L" -14 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1971-11-09 22.8 "CHI" "" "LAL" "L" -13 0 4 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1971-11-10 22.8 "CHI" "@" "BAL" "W" 19 0 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1971-11-19 22.83 "CHI" "@" "PHI" "W" 44 0 3 0.151 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1971-11-23 22.84 "CHI" "" "POR" "W" 36 0 5 0.727 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1971-11-26 22.85 "CHI" "" "GSW" "W" 32 0 6 0.145 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1971-12-03 22.87 "CHI" "" "NYK" "W" 26 0 4 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1971-12-11 22.89 "CHI" "@" "BOS" "W" 16 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1971-12-19 22.91 "CHI" "@" "CLE" "W" 18 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1971-12-21 22.92 "CHI" "" "DET" "W" 35 0 6 0.102 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1971-12-23 22.92 "CHI" "@" "PHO" "W" 9 0 4 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1971-12-30 22.94 "CHI" "" "POR" "W" 25 0 19 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1972-01-05 22.96 "CHI" "@" "PHI" "W" 32 NA 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1972-01-08 22.96 "CHI" "@" "NYK" "W" 5 0 18 0.543 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1972-01-09 22.97 "CHI" "" "CIN" "W" 4 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1972-01-11 22.97 "CHI" "" "NYK" "W" 25 0 10 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1972-01-14 22.98 "CHI" "@" "MIL" "L" -27 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1972-01-15 22.98 "CHI" "" "POR" "W" 20 0 6 0.174 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1972-01-21 23 "CHI" "@" "BUF" "W" 20 0 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1972-02-01 23.03 "CHI" "" "SEA" "L" -18 0 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1972-02-02 23.03 "CHI" "@" "BOS" "L" -24 NA 18 0.466 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1972-02-05 23.04 "CHI" "" "BUF" "W" 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1972-02-06 23.04 "CHI" "" "CIN" "W" 25 NA 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1972-02-08 23.05 "CHI" "" "CLE" "W" 24 0 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1972-02-11 23.06 "CHI" "" "ATL" "W" 11 NA 5 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1972-02-13 23.06 "CHI" "" "GSW" "L" -19 0 12 0.543 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1972-02-17 23.07 "CHI" "" "NYK" "L" -3 NA 14 0.311 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1972-02-18 23.08 "CHI" "@" "DET" "W" 25 NA 32 0.721 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1972-02-19 23.08 "CHI" "" "MIL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1972-02-20 23.08 "CHI" "@" "MIL" "L" -3 NA 24 0.607 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1972-02-22 23.09 "CHI" "" "PHI" "W" 31 NA 17 0.133 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1972-02-25 23.1 "CHI" "" "PHO" "W" 8 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1972-02-27 23.1 "CHI" "@" "LAL" "L" -5 0 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1972-02-29 23.11 "CHI" "@" "POR" "W" 24 0 10 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
