"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1950-10-31 24.1 "ROC" "" "WSC" "W" 8 NA NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1950-11-11 24.13 "ROC" "" "TRI" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1950-11-12 24.13 "ROC" "@" "TRI" "L" -3 NA NA 0.694 1 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1950-11-15 24.14 "ROC" "@" "FTW" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1950-11-19 24.15 "ROC" "@" "MNL" "L" -13 NA NA 0.644 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1950-11-21 24.16 "ROC" "@" "INO" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1950-11-23 24.16 "ROC" "@" "PHW" "L" -18 NA NA 0.125 0.125 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1950-11-25 24.17 "ROC" "" "BOS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1950-11-28 24.18 "ROC" "" "WSC" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1950-11-30 24.18 "ROC" "@" "NYK" "L" -5 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1950-12-02 24.19 "ROC" "" "INO" "W" 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1950-12-03 24.19 "ROC" "@" "FTW" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1950-12-10 24.21 "ROC" "" "PHW" "W" 15 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1950-12-13 24.22 "ROC" "@" "MNL" "W" 10 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1950-12-17 24.23 "ROC" "@" "BOS" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1950-12-20 24.24 "ROC" "@" "WSC" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1950-12-23 24.25 "ROC" "" "FTW" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1950-12-25 24.25 "ROC" "" "BOS" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1950-12-27 24.26 "ROC" "@" "FTW" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1950-12-30 24.27 "ROC" "" "WSC" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1951-01-01 24.27 "ROC" "" "NYK" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1951-01-06 24.28 "ROC" "" "INO" "L" -2 NA NA 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1951-01-07 24.29 "ROC" "@" "MNL" "L" -12 NA NA 0.2 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1951-01-11 24.3 "ROC" "@" "PHW" "L" -3 NA NA 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1951-01-13 24.3 "ROC" "" "FTW" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1951-01-14 24.31 "ROC" "@" "SYR" "L" -29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1951-01-16 24.31 "ROC" "" "TRI" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1951-01-18 24.32 "ROC" "@" "SYR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1951-01-20 24.32 "ROC" "" "PHW" "L" -14 NA NA 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1951-01-21 24.33 "ROC" "@" "NYK" "L" -5 NA NA 0.111 0.111 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1951-01-23 24.33 "ROC" "" "NYK" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1951-01-28 24.35 "ROC" "@" "FTW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1951-01-30 24.35 "ROC" "" "BLB" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1951-01-31 24.35 "ROC" "@" "INO" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1951-02-03 24.36 "ROC" "" "PHW" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1951-02-04 24.36 "ROC" "@" "TRI" "L" -3 NA NA 0.258 0 NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1951-02-06 24.37 "ROC" "@" "INO" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1951-02-08 24.38 "ROC" "@" "MNL" "L" -11 NA NA 0.387 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1951-02-10 24.38 "ROC" "" "TRI" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1951-02-11 24.38 "ROC" "@" "BOS" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1951-02-14 24.39 "ROC" "@" "NYK" "L" -16 NA NA 0.174 0 NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1951-02-18 24.4 "ROC" "@" "TRI" "L" -6 NA NA 0.145 0 NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1951-02-20 24.41 "ROC" "" "BLB" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1951-02-22 24.41 "ROC" "@" "PHW" "L" -8 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1951-02-24 24.42 "ROC" "" "TRI" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1951-02-25 24.42 "ROC" "@" "TRI" "W" 4 NA NA 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1951-02-27 24.43 "ROC" "" "NYK" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1951-03-09 24.45 "ROC" "@" "INO" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1951-03-10 24.46 "ROC" "" "SYR" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1951-03-13 24.47 "ROC" "@" "BOS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1951-03-17 24.48 "ROC" "" "BOS" "W" 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1951-11-01 25.1 "ROC" "" "BLB" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1951-11-03 25.11 "ROC" "" "MNL" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1951-11-10 25.13 "ROC" "" "INO" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1951-11-11 25.13 "ROC" "" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1951-11-13 25.14 "ROC" "@" "MLH" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1951-11-17 25.15 "ROC" "" "PHW" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1951-11-18 25.15 "ROC" "@" "FTW" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1951-11-20 25.16 "ROC" "@" "INO" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1951-11-22 25.16 "ROC" "@" "MNL" "L" -5 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1951-11-24 25.17 "ROC" "" "FTW" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1951-11-25 25.17 "ROC" "@" "MLH" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1951-11-29 25.18 "ROC" "@" "NYK" "W" 4 NA NA 0.379 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1951-12-01 25.19 "ROC" "" "MLH" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1951-12-02 25.19 "ROC" "@" "SYR" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1951-12-03 25.19 "ROC" "@" "BLB" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1951-12-04 25.19 "ROC" "@" "PHW" "L" -16 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1951-12-08 25.21 "ROC" "" "SYR" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1951-12-09 25.21 "ROC" "@" "FTW" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1951-12-15 25.22 "ROC" "" "INO" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1951-12-18 25.23 "ROC" "@" "MLH" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1951-12-20 25.24 "ROC" "@" "FTW" "W" 15 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1951-12-22 25.24 "ROC" "" "PHW" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1951-12-25 25.25 "ROC" "" "INO" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1951-12-27 25.26 "ROC" "" "NYK" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1951-12-29 25.26 "BLB" "" "INO" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1951-12-30 25.27 "BLB" "@" "SYR" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1951-12-31 25.27 "BLB" "" "FTW" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1952-01-04 25.28 "BLB" "@" "PHW" "L" -13 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1952-01-05 25.28 "BLB" "" "BOS" "L" -21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1952-01-12 25.3 "BLB" "" "SYR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1952-01-13 25.3 "BLB" "@" "FTW" "L" -10 NA NA 0.403 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1952-01-16 25.31 "BLB" "" "MLH" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1952-01-17 25.32 "BLB" "" "MLH" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1952-01-19 25.32 "BLB" "" "INO" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1952-01-20 25.32 "BLB" "@" "SYR" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1952-01-23 25.33 "BLB" "@" "BOS" "L" -42 NA 28 0.335 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1952-02-01 25.36 "BLB" "@" "PHW" "L" -2 NA NA 0.615 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1952-02-02 25.36 "BLB" "" "FTW" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1952-02-03 25.36 "BLB" "@" "SYR" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1952-02-04 25.36 "BLB" "" "NYK" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1952-02-08 25.38 "BLB" "" "NYK" "L" -20 NA NA 0.405 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1952-02-09 25.38 "BLB" "" "SYR" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1952-02-13 25.39 "BLB" "" "ROC" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1952-02-14 25.39 "BLB" "@" "INO" "L" -23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
